和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
ヒレグロハタ,Epinephelus howlandi,琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域の浅所,25cm,10m,灰褐色の体に小さな黒点が散らばるハタの仲間。背びれと尾びれの縁が黒く、サンゴ礁の隙間に身をひそめます。,ヒレグロハタは灰褐色の体に細かい黒点が散在し、背びれと尾びれの縁が黒いことが名前の由来です。体長は約25cmで、サンゴ礁の浅い海域（約10m以浅）に生息しています。岩陰やサンゴの隙間に隠れる習性があり、じっとしていることが多いため、ダイバーはゆっくりと近づくことで観察しやすいです。撮影時は黒いひれ縁と斑点のコントラストが魅力的で、自然光でもはっきりと写ります。琉球列島や小笠原諸島で見られ、中・西部太平洋の熱帯域に広く分布しています。豆知識として、幼魚時は体側に縦縞模様があり、成長と共に斑点に変化します。ダイバー目線では、サンゴ礁の探索中に岩陰を注意深く見ると、意外なほど近くで出会えることがあります。
イシガキハタ,Epinephelus hexagonatus,八丈島、高知県柏島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁外縁部、波あたりの強い浅所やドロップオフの棚,20cm,5m,茶褐色の体に白い斑点が散りばめられたハタ。岩陰に隠れていることが多く、丸い体型が特徴です。,イシガキハタは茶褐色の体に白い斑点が不規則に散りばめられた美しいハタで、体長は約20cm。丸みを帯びた体型と大きな口が特徴です。サンゴ礁外縁部や波当たりの強い浅所、ドロップオフの棚に生息し、岩陰や洞窟に潜むことが多いです。警戒心が強く、近づくと素早く隠れてしまうため、ゆっくりと近づくのが観察のコツ。写真撮影では斑点模様と背景のコントラストが魅力で、自然光でも色鮮やかに映ります。インド・太平洋に広く分布し、八丈島や沖縄のダイビングスポットでよく見られます。
キビレハタ,Epinephelus macrospilos,琉球列島；インド・太平洋,サンゴ礁域の浅所、水深数mの波あたりの強い浅所,20cm,5m,白地に黒い斑点が目立つハタ。背びれに黄色い縁取りがあり、浅いサンゴ礁で見られます。,キビレハタは、白い体に不規則な黒い斑点が散りばめられた美しいハタの仲間です。背びれの縁が鮮やかな黄色で、特に日光が当たると際立ちます。体長は約20cmで、サンゴ礁の浅い場所（水深5m前後）に生息し、波あたりの強い環境を好みます。ダイビング中は、岩陰やサンゴの隙間に潜んでいることが多く、ゆっくり近づくと好奇心旺盛に顔を出すことも。写真撮影では、黄色い背びれと白黒のコントラストが引き立ち、自然光でもはっきり写ります。琉球列島では比較的見つけやすく、初心者ダイバーにもおすすめの観察対象です。
モヨウハタ,Epinephelus quoyanus,和歌山県、高知県；東部インド洋～西部太平洋の熱帯域,沿岸浅所の砂泥底域や岩礁域、やや内湾的な場所,30cm,15m,茶褐色の体に白い斑点が散らばるハタ。砂泥底でじっとしていることが多い。,モヨウハタは茶褐色の体に不規則な白い斑点が散らばる中型のハタで、体長は約30cm。砂泥底や岩礁域でじっとしていることが多く、動きはゆっくり。特にやや内湾的な場所を好み、水深15m以浅で観察できる。ダイビングでは砂地と岩の境目を注意深く探すと見つけやすい。写真撮影時は体の模様がカムフラージュのように環境に溶け込む様子が面白く、近づくとゆっくり逃げる姿もユニーク。和名の「モヨウ」はその模様に由来し、地域によっては食用としても親しまれている。
マダラハタ,Epinephelus polyphekadion,和歌山県以南の南日本の太平洋岸、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の浅所,45cm,20m,茶褐色の体に不規則な黒斑が散らばるハタ。サンゴ礁の岩陰に潜む姿が見られます。,マダラハタは茶褐色の体に黒い斑点が不規則に散らばる、ハタ科の魚です。体長は最大で45cmほどで、サンゴ礁域の浅い場所（約20m以浅）に生息しています。岩陰や洞窟に潜む習性があり、ダイバーが近づくとゆっくりと逃げる様子が観察できます。撮影時は、岩の隙間からのぞく姿や群れでいる様子を狙うと、自然な生態が捉えられます。面白いのは、成長に伴って模様が変化すること。幼魚の頃は斑点がはっきりしていますが、成魚になるにつれてぼやけてくるのが特徴です。ダイバーにとっては、サンゴ礁の隠れ家的な存在として人気があります。
アカマダラハタ,Epinephelus fuscoguttatus,琉球列島、インド・太平洋,サンゴ礁域の浅所,60cm,15m,茶色い体に黒い斑点が特徴のハタ。サンゴ礁の陰にじっと潜んでいます。,アカマダラハタは茶褐色の体に黒い斑点が散らばる美しいハタの一種で、体長は最大60cmほどになります。サンゴ礁の岩陰や洞窟に隠れていることが多く、ゆっくりと泳ぎながら獲物を待ち構えます。ダイビング中に見つける際は、岩場の影や穴の中を注意深く観察しましょう。撮影の際は、自然な姿勢でじっとしている様子を捉えると、その優雅な体の模様が引き立ちます。面白いことに、幼魚の頃は体色がオレンジ色で、成長とともに茶褐色に変化します。ダイバーにとっては、サンゴ礁の生態系を象徴する存在として人気があります。
カンモンハタ,Epinephelus merra,和歌山県以南の南日本の太平洋岸、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の礁池、潮だまり,25cm,12m,茶褐色の体に白い斑点が散らばるハタ。サンゴの周りでじっとしていることが多い。,カンモンハタは茶褐色の体に不規則な白い斑点が特徴で、成長とともに斑紋が変化します。体長は最大25cmほどで、サンゴ礁域の礁池や潮だまりに生息しています。日中は岩陰やサンゴの隙間に潜んでじっとしていることが多く、警戒心が強いため近づく際はゆっくりとした動きがおすすめです。ダイビングでは、浅瀬のサンゴ周辺を注意深く観察すると見つかります。写真撮影では、斑点模様と茶色のコントラストが美しく、自然光でも映える被写体です。面白いことに、幼魚と成魚で斑紋のパターンが異なるため、成長段階を観察する楽しみもあります。
ヒトミハタ,Epinephelus tauvina,高知県、琉球列島、小笠原諸島、インド・太平洋,サンゴ礁域の浅所,60cm,20m,茶褐色の体に白い斑点が散らばるハタ。サンゴ礁の陰に潜む姿が特徴的です。,ヒトミハタは茶褐色の体に不規則な白い斑点が散在し、背びれの縁が赤みを帯びる美しいハタです。サンゴ礁の岩陰や洞穴に単独で潜み、夜行性で昼間はじっとしていることが多いです。ダイビングでは、岩陰をゆっくり探すと見つけやすく、警戒心が強いためゆっくり近づくのがポイントです。写真撮影では、スポットライトで体の斑点が輝く様子が魅力的で、特に青い海を背景にするとコントラストが映えます。成長すると60cmに達する大型種で、地域によっては食用としても利用されます。
シロブチハタ,Epinephelus maculatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の浅所、サンゴの砂地のサンゴや人工物、転石などの周り,30cm,20m,白地に黒い斑点が散らばるハタ。サンゴ礁の岩陰にひそむ姿がよく見られます。,シロブチハタは、白い体に不規則な黒い斑点が特徴のハタの仲間です。体長は約30cmで、サンゴ礁域の浅い砂地や転石の周辺に生息しています。岩陰やサンゴの隙間に身をひそめる習性があり、じっとしていることが多いため、ダイバーはゆっくりと近づくことで観察しやすくなります。撮影の際は、白と黒のコントラストがはっきりと写るように光の角度を調整すると、より魅力的な写真が撮れるでしょう。豆知識として、幼魚の頃は黄色っぽい体色で、成長とともに斑点が目立つようになります。ダイバーにとっては、サンゴ礁の生態系を代表する種の一つで、観察する楽しみがあります。
サラサハタ,Cromileptes altivelis,南日本の太平洋岸、琉球列島；インド・西太平洋,沿岸浅所のサンゴ礁域、岩礁域、やや内湾的な場所,40cm,23m,白い体に黒い斑点が散らばるハタの仲間。岩陰に潜んでいることが多く、ゆったりとした動きが特徴です。,サラサハタは、白地に黒い小さな斑点が全身に散りばめられた美しいハタの仲間です。体高が高く、ずんぐりとした体型で、岩陰やサンゴ礁の隙間にじっと潜んでいることが多いです。動きはゆったりとしており、ダイバーが近づいてもあまり逃げません。特に琉球列島のサンゴ礁域でよく観察され、23m以浅の浅い場所に生息しています。写真撮影では、白と黒のコントラストが水中で非常に映え、背景のサンゴや岩と合わせるとアートのような構図が撮れます。豆知識として、サラサハタは成長とともに斑点のサイズや密度が変化することが知られており、個体ごとに模様が異なるのが興味深い点です。ダイバーにとっては、岩陰を注意深く観察すると意外と簡単に見つけられる隠れた人気者です。
ルリハタ,Aulacocephalus temminckii,富山湾、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,沿岸浅所の岩礁、岩穴などに隠れている,25cm,25m,鮮やかなルリ色の体に黒い縞模様が特徴のハタ。岩の陰に隠れていることが多いです。,ルリハタは、名前の通り鮮やかなルリ色の体と黒い縦縞模様が特徴的なハタ科の魚です。体長は約25cmで、沿岸の浅い岩礁や岩穴に生息し、じっと隠れていることが多いです。ダイビングでは、岩陰を注意深く探すと見つかることがあります。写真撮影では、青い体色が水中で美しく映え、特に自然光が当たるとより鮮やかに見えます。面白い生態として、夜行性で昼間は岩陰で休んでいますが、夜になると活発に餌を探し回ります。ダイバーにとっては、その美しい色合いと比較的見つけやすい生息場所から、人気の被写体となっています。
ヤミスズキ,Belonoperca chabanaudi,琉球列島；インド・太平洋,サンゴ礁域の浅所,10cm,15m,黒褐色の体に黄色い斑点が散らばる小型スズキ。サンゴ礁の陰にひそむ。,ヤミスズキ（Belonoperca chabanaudi）は、黒褐色の体に黄色い小さな斑点が無数に散った独特の模様が特徴で、体長は約10cmとコンパクト。主に琉球列島のサンゴ礁域の浅所（最深15mほど）に生息し、岩陰やサンゴの隙間に身をひそめる習性がある。夜行性で日中はじっとしていることが多く、動きはゆっくりとしているため、ダイバーが近づいても逃げにくい。観察の際は、岩場やサンゴの陰を注意深く探すと見つけやすい。写真撮影では、黄色の斑点が水中の青い光に映えて美しく、マクロレンズで細部まで捉えるとさらに魅力的。豆知識として、学名の「chabanaudi」はフランスの魚類学者に由来する。ダイバー目線では、地味な色合いながらも斑点のパターンが個体ごとに異なるため、識別が楽しい魚である。
キハッソク,Diploprion bifasciatum,南日本、琉球列島；インド・西太平洋,沿岸岩礁域とサンゴ礁域の浅所,15cm,25m,体が鮮やかな黄色で、背中に2本の黒い帯がある小型のハタ。岩陰にひそむ姿がよく見られます。,キハッソクは体長15cmほどの小型ハタで、鮮やかなレモンイエローの体色と、背中に走る2本の太い黒帯が特徴です。琉球列島以南のサンゴ礁や岩礁の浅瀬に生息し、岩陰やサンゴの隙間に身をひそめる習性があります。警戒心が強く、近づくと素早く隠れてしまうため、ゆっくりと接近するのが観察のコツです。水中写真では黄色と黒のコントラストが鮮やかに映え、特に自然光が差し込む浅場で撮影するとその美しさが引き立ちます。学名の'Diploprion'は『二つの帯』を意味し、その模様から名付けられました。ダイバーにとっては、岩場の影を注意深く観察することで発見できる嬉しい出会いの魚です。
ツルグエ,Liopropoma latifasciatum,南日本の太平洋岸、伊豆大島、琉球列島、朝鮮半島南部、台湾、パラオ,岩礁域、崖の穴、物陰,13cm,30m,黄色い体に黒い帯が入った小さなハタの仲間。崖の穴や物陰に隠れるように生息しています。,ツルグエは、鮮やかな黄色の体に3本の太い黒色横帯が特徴的なハタ科の魚です。体長は最大13cmほどで、岩礁域や崖の穴、沈船などの物陰に単独で隠れるように生息しています。夜行性で日中はあまり活動せず、岩陰にじっとしていることが多いです。ダイビングでは、30mほどの深場で岩の割れ目や洞窟を注意深く観察すると発見できます。鮮やかな体色とコントラストのきいた模様は水中写真の被写体として人気で、特にバックライトを当てると黄色がより映えます。学名の「latifasciatum」は「幅広い帯」を意味し、その特徴的な模様に由来しています。
ヌノサラシ,Grammistes sexlineatus,岩手県、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島、インド・太平洋,沿岸岩礁域やサンゴ礁域の浅所,12cm,15m,白い縦じまが目立つ黒い魚。岩陰に潜むように泳ぎ、警戒心が強いです。,ヌノサラシは、黒い体に6本の白い縦じまが特徴的な小型の魚です。体長は約12cmで、沿岸の岩礁域やサンゴ礁の浅所（水深15m以浅）に生息しています。岩陰やサンゴの隙間に身を潜めるように泳ぎ、警戒心が強く近づくと素早く逃げます。ダイビングでは、岩の影やサンゴの根元を注意深く観察すると見つけられます。写真撮影では、白と黒のコントラストがはっきりと写り、水中での存在感が際立ちます。豆知識として、学名の「sexlineatus」は「6本の線」を意味し、その模様に由来しています。ダイバーにとっては、地味ながらも独特の模様が魅力的な被写体です。
アゴハタ,Pogonoperca punctata,高知県、八丈島、琉球列島、小笠原諸島、インド・太平洋,沿岸岩礁域とサンゴ礁域の浅所、物陰,25cm,30m,茶褐色の体に白い斑点が散らばるハタ。岩陰に潜み、じっとしていることが多い。,茶褐色の体に白い斑点が不規則に散らばるアゴハタは、岩礁やサンゴ礁の物陰に身を潜めるハタの仲間。体長は約25cmで、丸みを帯びた体型とやや大きめの口が特徴です。普段は岩陰でじっとしていますが、近づくと素早く逃げることも。ダイビングでは、岩の割れ目や洞窟の入口を注意深く観察すると発見できます。写真撮影では、斑点模様と地味ながらも魅力的な質感が映える被写体です。インド・太平洋に広く分布し、日本の高知県や琉球列島でも見られるため、南の海のダイビングで出会える可能性が高い魚です。
メギス,Labracinus cyclophthalmus,和歌山以南の南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域の浅所,13cm,10m,赤褐色の体に青い斑点が散在する小型魚。サンゴ礁の浅瀬でじっとしていることが多い。,メギスは赤褐色の体に鮮やかな青い斑点が散在する美しい小型魚で、体長は最大13cmほどです。サンゴ礁の浅瀬（水深10m以浅）に生息し、岩陰やサンゴの隙間でじっとしていることが多いです。主に甲殻類や小魚を捕食し、警戒心が強く、ダイバーが近づくと素早く隠れてしまいます。観察の際はゆっくりと近づき、岩陰やサンゴの周りを注意深く探すと見つけやすいです。写真撮影では青い斑点が光に反射して輝く様子が魅力的で、自然光の下で撮るとより鮮やかに映ります。面白いエピソードとして、メギスは英名で「Dottyback（ドティバック）」と呼ばれ、その名の通り背中（back）に斑点（dot）があることに由来します。ダイバーにとっては、サンゴ礁の小さな住人を探す楽しみを提供してくれる魚です。
ホシニセスズメ,Pseudochromis marshallensis,八丈島、高知県、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,潮だまりやサンゴ礁域の浅所、内湾,5cm,10m,鮮やかな紫色の体に黄色い斑点が特徴の小型魚。サンゴの周りを素早く泳ぎます。,ホシニセスズメは体長5cmほどの小型魚で、深紫色の体に黄色い斑点が散りばめられた美しい外見が特徴です。八丈島や琉球列島の浅いサンゴ礁域や潮だまりに生息し、岩陰やサンゴの隙間を素早く行き来します。ダイビングではサンゴの周辺を注意深く観察すると、群れで泳ぐ姿が見られることがあります。撮影時はその鮮やかな色彩と小さな体がチャームポイントで、マクロレンズで狙うとより魅力的に写ります。地元では「海の宝石」とも呼ばれるほど人気の高い魚です。
セダカニセメギス,Pseudochromis fuscus,琉球列島；東部インド洋～中・西部太平洋の熱帯域,潮だまりやサンゴ礁域の浅所、やや内湾的な場所,7cm,10m,茶色い体に黒い斑点が散らばる小型魚。潮だまりやサンゴの根元でじっとしています。,セダカニセメギスは全長7cmほどの小型魚で、茶褐色の体に不規則な黒い斑点が散在するのが特徴。背中がやや高く、丸みを帯びた体型をしています。琉球列島の浅いサンゴ礁や潮だまり、内湾的な環境に生息し、岩陰やサンゴの根元でじっとしていることが多いです。警戒心が強く、近づくと素早く隠れてしまうため、静かに観察するのがコツ。写真撮影では、自然光で茶色のボディと黒い斑点のコントラストを捉えると、地味ながらも味わい深い被写体になります。地元では『ニセメギス』の名の通り、メギスに似た見た目ですが、背中の高さで区別可能です。
クレナイニセスズメ,Pictichromis porphyreus,琉球列島；中・西部太平洋の熱帯域,サンゴ礁外縁部の崖や岩穴口、水深8～15mのサンゴ礁外縁部,6cm,10m,全身が鮮やかな赤紫色の小型魚。サンゴ礁の岩穴付近をひらひらと泳ぎます。,クレナイニセスズメは、その名の通り深紅に近い赤紫色の体色が特徴的な小型魚です。体長は約6cmで、サンゴ礁の外縁部の崖や岩穴の入口付近に生息しています。群れで行動することが多く、潮の流れに合わせてひらひらと優雅に泳ぐ姿が観察できます。ダイビングでは、水深10m前後の明るい場所で、岩の陰やサンゴの隙間を探すと見つけやすいです。鮮やかな体色は水中写真でも映え、青い海とのコントラストが美しい被写体として人気があります。実はこの魚、オスとメスで体色が異なることが知られており、オスはより鮮やかな赤紫色をしています。ダイバーにとっては、その美しさと群れで泳ぐ姿が魅力の一つです。
ツバメタナバタウオ,Assessor randalli,琉球列島；台湾、西部太平洋の熱帯域,サンゴ礁外縁部の崖や岩穴口、暗い場所,5cm,10m,青紫の体に黄色い尾びれが鮮やかな小型魚。岩穴の暗がりに群れて泳ぎます。,ツバメタナバタウオは、青紫の体色と鮮やかな黄色の尾びれが特徴的な5cmほどの小型魚です。サンゴ礁外縁部の崖や岩穴の入り口付近の暗い場所に群れで生息し、光が差し込む場所でキラキラと輝く姿が美しいです。ダイビングでは、岩の陰や洞窟の入口を注意深く観察すると見つかります。写真撮影では、青と黄色のコントラストが水中で映え、特にストロボを使うとその美しさが引き立ちます。学名の「randalli」は、魚類学者のジョン・E・ランドールに由来しています。群れで泳ぐ姿はまるで水中の宝石のようで、ダイバーにとっては小さな発見の喜びをもたらしてくれる魚です。
ナカハラタナバタウオ,Plesiops nakaharae,南日本の太平洋岸、伊豆諸島；台湾沿岸岩礁域,沿岸岩礁域、転石の下,7cm,3m,青紫の体に黒い縞模様が特徴の小さな魚。転石の下に隠れていることが多い。,ナカハラタナバタウオは、青紫の体色と黒い縦縞模様が美しい小型の魚で、体長は約7cmです。沿岸の岩礁域や転石の下に潜んでおり、ダイバーが石をそっと動かすと見つかることがあります。警戒心が強く、素早く隠れるため観察には注意が必要です。写真撮影では、青紫の体色が水中で輝き、特に自然光が当たるととても魅力的です。学名の「nakaharae」は日本の魚類学者・中原氏に由来します。
タナバタウオ,Plesiops coeruleolineatus,島根県隠岐諸島、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,潮だまりや礁池の石やサンゴの下、水深5m程の浅所,6cm,7m,青い縦線が美しい小さな魚。潮だまりや岩陰にひっそりと隠れています。,タナバタウオは体長6cmほどの小型魚で、鮮やかな青い縦線が入ったシックな体色が特徴です。潮だまりや礁池の岩やサンゴの下にひっそりと潜んでおり、警戒心が強く近づくと素早く隠れてしまいます。ダイビング中に見つけるには、岩陰をゆっくりと観察し、青い線が光る瞬間を待つのがコツ。撮影時は自然光で青い線が輝く様子を捉えると、神秘的な雰囲気が演出できます。和名の「タナバタ」は七夕にちなみ、青い線が天の川を連想させることに由来するというロマンチックなエピソードも。浅瀬に生息するため、初心者ダイバーでも気軽に観察できるのが魅力です。
シモフリタナバタウオ,Calloplesiops altivelis,八丈島、和歌山県、琉球列島；インド・太平洋,サンゴ礁域の礁池やサンゴの下、岩の奥,12cm,10m,青黒い体に白い斑点が散りばめられた美しい魚。サンゴの下や岩の奥にひそんでいます。,シモフリタナバタウオは、深みのある青黒い体色に白い小さな斑点が散りばめられた、エレガントな見た目が特徴の魚です。体長は約12cmで、サンゴ礁域の礁池やサンゴの下、岩の奥にひそむように生息しています。昼間は岩陰に隠れていることが多く、ゆっくりと泳ぎながらも、危険を感じると素早く隠れる習性があります。ダイビングでは、サンゴや岩の隙間を注意深く観察すると、その美しい模様を目にすることができます。写真撮影では、光の当たり方で斑点がキラリと輝き、非常にフォトジェニックな被写体として人気です。面白いことに、この魚は捕食者から身を守るために、イソギンチャクに似た動きをすることが知られています。ダイバー目線では、その神秘的な美しさと、ちょっとした隠れんぼのような観察の楽しさが魅力です。
メガネアゴアマダイ,Opistognathus sp. 3 of Nakabo ed. (2013),琉球列島；中・西部太平洋の熱帯域,サンゴ礁域の砂礫底,8cm,12m,青い体に黒い縁取りの目が特徴の小さな魚。砂底に巣穴を作り、素早く出入りします。,メガネアゴアマダイは、青みがかった体色と目の周りを黒く縁取られた「メガネ」のような模様が特徴的な小型の魚です。体長は約8cmで、サンゴ礁域の砂礫底に直径数センチの巣穴を掘って生息しています。巣穴から頭を出して周囲を警戒する姿がよく観察され、近づくと素早く穴に隠れる習性があります。ダイビングでは、砂地が広がる浅瀬（12m以浅）をゆっくりと泳ぎながら、小さな盛り上がりや巣穴の入り口に注目すると見つけやすいです。写真撮影の際は、巣穴から顔を出した瞬間を狙うと、ユーモラスな表情と鮮やかな青のコントラストが魅力です。琉球列島のダイビングスポットでは比較的頻繁に観察できるため、初心者ダイバーにもおすすめの観察対象です。
ホウセキキントキ,Priacanthus hamrur,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域,20cm,25m,体が赤く、大きな目が特徴のキントキダイの仲間。サンゴ礁の周辺で群れを作ることが多い。,ホウセキキントキは、鮮やかな赤色の体と大きな丸い目が特徴のキントキダイ科の魚です。体長は約20cmで、サンゴ礁域の岩陰や洞窟周辺に生息しています。日中は単独または小さな群れで泳ぎ、夜間は活発に餌を探します。ダイビングでは、岩陰やサンゴの隙間を注意深く観察すると見つけることができ、赤い体色が青い海に映えて非常に目立ちます。写真撮影では、その鮮やかな色と大きな目が被写体として人気です。面白い生態として、危険を感じると岩陰に素早く隠れる習性があります。ダイバーにとっては、サンゴ礁の生態系を観察する上で欠かせない魅力的な魚の一つです。
ゴマヒレキントキ,Heteropriacanthus carolius,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；全世界の熱帯・亜熱帯域,サンゴ礁域,17cm,25m,全身が赤く、ヒレにゴマのような黒い斑点がある小型の魚。サンゴの陰に隠れることが多い。,ゴマヒレキントキは全身が鮮やかな赤色で、背びれと尾びれにゴマのような黒い斑点が散らばる美しい魚です。体長は最大17cmほどで、サンゴ礁の岩陰や洞窟に単独または小さな群れで生息しています。ダイビングでは、水深25m以浅のサンゴ礁域で観察でき、岩陰からゆっくり泳ぎ出す姿が撮影のチャンス。赤い体色がブルーの海に映え、写真写りも抜群です。和名の「ゴマヒレ」はヒレの斑点に由来し、学名の「carolius」はラテン語で「赤い」を意味します。夜行性で、日中はじっとしていることが多いため、ゆっくり近づいて観察しましょう。
クルマダイ,Pristigenys niphonia,南日本、尖閣諸島；インド・西太平洋,やや深海性、転石などの周り,4cm,18m,小さく赤っぽい体に黒い斑点が特徴の深海魚。転石の周りで群れていることが多い。,クルマダイは体長約4cmの小さな魚で、赤みを帯びた体に黒い斑点が散らばる特徴的な外見をしています。やや深海性で、水深18mほどの転石や岩場の周りに群れで生息しています。ダイビング中には、岩陰や転石の隙間を注意深く観察すると、この小さな魚がひっそりと泳ぐ姿を見つけられるでしょう。写真撮影では、赤い体色が水中で鮮やかに映え、特にストロボを使うとその魅力が引き立ちます。豆知識として、学名の「Pristigenys niphonia」はギリシャ語で「鋭い顎」を意味し、小さな口で甲殻類を捕食する習性に由来しています。ダイバーにとっては、深海のミクロな世界を楽しむのに最適な生物です。
ヒカリイシモチ,Siphamia tubifer,八丈島、琉球列島；インド・太平洋,サンゴ礁域、岩礁域,4cm,13m,小さな銀色の魚で、腹部が光るように白く輝く。サンゴや岩の陰に群れで潜んでいます。,ヒカリイシモチは体長約4cmの小さな魚で、銀色の体に腹部が光るように白く輝くのが特徴です。サンゴ礁や岩礁域の陰に群れで生息し、夜間は発光バクテリアと共生して腹部が青白く光る様子が観察できます。ダイビングでは13mほどの深さで、サンゴの根元や岩の隙間を注意深く探すと見つかります。写真撮影時は群れの動きと光の反射が幻想的で、特にナイトダイビングでの観察がおすすめです。豆知識として、光る腹部は外敵から身を守るためのカモフラージュと言われています。
ホソスジマンジュウイシモチ,Sphaeramia orbicularis,西表島；インド・太平洋,海岸線付近のマングローブの根の間,6cm,1m,丸っこい体に黒い縦縞が入った小さな魚。マングローブの根元で群れていることが多い。,体長約6cmの丸みを帯びた小型魚で、黒褐色の縦縞が特徴的。西表島のマングローブ域に群れで生息し、潮の流れに身を任せてゆらゆらと泳ぐ姿が愛らしい。ダイビングではマングローブの根元や枝の間を注意深く観察すると、数匹から数十匹の群れが見つかる。光の加減で金色に輝く体色は写真映えも良く、マクロレンズでの撮影がおすすめ。地元では「マンジュウ（饅頭）」と呼ばれるほど丸い体型が親しまれている。潮通しの良い場所を好むため、干潮時の観察が狙い目。
マンジュウイシモチ,Sphaeramia orbicularis,西表島；インド・太平洋,サンゴ礁域,5cm,6m,丸みを帯びた体に黒い斑点が特徴の小さな魚。サンゴの陰で群れを作ります。,マンジュウイシモチは、丸みを帯びた体と黒い斑点が特徴的な小型の魚で、体長は約5cmほどです。体色は淡いベージュから黄色がかり、側面に不規則な黒い斑点が散在しています。サンゴ礁域の浅い水深（6m前後）に生息し、特にサンゴの陰や岩の隙間で群れを作る習性があります。ダイビング中には、サンゴの枝間をゆっくり泳ぐ姿や、群れで一斉に方向転換する様子が観察できます。写真撮影では、群れのシルエットや斑点模様のコントラストが美しく、自然光の下で撮影するとその魅力が引き立ちます。豆知識として、和名の「マンジュウ」は体の丸みを饅頭に例えたもので、愛嬌のある見た目からダイバーに人気です。観察時は、サンゴの周辺をゆっくりと移動し、群れの動きに注目すると見つけやすくなります。
リュウキュウヤライイシモチ,Cheilodipterus macrodon,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、岩礁やサンゴの奥,3.5cm,3m,小さくて丸い体に黒い縦縞が入った魚。サンゴの陰で群れを作ります。,リュウキュウヤライイシモチは体長約3.5cmの小型魚で、銀白色の体に5本の黒い縦縞が特徴的です。丸みを帯びた体型と大きな目が愛らしく、サンゴ礁や岩の隙間で群れを形成している姿がよく観察されます。日中はサンゴの陰に隠れており、近づくと素早く移動するため、ゆっくりと近づくのが観察のコツです。被写体としては小さくて動きが速いため撮影はやや難しいですが、群れで泳ぐ姿はとてもフォトジェニックです。琉球諸島のダイビングスポットでは比較的よく見られる種で、初心者ダイバーにも親しみやすい魚です。
カスミヤライイシモチ,Cheilodipterus artus,八丈島、和歌山県、琉球列島；インド・太平洋,礁池、サンゴの枝の間,12cm,15m,体に5本の黒い縦縞が入った銀白色の小魚。サンゴの枝の間を素早く泳ぎ回ります。,銀白色の体に5本の黒い縦縞が特徴的な小型のテンジクダイ。体長は最大12cmほどで、サンゴ礁の枝間や岩陰を好み、群れで行動することが多い。夜行性で、日中はサンゴの隙間に隠れているが、夕方になると活発に泳ぎ回り始める。ダイビングでは、サンゴの枝の間を注意深く観察すると、銀色の体が光に反射して見つけやすい。写真撮影では、群れで泳ぐ姿を広角レンズで捉えると、黒い縞模様と銀色のボディのコントラストが美しく映える。面白い生態として、メスが産卵した卵をオスが口の中で保護する「マウスブルーダー」という習性がある。八丈島や沖縄のサンゴ礁で比較的よく観察できるので、初心者ダイバーにもおすすめの観察対象だ。
ヤライイシモチ,Cheilodipterus quinquelineatus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、岩礁域、サンゴや岩陰,8cm,7m,体に5本の黒い縦じまがある小さな魚。サンゴや岩陰を群れで泳ぎます。,体長8cmほどの小さな魚で、銀白色の体に5本の黒い縦じまが特徴。学名の「quinquelineatus」は「5本の線」を意味し、この縞模様に由来します。サンゴ礁や岩礁の陰に群れで生息し、夜間はサンゴの隙間で休みます。ダイビングでは、サンゴの枝間や岩の割れ目を注意深く観察すると、群れで泳ぐ姿が見られます。撮影時は、群れの動きを活かした構図がおすすめで、太陽光を受けてキラキラと光る銀色の体が美しく映えます。豆知識として、幼魚は背びれが長く伸びるため、成魚とは少し異なるシルエットをしています。
スダレヤライイシモチ,Cheilodipterus intermedius,南日本の太平洋岸、三宅島、琉球列島；西部太平洋の熱帯域,サンゴ礁域、岩礁域、サンゴの枝の間,10cm,7m,白と黒の縞模様が特徴の小さな魚。サンゴの枝の間を素早く泳ぎ回ります。,スダレヤライイシモチは、白と黒の鮮やかな縞模様が目を引く10cmほどの小型魚です。サンゴ礁や岩礁の枝の間を素早く移動し、群れで行動することが多いです。ダイビングでは、サンゴの陰や岩の隙間を注意深く観察すると見つけることができます。写真撮影の際は、そのコントラストの強い模様が水中で映え、特に自然光が差し込む時間帯がおすすめです。面白い生態として、危険を感じるとサンゴの隙間に隠れる習性があり、観察する際は静かに近づくことがポイントです。
