id,name,scientific_name,distribution,habitat,size,depth_range,description
12783,トサカハギ,Naso tonganus,琉球列島；インド・西太平洋,サンゴ礁域、礁外縁の潮通しのよい所,全長約50cm,10m,ニザダイの仲間で、オスの成魚は背中が大きく盛り上がり、鶏のトサカのように見えることからこの名がつきました。サンゴ礁の外縁や岩礁域に生息し、藻類を食べます。メスや若魚は背中の盛り上がりがなく、体型が異なります。大きな群れは作らず、単独か数匹で行動していることが多いです。尾柄部の骨質板は鋭いので注意が必要です。
2855,トサヤッコ,Genicanthus semifasciatus,南日本の太平洋岸、琉球列島、小笠原諸島；台湾、フィリピン,岩礁域、サンゴ礁域,全長約18cm,30m,キンチャクダイの仲間で、オスとメスで体色が全く異なる性的二形が顕著です。オスは上半身にオレンジ色のシマウマのような模様、メスは青白い体に黒い縦帯が入ります。サンゴ礁の斜面やドロップオフで、数匹のメスと一匹のオスからなるハーレムを形成します。中層を優雅に泳ぎ、動物プランクトンを食べます。
32,トノサマダイ,Chaetodon speculum,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域、礁池内の穏やかな所,全長約13cm,10m,チョウチョウウオの仲間で、黄色い体に大きな黒い斑紋が一つだけあるのが特徴です。この斑紋が殿様の家紋のように見えることから名付けられました。サンゴ礁域に生息し、主にサンゴのポリプを食べます。縄張り意識が強く、単独またはペアで行動します。他のチョウチョウウオを追い払う姿が見られることもあります。
10281,トビエイ,Myliobatis tobijei,北海道以南、南日本；南シナ海沿岸の浅海域,海底、浅海域,体盤幅約90cm,15m,エイの仲間で、大きな胸びれを翼のようにはばたかせて水中を優雅に泳ぎます。海底の砂に潜って貝類などを探して食べます。尾の付け根に毒針を持っているので、不用意に近づいたり刺激したりしないよう注意が必要です。春から夏にかけて沿岸で見られることが多く、数匹の群れで水面近くを飛ぶように泳ぐ姿は圧巻です。
2901,トビヌメリ,Repomucenus beniteguri,山形県以南～長崎県、東京湾以南～高知県、瀬戸内海；朝鮮半島東岸,海洋に面した沿岸浅所の砂底,全長約14cm,10m,ネズッポの仲間で、オスは非常に美しい婚姻色を持つことで知られています。普段は砂地で地味な色をしていますが、繁殖期の夕方になると、オスは鮮やかな青やオレンジ色の鰭を大きく広げ、メスに求愛ダンスを披露します。この行動は「産卵ショー」と呼ばれ、ダイバーに人気です。日中は砂に潜っていることも多いです。
5091,トマリヒイロテンジクダイ,Zapogon evermanni,八丈島、琉球列島；インド・太平洋、西部大西洋の熱帯域,サンゴ礁の岩穴,全長約5cm,20m,テンジクダイの仲間で、赤い体と大きな目が特徴の夜行性の魚です。昼間は洞窟や岩の隙間の暗がりに隠れており、ほとんど動きません。夜になると外に出てきて、小さな甲殻類などを捕食します。群れでじっとしていることが多く、ライトで照らすと赤い目が光って見えます。驚かせないようにそっと観察するのがポイントです。
4960,トモシビイトヒキベラ,Cirrhilabrus melanomarginatus,南日本の太平洋岸、琉球列島、台湾、中沙諸島、フィリピン,岩礁域、サンゴ礁域、潮通しのよい所,全長約12cm,20m,イトヒキベラの仲間で、繁殖期のオスの婚姻色が非常に美しいことで人気です。オスは背びれや尾びれが黒く縁取られ、体色が鮮やかになります。サンゴ礁のガレ場や砂地の混じる斜面に生息し、オス1匹と複数のメスからなるハーレムを形成します。夕方になるとオスが鰭を広げてメスにアピールする求愛行動が見られます。
2674,トラウツボ,Enchelycore pardalis,南日本の太平洋岸、伊豆・小笠原諸島；インド・太平洋,沿岸岩礁域,全長約80cm,20m,ウツボの仲間で、赤褐色や黄褐色の地に、トラ柄のような複雑な斑紋があるのが特徴です。鼻先が湾曲しており、口を完全に閉じることができません。そのため、常に鋭い歯が見えています。岩礁やサンゴ礁の亀裂に潜んでいますが、昼間でも比較的活発で、巣穴から体を出して泳ぎ回ることもあります。タコや甲殻類を好んで食べます。
2545,トラギス,Parapercis pulchella,南日本：インド・西太平洋,岩礁域の砂底やガレ場,全長約15cm,12m,トラギスの仲間で、砂地やガレ場で見られる最も一般的な魚の一つです。下半身にある鞍状の斑紋が特徴で、腹びれで体を支え、海底でじっとしていることが多いです。肉食性で、ゴカイや甲殻類を食べます。ダイバーが近づいてもあまり逃げず、観察しやすい魚です。よく似た仲間が多いため、斑紋の形が識別のポイントになります。
12169,トラフザメ,Stegostoma fasciatum,南日本の太平洋岸、琉球列島；インド・西太平洋,サンゴ礁域、海底,全長約2.5m,3m,サメの仲間で、幼魚期は白黒のシマウマのような模様ですが、成魚になるとヒョウ柄（トラ柄）に変化します。夜行性で、昼間はサンゴ礁の砂地でじっとしていることがほとんどです。動きが緩慢でおとなしい性格のため、ダイバーが近づいても逃げないことが多く、人気の被写体です。長い尾びれが体の半分以上を占めます。
5370,トンプソンチョウチョウウオ,Hemitaurichthys thompsoni,小笠原諸島、南鳥島、南大東島；中・西部太平洋の熱帯域,島嶼のサンゴ礁域,全長約12cm,25m,チョウチョウウオの仲間で、カスミチョウチョウウオなどと同じグループに属します。体は一様に黒褐色または灰色で、他の多くのチョウチョウウオのような派手な模様はありません。サンゴ礁の外縁やドロップオフで大きな群れを作り、中層を泳ぎながら動物プランクトンを食べます。そのため、サンゴがない場所でも見られます。
2662,ドクウツボ,Gymnothorax javanicus,琉球列島；インド・太平洋,サンゴ礁域の浅所,全長約80cm,12m,ウツボの仲間で、世界中の熱帯域に生息する最大級の種です。黄褐色の体にヒョウ柄のような黒い斑点が密に分布します。岩礁やサンゴ礁の穴や亀裂を住処とし、昼間でも顔を出しています。口をパクパクさせているのは呼吸のためです。大型の個体は迫力がありますが、こちらから手を出さない限りは安全です。
16250,ドロメ,Chaenogobius gulosus,青森県太平洋側・北海道日本海側～九州、瀬戸内海、対馬、五島列島；朝鮮半島、渤海、黄海,岩礁域、潮だまりの2m以浅,全長約6cm,1m,ハゼの仲間で、河口などの汽水域から内湾の砂泥底に生息します。ずんぐりとした体型で、体色は生息環境によって変化します。泥の中に巣穴を掘って生活しており、普段はその入り口付近にいます。食用や釣りの対象としても知られており、地域によっては佃煮などで食べられます。ダイビングではあまり注目されませんが、身近な環境にいる魚です。
16452,ナカハラタナバタウオ,Plesiops nakaharae,南日本の太平洋岸、伊豆諸島；台湾沿岸岩礁域,沿岸岩礁域、転石の下,全長約7cm,3m,タナバタウオの仲間で、黒っぽい体に青い小さな斑点が散らばる美しい魚です。岩礁海岸の浅い場所やタイドプールで見られ、岩の隙間や転石の下に隠れています。警戒心が非常に強く、物音や光ですぐに奥へ引っ込んでしまいます。観察するには、岩陰を静かに覗き込む必要があります。第2背びれが長いのが特徴です。
438,ナガサキスズメダイ,Pomacentrus nagasakiensis,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,岩礁域やサンゴ礁域,全長約10cm,9m,スズメダイの仲間で、青みがかった黒い体が特徴です。サンゴ礁や岩礁のガレ場、砂地が混じる場所に生息し、単独か小さな群れで行動します。他のスズメダイと比べて、やや地味な印象ですが、岩の周りをちょこまかと泳ぐ姿が観察されます。幼魚は背中が黄色く、成魚とは見た目が異なります。
79,ナガニザ,Acanthurus nigrofuscus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面や礁池の浅所,全長約10cm,8m,ニザダイの仲間で、体は黒っぽく、尾びれの付け根に鮮やかなオレンジ色の斑点があるのが特徴です。サンゴ礁の浅い場所で大きな群れを作り、岩やサンゴの表面に生えた藻類を食べます。食事の際は群れで一斉に藻をついばむため、その場所だけ岩肌が白く見えることがあります。ダイバーには慣れており、観察しやすい魚です。
148,ナガハナダイ,Pseudanthias elongatus,南日本の太平洋岸、 伊豆大島； 台湾,岩礁域の30m以深に生息,全長約9cm,25m,ハナダイの仲間で、オスとメスで体色が異なります。オスは鮮やかな赤紫色で背びれの一部が長く伸び、メスはオレンジ色です。やや深めの岩礁の斜面やドロップオフで、オス1匹と多数のメスからなるハーレムを作ります。岩陰からあまり離れず、中層をホバリングするように泳ぎながらプランクトンを捕食します。
580,ナガブダイ,Scarus rubroviolaceus,和歌山県、琉球列島、小笠原諸島；インド・汎太平洋,岩礁域やサンゴ礁域、礁斜面,全長約60cm,10m,ブダイの仲間で、オスは青緑色、メスは赤紫色と見た目が大きく異なる。サンゴ礁や岩礁域で単独かペアで行動し、硬いくちばしで岩やサンゴの表面をかじって藻類を食べる。食事中に出す「ガリガリ」という音が、存在に気づくヒントになることもある。大型種だが、ダイビングでは比較的浅い水深で観察できる。
10213,ナガメイチ,Gymnocranius microdon,鹿児島県、 琉球列島； 東部インド洋～中・西部太平洋の熱帯域,砂礫底域、 岩礁域、 砂地,全長約25cm,10m,フエフキダイの仲間で、銀白色の体に細い褐色の横帯が入るのが特徴。砂地やガレ場を好み、単独か小さな群れで海底付近をゆっくりと泳ぐ。海底の砂を掘り返し、甲殻類やゴカイなどの底生生物を探して捕食する。ダイバーが近づいても比較的逃げにくいため、食事風景をじっくりと観察しやすい。
12114,ナガレボシ,Ostorhinchus selas,奄美大島、西表島；西部太平洋の熱帯域,水深20mのサンゴ礁壁,全長約3cm,28m,テンジクダイの仲間で、銀色の体に一本の黒い縦縞が走るのが特徴。サンゴ礁や岩礁域のやや深い場所を好み、日中は岩陰や洞窟の暗がりに群れでじっと潜んでいる。夜になると活動を始め、プランクトンなどを捕食する。観察するにはライトで岩陰をそっと照らすと、群れで定位している姿が見られる。
13331,ナガレメイタガレイ,Pleuronichthys japonicus,東北地方以南；東シナ海の大陸棚域,沿岸の150m以浅の砂底,全長約25cm,24m,両目が体の右側に集まっているカレイの仲間。砂泥底に巧みに擬態し、普段は目だけを出して砂に潜んでいるため見つけるのは困難。ゴカイや甲殻類を捕食する。ダイバーが気づかずに近づくと、驚いて海底を舞うように泳ぎ、少し離れた場所で再び着底する。その一瞬の動きが観察のチャンスとなる。
2346,ナデシコイソハゼ,Eviota nigrispina,琉球列島,サンゴ礁域、内湾の10m以浅のガレ場やサンゴの根の周辺,全長約1.5cm,5m,ハゼの仲間で、成魚でも2cmに満たない極小の魚。赤みがかった半透明の体に黒い斑点が散らばるのが特徴。サンゴの枝や岩の上でホバリングするように泳ぎ、ピタッと止まる動きを繰り返す。非常に小さいため、見つけるにはサンゴの表面などを注意深く観察する必要がある。その可憐な姿からマクロ派ダイバーに人気が高い。
2747,ナヌカザメ,Cephaloscyllium umbratile,北海道南部以南、南日本：東シナ海、台湾、ニュージーランド,水深18〜220mの岩または砂底,全長約1.5m,30m,おとなしいサメの仲間。危険を感じると海水を吸い込んで体を風船のように膨らませるユニークな防御行動をとる。夜行性のため、日中は岩棚の下や洞窟の奥でじっと休んでいる姿が見られる。観察する際は、驚かせないようゆっくりと距離を詰め、ライトの当てすぎに注意する必要がある。
11992,ナベカ,Omobranchus elegans,南北海道以南、南日本；朝鮮半島南部、山東半島,岩礁域、潮だまり、オオヘビガイの死殻や岩穴,全長約8cm,1m,ギンポの仲間で、ごく浅い岩礁やタイドプールに生息する。繁殖期のオスは体が鮮やかな黄色になり、頭部がこぶ状に盛り上がるのが特徴。空き缶や貝殻、岩の隙間を巣穴にし、ひょっこりと顔を出す仕草が観察できる。ダイビングの際はエントリー・エキジット直後の浅場で足元を探すと見つけやすい。
396,ナミスズメダイ,Amblyglyphidodon leucogaster,八丈島、琉球列島；インド・太平洋,サンゴ礁域の水深2〜45m、サンゴやウミシダの周辺,全長約10cm,6m,スズメダイの仲間で、銀白色の体と黄色い尾ビレが特徴。サンゴ礁域で大きな群れを作り、中層を漂うように泳いでいる。動物プランクトンを主食とする。危険を感じると一斉にサンゴの間に隠れる。ダイビング中にサンゴの上で大きな魚影の群れを見かけたら、本種である可能性が高い。
4340,ナミダカサゴ,Rhinopias argoliba,相模湾～高知までの南日本の太平洋岸,岩礁域,全長約30cm,32m,カサゴの仲間で、非常に珍しい希少種。体色は赤や紫、黄色など個体差が大きい。涙を流しているように見える目の下の模様が名前の由来。岩礁や砂地の海底でじっとしており、擬態しているため発見は極めて困難。数年に一度見られるかどうかというレベルで、出会えたら非常に幸運な魚。
82,ナミダクロハギ,Acanthurus japonicus,伊豆・小笠原諸島、琉球列島；西部太平洋の熱帯域,サンゴ礁域、礁斜面や礁池に単独で見られる,全長約13cm,15m,ニザダイの仲間で、目の下にある涙のような白い斑紋が名前の由来。サンゴ礁や岩礁の浅い場所で群れを作って生活し、岩に付着した藻類を食べる。他のハギ類と混泳していることも多い。ダイバーには比較的慣れやすく、近寄ってもあまり逃げないため、じっくりと観察や撮影が楽しめる。
4121,ナミダテンジクダイ,Nectamia savayensis,琉球列島；インド・太平洋,サンゴ礁域の水深5～10m、内湾のユビエダハマサンゴの周り,全長約8cm,5m,テンジクダイの仲間で、目の下を通る黒い斜めの線が涙のように見えることから名付けられた。日中はサンゴの枝の間や岩陰で大きな群れを作って隠れている。口の中で卵を育てる「口内保育」を行うことでも知られ、オスの口が膨らんでいる様子が観察できることもある。夜間に活発に活動する。
210,ナミハタ,Epinephelus ongus,琉球列島；インド・太平洋,サンゴ礁域の浅所,全長約20cm,12m,ハタの仲間で、体中に散らばる茶褐色の斑点が特徴。サンゴ礁や岩礁の洞窟や岩陰に単独で潜んでいることが多い。肉食性で、小魚や甲殻類を待ち伏せて捕食する。警戒心がやや強く、ダイバーが近づくとすぐに岩陰の奥に隠れてしまう。観察する際は、ゆっくりと物陰を覗き込むのがコツ。
5025,ナミフエダイ,Lutjanus rivulatus,南日本の太平洋岸、琉球列島；朝鮮半島、インド・太平洋,岩礁域、サンゴ礁域、汽水域,全長約50cm,15m,フエダイの仲間で、青みがかった体に波模様の黄色い線が多数入るのが特徴。成長すると体高のある堂々とした体つきになる。サンゴ礁や岩礁域で単独で行動することが多い。ダイバーをあまり恐れず、好奇心から近づいてくることもある。大型個体は迫力があり、ダイビング中の出会いが楽しみな魚の一つ。
3790,ナミマツカサ,Myripristis kochiensis,南日本の太平洋岸、八丈島、琉球列島,岩礁域,全長約9cm,5m,イットウダイの仲間で、夜行性の魚。日中はサンゴの枝の間や岩の隙間、洞窟の中などに群れで隠れている。赤く大きな目が特徴で、暗い場所でもよく見える。夜になると巣穴から出てきて、甲殻類などを捕食する。ダイバーは日中、オーバーハングの下などをライトで照らすと、赤い群れを発見できる。
135,ナメモンガラ,Xanthichthys mento,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；汎太平洋,岩礁域やサンゴ礁域、沖の隠れ根など、潮通しのよい所で中層にまばらな群れを作る,全長約20cm,25m,モンガラの仲間で、青い体に黄色い縁取りのヒレが美しい。サンゴ礁の外側（ドロップオフ）のやや深い場所で、潮通しの良い中層を泳いでいることが多い。動物プランクトンを食べる。他のモンガラ類のように攻撃的ではなく、性格は穏やか。中層を漂う姿を見つけたら、ゆっくり近づけば観察しやすい。
294,ナメラベラ,Hologymnosus annulatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域のガレ場,全長約30cm,5m,ベラの仲間で、オスは青緑色、メスや若魚は暗褐色と、成長や性別で体色が大きく変化する。砂地やガレ場を好み、海底の小動物を探して食べる。危険を感じると、目にもとまらぬ速さで砂の中に潜って隠れる。ダイバーがその姿を見失うほどの素早い潜り方は、本種を観察する上での見どころの一つ。
2860,ナメラヤッコ,Centropyge vrolikii,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域サンゴ礁に生息,全長約10cm,7m,小型ヤッコの仲間で、体の前半が灰色、後半が黒色とはっきり分かれたツートンカラーが特徴。サンゴ礁や岩礁域で、岩の陰やサンゴの根本付近をちょこまかと泳ぎ回る。雑食性で藻類や小型の甲殻類を食べる。近縁種のソメワケヤッコと交雑した個体が見られることもある。
511,ナンヨウカイワリ,Carangoides orthogrammus,新潟県、南日本、琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域や沿岸岩礁域,全長約30cm,30m,アジの仲間で、体の中央付近にある黄色い斑点が特徴。砂地や根の周りを単独、または小さな群れで回遊している。海底の砂を掘り返して餌を探す習性のあるギンガメアジなどの後をついて回り、驚いて飛び出した小動物をおこぼれとして狙う。他の魚との関係性に注目すると面白い。
523,ナンヨウツバメウオ,Platax orbicularis,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面の中層,全長約30cm,25m,銀色の円盤状の体が特徴的な魚。幼魚は枯葉に擬態して水面を漂う姿が知られるが、成魚はサンゴ礁や漁礁、沈船などの周辺で大きな群れを作ることが多い。人懐っこい性格で、ダイバーの周りを好奇心旺盛に泳ぎ回ることもある。特にマンメイド（人工物）のポイントで人気の被写体となっている。
90,ナンヨウハギ,Paracanthurus hepatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、潮通しのよい礁外縁や水路、沖の隠れ根,全長約2.5cm,10m,ニザダイの仲間で、鮮やかなコバルトブルーの体に黄色い尾を持つ美しい魚。幼魚は枝状サンゴの隙間に隠れており、危険を感じると素早く身を潜める。成長するとサンゴ礁域を泳ぎ回るが、臆病な性質は変わらない。ダイバーはサンゴの根本や岩の隙間を注意深く観察すると見つけやすい。
567,ナンヨウブダイ,Chlorurus microrhinos,八丈島、高知県以南、琉球列島、小笠原諸島；ハワイ諸島を除く中・西部太平洋の熱帯域,岩礁やサンゴ礁域、サンゴ礁の外側斜面,全長約35cm,10m,大型のブダイの仲間で、オスは成長すると額がこぶ状に張り出す。サンゴ礁域で群れを作り、岩や死サンゴに付着した藻類をかじり取って食べる。食事の際に硬いものをかじる「ゴリゴリ」という音が水中で聞こえてくることもある。鮮やかな体色と大きな体で、ダイビング中に目にする機会が多い。
3815,ナンヨウマンタ,Manta alfredi,高知県、琉球列島；インド・太平洋、東部大西洋,沿岸のサンゴ礁域、クリーニングステーション,体盤幅約2.5m,25m,世界最大級のエイの仲間で、大きな翼のような胸ビレを広げて優雅に泳ぐ。巨大な体だが、主食はプランクトンでおとなしい性格。大きな口を開けて海水を濾し取りながら食事をする姿が見られる。特定の根に集まり、体を掃除してもらう「クリーニング」の習性があり、そこが絶好の観察ポイントとなる。
94,ニザダイ,Prionurus scalprum,南日本、伊豆諸島、伊江島；朝鮮半島、台湾,岩礁域,全長約25cm,8m,ニザダイの仲間で、尾ビレの付け根にメスのような鋭い骨質板が並ぶのが特徴。岩礁域に生息し、主に海藻を食べる。冬から春にかけて、数百匹以上の巨大な群れを作って中層を泳ぎ回る姿は圧巻。ダイバーの間ではこの大群を「ニザダイの川」と呼び、人気の観察対象となっている。
5004,ニシキアナゴ,Gorgasia preclara,琉球列島、小笠原諸島；インド・西太平洋,潮通しの良い砂底,全長約30cm,20m,チンアナゴの仲間で、オレンジと白の鮮やかな縞模様が特徴。流れの良いきれいな砂地でコロニーを作り、体半分を砂に埋めてプランクトンを食べる。非常に警戒心が強く、ダイバーの気配や泡の音で一斉に砂の中に隠れてしまう。観察するには、距離を保ってゆっくり近づき、砂を巻き上げないように注意することが重要。
299,ニシキイトヒキベラ,Cirrhilabrus exquisitus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,全長約7cm,12m,ベラの仲間で、オスは非常に派手な色彩を持つ。特に婚姻色は鮮やかで、背ビレを大きく広げてメスにアピールする姿は美しい。サンゴ礁のガレ場や岩礁域に生息し、数匹のメスと1匹のオスからなるハーレムを形成する。夕方になるとオスの求愛行動が活発になるため、観察の狙い目となる。
16701,ニシキオオメワラスボ,Gunnellichthys curiosus,相模湾、伊豆半島、紀伊半島、高知県、沖縄諸島、西表島；インド・太平洋,サンゴ礁域、礁斜面など水深3～35mの砂底やガレ場の海底付近,全長約10cm,28m,細長い体型をしたハゼの仲間。サンゴ礁の砂地やガレ場に生息し、自ら掘った巣穴にペアで暮らす。体色は白地にオレンジ色の斑点が並び美しい。警戒心が強く、危険を感じると素早く巣穴に隠れてしまう。観察の際は、巣穴から少し離れた場所で動きを止めて、顔を出すのを辛抱強く待つ必要がある。
4702,ニシキカワハギ,Pervagor janthinosoma,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域、礁池や礁斜面の15m以浅,全長約8cm,10m,カワハギの仲間で、青い体にオレンジ色の斑点や線が入る美しい種。サンゴ礁域に生息し、枝状サンゴの間に隠れていることが多い。雑食性で、サンゴのポリプや小さな甲殻類などを食べる。臆病な性格で、サンゴの奥に隠れがちなので、見つけるには枝の間を根気よく探す必要がある。
281,ニシキキュウセン,Halichoeres biocellatus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域に生息。礁縁や水路など潮通しのよい所,全長約11cm,15m,ベラの仲間で、背ビレにある2つの黒い斑点が特徴。幼魚はサンゴ礁の浅場でよく見られ、成魚はやや深い砂礫底に移動する。海底近くを活発に泳ぎ回り、小型の甲殻類などを捕食する。危険を感じると砂の中に潜って隠れる習性も持つ。成長段階によって生息場所や体色が変化する魚。
2909,ニシキテグリ,Pterosynchiropus splendidus,琉球列島；東部インド洋〜中・西部太平洋の熱帯域,サンゴ礁域、内湾的な環境の浅所に群生するサンゴの枝間,全長約6cm,5m,ネズッポの仲間で、緑や青、オレンジが複雑に混じり合う極彩色の体色が特徴。サンゴ礁のガレ場や死サンゴの破片が積もった場所に生息し、海底を這うようにゆっくりと移動する。夕暮れ時に見られるペアでの「産卵浮上」は特に有名で、ダイバーを魅了する。警戒心が強いため、観察時は静かに待つのがコツ。
4951,ニシキハゼ,Pterogobius virgo,千葉県・新潟県～九州；朝鮮半島南西岸,岩礁域、15m以深の岩礁と砂底が混じる所,全長約15cm,30m,ハゼの仲間で、白い体に2本の黒い縦縞が入るのが特徴。砂泥底や岩礁域に生息し、泥の中に掘った巣穴の近くでペアで生活する。テッポウエビ類と共生することがあり、エビが掘った巣穴を見張り役として利用する。巣穴の入り口でホバリングしている姿を探すと見つけやすい。
2651,ニシキフウライウオ,Solenostomus paradoxus,南日本の太平洋岸，琉球列島；インド・太平洋,沿岸浅所の岩礁域に生育するウミシダ類やトサカ類付近,全長約5cm,8cm,ヨウジウオに近い仲間で、全身の複雑な皮弁でウミシダや海藻に擬態する。体色は生息環境に合わせて赤、黄、黒など多彩に変化する。流れの当たる場所で、ウミシダなどに寄り添い頭を下にして漂っている姿が見られる。高度な擬態能力を持つため、自力での発見は非常に難しい。メスが腹部の育児嚢で卵を保護する。
576,ニシキブダイ,Scarus prasiognathos,南日本の太平洋岸、八丈島、琉球列島；インド・西太平洋,サンゴ礁域、礁斜面,全長約40cm,12m,ブダイの仲間で、オスは緑色の体に鮮やかなピンク色の模様が入る派手な姿。一方、メスは茶色で地味な見た目をしている。サンゴ礁や岩礁域で群れを作り、岩に付着した藻類を食べる。オスとメスで見た目が全く違うため、別の種類の魚だと勘違いされることもある。オスの鮮やかさは特に目を引く。
253,ニシキベラ,Thalassoma cupido,南日本、小笠原諸島；朝鮮半島、中国、台湾,岩礁域、サンゴ礁域、温帯域,全長約13cm,4m,ベラの仲間で、日本の温帯域の浅い岩礁でごく普通に見られる。オスは青緑と赤の鮮やかな体色だが、メスや幼魚は褐色で地味。昼間は活発に泳ぎ回って餌を探し、夜は岩陰や砂の中で眠る。ダイビングを始めたばかりのダイバーが、身近な海の豊かさを知るきっかけになる魚の一つ。
2859,ニシキヤッコ,Pygoplites diacanthus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約4cm,23m,大型ヤッコの仲間で、黄色の体に青い縁取りの黒い横縞が入る美しい魚。サンゴ礁の洞窟やドロップオフの壁面、オーバーハングの下などを好む。警戒心が非常に強く、ダイバーの気配を感じるとすぐに岩陰に隠れてしまう。観察するには、物陰からそっと覗き込むなど、驚かせない工夫が必要。
3798,ニジエビス,Sargocentron diadema,南日本の太平洋岸、 琉球列島、 小笠原諸島； インド・太平洋,サンゴ礁域,全長約17cm,12m,イットウダイの仲間で、赤い体に白い縦縞が入り、頭に黒い模様があるのが特徴。夜行性で、日中はサンゴの枝の間や岩の隙間に潜んでいる。アカマツカサの群れに混じっていることが多い。よく似たアカマツカサとの違いは、頭頂部にある黒い斑紋の有無。そこを注意して見ると見分けられる。
2681,ニジギンポ,Petroscirtes breviceps,南日本、伊豆・小笠原諸島、琉球列島；朝鮮半島、インド・西太平洋,岩礁域やサンゴ礁域、浅所の藻場,全長約6cm,20m,ギンポの仲間で、目の上にある皮弁が特徴。流れ藻や浮遊物に付いて生活することが多いが、岩礁域でも見られる。他の魚のヒレをかじる習性がある。ダイビング中に海面近くを漂う流れ藻などを見つけたら、何かが隠れていないかチェックしてみると、本種を発見できるかもしれない。
80,ニジハギ,Acanthurus lineatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、波あたりの強い礁外縁の水深1〜3m,全長約25cm,2m,ニザダイの仲間で、青い体にオレンジ色の縦縞が入る非常に美しい魚。サンゴ礁の極めて浅い、波が打ち付けるような場所（リーフの上）を好んで生息する。縄張り意識が非常に強く、侵入者には激しく攻撃を仕掛ける。ダイバーが観察するには、波や流れに注意が必要な場所でもある。
196,ニジハタ,Cephalopholis urodeta,和歌山県以南の南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の浅所,全長約17cm,10m,ハタの仲間で、赤い体に青い小さな斑点が散らばり、尾ビレが二つに分かれているように見えるのが特徴。サンゴ礁の岩陰やクレバスに潜んでいる。縄張り意識が強く、あまり巣から離れない。ダイバーが岩陰を覗き込むと、美しい姿を見せてくれることがあるが、すぐに奥に隠れてしまうことが多い。
2835,ニジョウサバ,Grammatorcynus bilineatus,高知県柏島、琉球列島；インド・太平洋,サンゴ礁域を含む沿岸浅所の表層、礁外縁部,全長約35cm,7m,サバの仲間で、体側に2本の黒い縦線が走ることが名前の由来。サンゴ礁の外縁や水路など、潮通しの良い場所を高速で泳ぎ回る。小魚などを捕食するどう猛なハンター。単独か小さな群れで行動する。ダイバーの前を一瞬で通り過ぎることが多く、そのスピード感は迫力満点。
16744,ニセカエルウオ,Istiblennius edentulus,紀伊半島以南、琉球列島；インド・太平洋,岩礁域やサンゴ礁域、潮だまり,全長約14cm,1m,カエルウオの仲間で、潮間帯の岩場などごく浅い場所に生息する。干潮時には水たまり（タイドプール）に取り残されることもある。皮膚呼吸ができるため、水から出てもしばらく生きられる。ダイビングのエントリー・エキジット時に、波打ち際の岩の上などで見かけることがある。
85,ニセカンランハギ,Acanthurus dussumieri,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、礁斜面や礁池の浅所,全長約30cm,13m,ニザダイの仲間で、黄褐色の体に胸ビレの付け根の黒い斑点が特徴。サンゴ礁や岩礁域の砂地が混じる場所を好み、単独か群れで行動する。海底の砂ごと有機物を吸い込むようにして食べる。ダイバーが近づくと群れ全体で逃げていくが、距離を保てば食事の様子などを観察できる。
395,ニセクラカオスズメダイ,Amblyglyphidodon ternatensis,八重山諸島；西部太平洋,サンゴ礁域の12m以浅、シカツノサンゴが多い礁池,全長約8cm,5m,スズメダイの仲間で、淡い青緑色の体が美しい。サンゴ礁の枝サンゴの周りに群れで生活している。よく似たクラカオスズメダイとは、背ビレの後端に黒い点がないことで区別できる。ダイバーが近づくとサンゴの枝の間にさっと隠れるが、少し待っているとまた出てくる様子が観察できる。
2686,ニセクロスジギンポ,Aspidontus taeniatus taeniatus,南日本の太平洋岸、八丈島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域、磯池など,全長約9cm,15m,ホンソメワケベラに姿や泳ぎ方を似せたギンポの仲間。掃除をしてもらおうと近づいてきた魚のヒレや皮膚をかじり取って食べる「攻撃擬態」で知られる。本物のホンソメワケベラと比べて口が下向きについている点で見分けられる。魚を騙すトリッキーな生態は観察の面白いポイント。
