和名,学名,分布,生息場所,体長,深さ
スベスベサンゴヤドカリ,Calcinus laevimanus,房総半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋,サンゴ礁、礁原、潮間帯,,1～3m
アカツメサンゴヤドカリ,Calcinus pulcher,紀伊半島以南、台湾、ベトナム、オーストラリア北部、フランス領ポリネシア、インド洋東部、紅海,サンゴ礁、礁原、礁斜面（枝状サンゴ）,,3～15m
クリイロサンゴヤドカリ,Calcinus gaimardii,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋,サンゴ礁、礁原、礁斜面（枝状サンゴ）,,3～15m
カザリサンゴヤドカリ,Calcinus lineaptopodus,紀伊半島以南、マリアナ諸島、インドネシア、ニューギニア、オーストラリア北部、インド洋東部,サンゴ礁、礁原、礁斜面、枝状サンゴ,甲長1cm,5～15m
ウスイロサンゴヤドカリ,Calcinus latens,房総半島以南、東南アジア、オーストラリア、インド洋,サンゴ礁、礁原、礁斜面、枝状サンゴ,甲長0.5cm,3～15m
サメハダヤドカリ,Dardanus lagopodes,紀伊半島以南、東南アジア、オーストラリア、ハワイ、ツアモツ、セイシェル諸島,サンゴ礁、礁原、タイドプール、礁斜面,甲長4cm,5～60m
イボアシヤドカリ,Dardanus impressus,東京湾以南、韓国、台湾,岩礁、礁原、礁斜面、転石帯、砂底、砂泥底,甲長2cm,5～200m
ソメンヤドカリ,Dardanus pedunculatus,相模湾以南、東南アジア、オーストラリア、ハワイ、セイシェル,サンゴ礁、岩礁、礁原、礁斜面、転石帯、砂底、砂泥底,甲長4cm,5～300m
イシダタミヤドカリ,,東京湾以南、東南アジア、オーストラリア、インド洋,岩礁、礁原、礁斜面、転石帯、砂底、砂泥底,甲長3cm,3～180m
ヨコスジヤドカリ,,房総半島以南、東南アジア、オーストラリア、インド洋、紅海、地中海,岩礁、礁原、礁斜面、転石帯、砂底、砂泥底,甲長4cm,15～160m
オイランヤドカリ,Dardanus lagopodes,伊豆半島以南、東南アジア、オーストラリア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面、転石帯,甲長4cm,3～30m
アオボシヤドカリ,Dardanus guttatus,琉球列島以南、東南アジア、オーストラリア、インド洋,サンゴ礁、岩礁、礁原、礁斜面、転石帯,甲長3cm,3～15m
アカボシヤドカリ,Dardanus aspersus,房総半島以南、台湾,内湾、砂底、砂泥底,甲長3.5cm,15～50m
コモンヤドカリ,Dardanus megistos,房総半島以南、東南アジア、オーストラリア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面、転石帯,,1～180m
カブトヤドカリ,Dardanus deformis,紀伊半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁池、潮間帯、礁斜面,,1～15m
オカヤドカリ,Coenobita cavipes,奄美大島以南、南太平洋、インド洋,海岸、砂浜、隆起石灰岩、アダン林,,陸生
ムラサキオカヤドカリ,Coenobita purpureus,鹿児島県以南、東南アジア、インド洋,海岸、砂浜、隆起石灰岩、アダン林,甲長4cm,陸生
ナキオカヤドカリ,Coenobita rugosus,紀伊半島以南、東南アジア、南太平洋、インド洋,海岸、砂浜、河口、隆起石灰岩、アダン林,甲長1.5cm,陸生
サキシマオカヤドカリ,Coenobita perlatus,八重山諸島以南、東南アジア、ミクロネシア、フランス領ポリネシア、インド,海岸、砂浜、隆起石灰岩、アダン林,甲長2cm,陸生
ホンヤドカリ,Pagurus filholi,北海道〜九州、カムチャッカ半島、韓国,岩礁、磯、潮間帯、転石帯,甲長1cm,1〜5m
ケアシホンヤドカリ,Pagurus lanuginosus,北海道南部〜九州、ロシア（日本海沿岸）、黄海,岩礁、磯、潮間帯、転石帯,甲長1cm,1〜5m
アカシマホンヤドカリ,Pagurus nigrofascia,房総半島〜琉球列島,岩礁、磯、礁原、礁斜面、転石帯,甲長1cm,5〜200m
ベニホンヤドカリ,Pagurus similis,相模湾以南（太平洋側）、山形県以南（日本海側）、韓国,岩礁、礁原、礁斜面、転石帯、砂泥底,甲長2cm,5～280m
ユビナガホンヤドカリ,Pagurus dubius,北海道～九州、韓国,内湾、河口、藻場、転石帯、砂底、砂泥底,甲長1.5cm,2～20m
メダマホンヤドカリ,Pagurus megalops,相模湾～九州、韓国,内湾、砂泥底,甲長2cm,15～80m
オホーツクホンヤドカリ,Pagurus ochotensis,房総半島～北海道、日本海沿岸、オホーツク海、アラスカ、北東太平洋,礁斜面、砂底、砂泥底,甲長4～4.5cm,5～100m
カイメンホンヤドカリ,Pagurus pectinatus,北海道、日本海沿岸、黄海、サハリン,岩礁、転石帯、岩壁、潮間帯,,2～10m
イクビホンヤドカリ,Pagurus brachiomastus,相模湾～北海道、日本海沿岸、黄海、サハリン,内湾、砂底、砂泥底、岩礁、転石帯,,2～160m
ホンヤドカリ,,北海道以北、オホーツク海、アラスカ、北東大平洋,岩礁、礁原、礁斜面、転石帯、潮間帯,,3～20m
テナガホンヤドカリ,Pagurus nigrivittatus,,,,
オキナワホンヤドカリ,Pagurus boriviensis,琉球列島以南、東南アジア、オーストラリア北部、フィジー、インド洋、紅海,サンゴ礁、礁原、礁池、潮間帯,,2～5m
イガグリホンヤドカリ,Parapagurodes constans,函館湾～紀伊半島、韓国,内湾、砂底、砂泥底、岩礁、転石帯,,5～150m
ゼブラホンヤドカリ,Propaguopsis zebra,紀伊半島以南、オーストラリア、インド洋,サンゴ礁、礁斜面、サンゴ礫,0.8cm,12～100m
イトヒキヤドカリ,Nematopagurus dilatatus,相模湾以南～九州、小笠原諸島、東シナ海,内湾、砂泥底,,12～160m
ニホンサメハダホンヤドカリ,Labidochirus anomalus,九州～北海道南部、シベリア,内湾、砂泥底,,7～200m
カンザシヤドカリ,Pagurina,紀伊半島以南、東南アジア,サンゴ礁、塊状サンゴ,甲長0.5cm,3～15m
キタカンザシヤドカリ,Discorsopagurus maclaughlinae,北海道、サハリン、ロシア（日本海沿岸）,内湾、礫底、砂泥底,甲長2.5cm,20m以深
イボトゲガニ,Hapalogaster danuta,北海道～九州、韓国,岩礁、磯、転石下、潮間帯,甲長2cm,2～10m
ショウジョウガニ,Hapalogaster grebnitzkii,北海道東部、オホーツク海、ベーリング海,岩礁、磯、転石下、潮間帯,,1～5m
シワガニ,Dermaturus mandtii,北海道以北、オホーツク海、アラスカ,岩礁、タイドプール、礁壁、潮間帯,,1～70m
タラバガニ,Paralithodes camtschaticus,北海道、日本海、オホーツク海、ベーリング海、アラスカ,砂底、砂泥底、岩礁、礁原、礁斜面、礁壁、タイドプール,,3～800m
ハナサキガニ,Paralithodes brevipes,北海道北東岸、サハリン、オホーツク海、ベーリング海,砂底、砂泥底、岩礁、礁壁、礁洞、タイドプール、藻場,,2～200m
メンコガニ,,富山湾～函館湾（日本海側）、紀伊半島～函館湾（太平洋側）,岩礁、礁原、礁斜面、転石帯、岩盤、砂底、潮間帯,,3～60m
オルトマンワラエビ,Chirostylus ortmanni,房総半島～鹿児島,岩礁、礁斜面、トサカ類、イソバナ類、ウミカラマツ類,甲長1cm,15～70m
クダヤギクモエビ,Uroptychus kudayagi,相模湾～九州,岩礁、礁斜面、タイマツトサカ科,甲長0.7cm,15～90m
トウヨウコシオリエビ,Galathea orientalis,函館～九州、小笠原諸島、香港、アラビア海、紅海,岩礁、砂底、砂泥底、転石帯,甲長0.7cm,2～200m
フタホシコシオリエビ,Galathea bimaculata,奄美大島以南、東南アジア,サンゴ礁、礁原、枝状サンゴ,甲長1cm,1～15m
チュウコシオリエビ,Munida japonica,函館以南、東南アジア、インド洋、紅海,岩礁、礁原、礁斜面、砂泥底、転石帯,,15～500m
コマチコシオリエビ,Allogalathea elegans,相模湾以南、東南アジア、オーストラリア、フィジー、インド洋、紅海,サンゴ礁、岩礁、ウミシダ類,,2～120m
ヒヅメコシオリエビ,Lauriea gardineri,伊豆半島以南、パラオ、オーストラリア北部、インド洋、紅海,サンゴ礁、岩礁、礁斜面、カイメン類,,15m以深
オオアカハラ,Petrolisthes japonicus,房総半島以南、東南アジア、ハワイ、南太平洋、インド洋,岩礁、礁原、転石帯、潮間帯,,1～5m
イソカニダマシ,Petrolisthes japonicus,房総半島以南、台湾、香港、東南アジア,岩礁、礁原、転石下、潮間帯,甲長2.5cm,1～3m
ケブカカニダマシ,Petrolisthes pilosus,長崎県以南、台湾、東南アジア、インド洋、紅海,サンゴ礁、礁原、潮間帯,甲幅2cm,1～3m
フサゲカニダマシ,Petrolisthes tomentosus,琉球列島、台湾、東南アジア、インド洋、紅海,サンゴ礁、礁原、潮間帯,甲幅1cm,1～3m
ヨコシマカニダマシ,Petrolisthes japonicus,相模湾以南、インド洋、東南アジア,岩礁、転石帯,甲長1cm,10m以深
ショウジョウカニダマシ,Petrolisthes boscii,駿河湾以南、オーストラリア、インド洋、紅海,岩礁、礁原、礁斜面、転石下,甲長1cm,3m以深
アカホシカニダマシ,Neopetrolithes okinawae,紀伊半島以南、東南アジア、ミクロネシア、南太平洋、インド洋,外洋のサンゴ礁、イソギンチャク類,甲長2cm,5～15m
コホシカニダマシ,Neopetrolithes maculatus,紀伊半島以南、東南アジア、ミクロネシア、南太平洋、インド洋,外洋のサンゴ礁、イソギンチャク類,甲長2cm,5～15m
コブカニダマシ,Pachycheles stevensii,北海道～九州、韓国、ロシア,岩礁、礁原、礁縁、転石下,甲長1.5cm,1～7m
バルスカニダマシ,Pachycheles foresti,相模湾～九州北部,岩礁、礁斜面、転石下,甲幅1cm,1～55m
ナカソネカニダマシ,Lissoporcellana nakasonei,紀伊半島、天草,岩礁、礁斜面、チヂミトサカ科,甲長0.5cm,15m以深
ヨツバネジレカニダマシ,Lissoporcellana quadrilobata,伊豆半島以南、東南アジア、オーストラリア、インド洋、紅海,岩礁、礁斜面、タイマツトサカ科,甲幅0.5cm,15m以深
ウミエラカニダマシ,Porcellanella niloba,相模湾以南、香港、東南アジア、インド洋,砂底、砂泥底、ウミエラ、ウミサボテン,,10～70m
シャボテンダマシ,Porcellanella haigae,相模湾以南、香港、東南アジア、インド洋,砂底、砂泥底、ウミサボテン,,15m以深
ハマスナホリガニ,Hippa japonica,山形県～九州（日本海側）、茨城県～九州（太平洋側）,波打ち際、砂浜,,0～0.5m
ハサミシャコエビ,Laomedia astacina,福島県以南、黄海,内湾、海岸の泥底、河口干潟,6cm,1～2m
ショウグンエビ,Enoplometopus occidentalis,琉球列島以南、インドネシア、フィリピン、ハワイ、インド洋,サンゴ礁、礁原、礁斜面、礁洞、水路、岩穴,8cm,2～30m
サザナミショウグンエビ,Enoplometopus toigmani,琉球列島、モルジブ、パプアニューギニア,サンゴ礁、礁斜面、礁洞、岩穴,14cm,25m以深
スナモグリ,Nihonotrypaea japonica,北海道～九州、韓国,内湾、砂底、砂泥底,3cm,3m以深
アナジャコ,Upogebia major,北海道～九州、韓国、黄海、台湾,内湾、砂泥底,3cm,1～15m
オキナワアナジャコ,Thalassina anomala,奄美大島以南、東南アジア、インド洋,干潟、マングローブ林床、砂泥底、泥底,18cm,陸生
カイカムリ,Lamarckdromia globosa,北海道南部以南、台湾、香港、南太平洋、インド洋中部,岩礁、礁斜面、転石帯,甲幅4cm,20〜250m
アカゲカムリ,Lamarckdromia globosa,東京湾〜土佐湾、インド洋中部,岩礁、礁斜面、転石帯,甲幅2cm,20〜90m
オオカイカムリ,Dronia domia,伊豆半島以南、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面,甲幅18cm,5〜50m
ワタゲカムリ,Dromia wilsoni,青森湾〜九州、オーストラリア、ニュージーランド,岩礁、礁原、礁斜面、礁壁,甲幅2cm,20〜250m
ヒラアシカムリ,Petrodromia granulata,東京湾〜鹿児島湾,内湾、砂泥底、転石帯,甲幅3cm,20〜150m
トウヨウホモラ,Homola orientalis,相模湾〜九州、東南アジア、オーストラリア、インド洋、アフリカ東岸,岩礁、礁原、礁斜面、礁壁,甲長3cm,20〜400m
ツノナガオオホモラ,Moira longicornis,相模湾～土佐湾,岩礁、礁原、礁斜面、礁壁,甲長4cm,20～50m
トゲミズヒキガニ,Latreilopsis bispinosa,東京湾～九州、東南アジア、インド洋、アフリカ東岸,礁斜面、砂泥底,甲長2cm,20～280m
サナダミズヒキガニ,Latreilia valida,東京湾～九州（太平洋側）、秋田県～九州（日本海側）、東南アジア、インド洋、アフリカ東岸,砂底、砂泥底,甲長1cm,30～300m
ミズヒキガニ,Ephyra phalangium,青森湾～九州,砂底、砂泥底、イソギンチャク類,甲長10cm,10～300m
アサヒガニ,,相模湾以南、伊豆諸島、ハワイ、オーストラリア、インド洋,砂底、砂泥底,甲長20cm,10〜50m
サメハダヘイケガニ,Paradorippe granulata,北海道南部以南、韓国、台湾、中国北部,砂底、砂泥底、砂浜帯,甲長4cm,3〜150m
キメンガニ,Dorippe sinica,房総半島・男鹿半島〜九州、中国南部,砂底、砂泥底,甲幅4cm,20〜70m
トラフカラッパ,Calappa lophos,東京湾以南（太平洋側）、福井県以南（日本海側）、韓国、中国、台湾、東南アジア、インド洋、アフリカ東岸,砂底、砂泥底、貝殻砂底,甲幅8cm,10〜70m
カラッパ,Calappa calappa,東京湾以南（太平洋側）、福井県以南（日本海側）、韓国、中国、東南アジア、南太平洋、インド洋、紅海,砂底、砂泥底,,15～100m
ソデカラッパ,Calappa lophos,相模湾以南、伊豆諸島、東南アジア、ハワイ、南太平洋、インド洋、紅海,アマモ場、砂底、砂礫底,,1～50m
マルソデカラッパ,Calappa calappa,相模湾以南、伊豆諸島、ハワイ、南太平洋、インド洋,砂底、砂泥底,,5～50m
コブカラッパ,Calappa capellonis,相模湾以南、伊豆諸島、ハワイ、南太平洋、インド洋、紅海、アフリカ西岸、南北アメリカ（フロリダ～ブラジル）,砂礫底、貝殻砂底、転石帯,,5～100m
マルコブカラッパ,Calappa capellonis,駿河湾以南、スリランカ,内湾、砂底、砂泥底,,5～30m
カラッパモドキ,Cycloes granulosum,相模湾～九州、伊豆諸島、台湾、東南アジア、ハワイ、インド洋中部,砂底、砂泥底,,5～100m
キンセンガニ,Matuta victor,房総半島以南、韓国、中国、東南アジア、南太平洋、オーストラリア、インド洋、紅海,砂底、砂礫底,,1～15m
ツノナガコブシガニ,Leucosia anatum,房総半島～九州、インドネシア、南太平洋、オーストラリア、インド洋,砂底、砂泥底,,5～80m
フタメコブシガニ,Leucosia perlata,駿河湾、沖縄,砂底、砂泥底、転石帯,甲長2cm,2～10m
オガサワラコブシガニ,Leucosia insularis,琉球列島、小笠原諸島,砂底、砂泥底、転石帯,甲幅1cm,2～30m
コブシガニモドキ,Pseudophilyra heterograna,相模湾～九州、東南アジア、オーストラリア、インド洋、紅海,砂底、砂泥底,甲長1cm,5～30m
マメコブシガニ,Philyra pisum,岩手県以南、韓国、中国北部,干潟、内湾、砂泥底、アマモ場,甲長1cm,1～5m
テナガコブシガニ,Myra fugax,房総半島～九州、東シナ海、南太平洋、インド洋、紅海、地中海,砂底、砂泥底,甲長3cm,10～180m
ジュウイチトゲコブシガニ,Arcania undecimpinosa,岩手県以南、韓国、中国、台湾、オーストラリア、インド洋,砂底、砂泥底,甲長1.5cm,20～200m
ヒメトゲコブシガニ,Nucia speciosa,相模湾～九州、中国,砂底、砂泥底,,20～100m
イボツブコブシガニ,Nucia speciosa,奄美大島以南、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、礁原、礁池、転石帯,,2～10m
コンペイトウコブシガニ,Heteronucia venusta,相模湾以南、南太平洋,岩礁、礁原、礁斜面、転石下,,3～65m
ツノカルイシコブシガニ,Myra fugax,駿河湾～九州西北部,砂礫底、貝殻砂底,,20～50m
クモガニ,Oncinopus aranea,房総半島～九州、東南アジア、インド洋,岩礁、礁原、礁斜面、砂底、砂泥底、海藻類,,15～50m
アケウス,Achaeus japonicus,東京湾～九州、香港,岩礁、礁原、礁斜面、転石帯、藻場、砂底、砂泥底,2cm,15～100m
アワツブアケウス,Achaeus tuberculatus,青森県～九州、伊豆諸島、韓国,内湾、砂底、砂泥底,1cm,20～200m
クビナシアケウス,Chalaroachaeus ruripes,八丈島、琉球列島,サンゴ礁、岩礁、礁原、礁斜面、転石帯、砂底,1cm,5～20m
クビナガアケウス,Lambrachaeus ramifer,相模湾～紀伊半島、八丈島、ハワイ、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面、砂礫底、砂底,甲長1cm,15～90m
イツカククモガニ,Pyromia tubacula,東京湾～伊勢湾、韓国、カリフォルニア～パナマ湾,内湾、砂泥底、岩礁、護岸,甲幅1cm,1～80m
モクズショイ,Camposcia retusa,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋,サンゴ礁、岩礁、礁原、礁斜面、転石帯、砂底、砂泥底,甲長4cm,3～50m
タカアシガニ,Macrocheira kaempferi,釜石沖～九州西部（瀬戸内海を除く）、台湾、東シナ海,礁斜面、砂底、砂泥底,甲幅25cm,30～400m
ケセンガニ,Oregonia gracilis,千葉県～北海道、日本海、アラスカ、カリフォルニア沿岸,岩礁、礁原、礁斜面、砂底、砂泥底,甲幅3cm,5～530m
ズワイガニ,Chionoecetes opilio,千葉県～北海道、日本海、韓国、オホーツク海、ベーリング海、アラスカ,砂底、砂泥底,甲幅7cm,5～1200m
ミミズクガニ,Cyclocoeloma tuberculata,琉球列島、フィリピン、マレーシア、インドネシア,サンゴ礁、礁原、塊状サンゴ,,3m～15m
ヨツハモガニ,Pugettia quadridens,北海道～九州、韓国、中国北部,岩礁、礁原、礁斜面、磯、藻場、海藻類,,3～320m
ヨツハモドキ,Pugettia intermedia,相模湾～大阪湾,岩礁、礁原、礁斜面、磯、藻場、海藻類,,3～30m
イッカクガニ,Menaethius monoceros,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海,岩礁、礁原、礁斜面、磯、藻場、海藻類,,3～30m
コノハガニ,Huenia heraldica,房総半島以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁、岩礁、磯、礁原、礁斜面、藻場、海藻類,,3～140m
イソバナガニ,Xenocarcinus depressus,与論島以南、東南アジア、南太平洋、インド洋中部、ペルシャ湾,サンゴ礁、岩礁、礁斜面、イソバナ類,,5～30m
ナカザワイソバナガニ,Xenocarcinus tuberculatus,伊豆大島、紀伊半島、南太平洋,岩礁、礁斜面、ウミカラマツ類,甲長2cm,15～30m
エダツノガニ,Naxioides mammillata,相模湾～九州、東南アジア,岩礁、礁斜面、イソバナ類,甲長13cm,30～200m
アシナガツノガニ,Phalangipus hystrix,東京湾以南、東シナ海、南太平洋、オーストラリア、インド洋、紅海,内湾、砂泥底,甲長2.5cm,20～150m
アシズリツノガニ,Tylocarcinus styx,土佐湾以南、東南アジア、南太平洋、インド洋、紅海,サンゴ礁、礁原、礁斜面,甲長2cm,1～30m
ツノガニ,Hyastenus diacanthus,房総半島～九州、東シナ海、東南アジア、オーストラリア、インド洋中部,岩礁、礁斜面、カイメン類,甲長3.5cm,20～100m
ボラダイルツノガニ,Hyretenus bonadailei,相模湾～土佐湾、琉球列島、南太平洋、インド洋西部,サンゴ礁、岩礁、礁原、礁斜面、イソバナ類、ウミトサカ類,,5～50m
ヒラツノガニ,Scyta compresipes,相模湾以北、北海道沿岸、日本海、黄海,岩礁、礁原、礁斜面、礁壁、イソギンチャク類,,8～160m
イソコンペイトウガニ,Hoplophrys oatesii,伊豆半島以南、東南アジア、南太平洋、オーストラリア,岩礁、礁原、礁斜面、ウミトサカ類,,3～30m
ケアシガニ,Maja spinigera,東京湾～九州、台湾、インド洋中部,岩礁、礁斜面、転石帯、砂底,,20～150m
ノコギリガニ,Schizophrys aspera,房総半島以南、ハワイ、オーストラリア、インド洋、紅海,岩礁、礁原、礁斜面、礁壁、転石帯,,2～40m
カイメンガニ,Chlainoides longispinus,房総半島～九州、東南アジア、オーストラリア、インド洋、アフリカ東岸,岩礁、礁斜面、転石帯、礁壁、カイメン・ウミトサカ類,甲長5cm,10～50m
コワタクズガニ,Micippa philyra,東京湾以南、ハワイ、南太平洋、インド洋、アフリカ東岸、紅海,岩礁、礁原、礁斜面、転石帯,甲幅4cm,2～50m
ヤワラガニ,Halicarcinxs nessor,青森県～九州,岩礁、礁原、転石帯、藻場,甲幅0.5cm,1～10m
トウヨウヤワラガニ,,東京湾以南,岩礁、礁原、転石帯、藻場,甲幅0.5cm,1～10m
ソバガラガニ,Trigonoplax unguiformis,陸奥湾～九州、東南アジア、インド洋,砂底、砂泥底,甲幅1cm,5～50m
ヒメソバガラガニ,Elamena truncata,房総半島以南、南太平洋、オーストラリア、インド洋中部,岩礁、礁原、礁斜面、海藻類,甲幅0.4cm,3～30m
ヒシガニ,,房総半島～九州、韓国、中国、シンガポール、南太平洋、オーストラリア,砂底、砂泥底,,15～200m
カルイシガニ,Daldorfia horrida,紀伊半島以南、伊豆諸島、ハワイ、南太平洋、インド洋、紅海,サンゴ礁、岩礁、転石帯、砂礫底,,5～270m
ムラサキゴカクガニ,Echinoecea pentagonа,相模湾以南、伊豆諸島、ハワイ、南太平洋、インド洋、紅海,岩礁、礁原、礁斜面、ウニ類に共生,,2～20m
ケブカゼブラガニ,Eumedonus serenei,紀伊半島、小笠原諸島、東シナ海、オーストラリア東岸,岩礁、礁原、礁斜面、ウニ類に共生,,2～60m
ゼブラガニ,Zebrida adamsii,伊豆半島以南、東南アジア、南太平洋、オーストラリア、インド洋中部,岩礁、礁原、礁斜面、ウニ類に共生,,2～50m
コマチガニ,Haroovia japonica,房総半島～九州、南シナ海,岩礁、礁原、礁斜面、ウミシダ類,,5～30m
シロスジコマチガニ,Haroovia inonudata,駿河湾、奄美大島～琉球列島、南太平洋、インド洋,岩礁、礁原、礁斜面、ウミシダ類,,5～50m
ミツハコマチガニ,Ceratocarcinus trilobatus,東京湾～土佐湾,岩礁、礁原、礁斜面、ウミシダ類,,5～30m
トゲコマチガニ,Tiaramedon spinosus,紀伊半島、伊豆諸島、東南アジア、オーストラリア、ニューカレドニア、インド洋、紅海,岩礁、礁原、礁斜面、ウミシダ類,,2～50m
クリガニ,Telmessus cheiragonus,北海道沿岸、ベーリング海、アラスカ、カリフォルニア,礁原、礁斜面、転石帯、砂底、砂泥底,,2～30m
トゲクリガニ,Telmessus acutidens,北海道沿岸、東京湾、日本海,礁原、礁斜面、転石帯、砂底、砂泥底,,2～50m
ケガニ,Erimacrus isenbeckii,茨城県～北海道、日本海、韓国、ベーリング海、アラスカ沿岸,礁斜面、砂底、砂泥底,,15～200m
イチョウガニ,Cancer japonicus,東京湾～土佐湾,礁斜面、砂底、砂泥底,,15～100m
イボイチョウガニ,Cancer gibbosulus,北海道～九州、韓国、中国北部,岩礁、礁原、礁斜面、転石下,,2～100m
コイチョウガニ,Cancer amphioetus,北海道～九州、韓国、中国北部、カリフォルニア～メキシコ,岩礁、礁原、礁斜面、転石下、岩盤,,2～70m
カルバガザミ,Carupa tentipes,東京湾以南、ハワイ、南太平洋、オーストラリア、インド洋、紅海、南アフリカ,岩礁、礁原、礁斜面、礁壁、転石帯,,2～30m
トサカガザミ,Caphyra yoobadai,伊豆半島～紀伊半島、オーストラリア、インド洋東部、南アフリカ,岩礁、サンゴ礁、ウミアザミ類、トサカ類,,10～30m
マルガザミ,Lissocarcinus laevis,相模湾～九州、伊豆諸島、東南アジア、オーストラリア、インド洋、南アフリカ,砂底、砂泥底、イソギンチャク類,,5～85m
トガリマルガザミ,Lissocarcinus polybioides,相模湾以南、アンダマン海、オーストラリア、インド洋,砂底、砂泥底、ウニ類、ヒトデ類,,5～100m
ナマコマルガザミ,Lissocarcinus orbicularis,相模湾以南、東南アジア、ハワイ、オーストラリア、インド洋,岩礁、サンゴ礁、砂底、砂泥底、ナマコ類,,5～60m
ヒラツメガニ,Ovalipes punctatus,北海道南部以南、韓国、中国北部,砂底、砂泥底、砂浜帯,,2～30m
シワガザミ,,房総半島～九州、オーストラリア、南太平洋、インド洋、紅海、地中海、ヨーロッパ沿岸,内湾、砂泥底,,10～180m
アミメノコギリガザミ,Scylla serrata,琉球列島、東南アジア、オーストラリア、インド,河口、マングローブ林床,,1～10m
ジャノメガザミ,Portunus sanguinolentus,房総半島以南、ハワイ、オーストラリア、南太平洋、インド洋,砂底、砂泥底,,10～30m
タイワンガザミ,Portunus pelagicus,相模湾以南（太平洋側）、福井県以南（日本海側）、フィリピン、南太平洋、オーストラリア、インド洋、紅海、地中海,砂底、砂泥底,,10～30m
ガザミ,Portunus trituberculatus,北海道南部～九州、台湾、韓国、中国北部,砂底、砂泥底、干潟,,1～30m
イボガザミ,Portunus hastatoides,千葉県～奄美大島、韓国、中国北部,砂底、砂泥底,,5～180m
ケブカイボガザミ,Portunus tarsipes,駿河湾以南、フィリピン、オーストラリア、アンダマン海,内湾、砂泥底,,10～100m
テナガヒメガザミ,Portunus longispinosus,伊豆半島、紀伊半島、ハワイ、南太平洋、オーストラリア、インド洋、アフリカ東岸,内湾、砂泥底,,5～20m
ケンガザミ,Portunus spinicarpus,伊豆半島、紀伊半島、インド洋西部,内湾、砂泥底,,5～20m
オオメテナガヒメガザミ,Portunus macrophthalmus,紀伊半島以南、小笠原諸島、東南アジア、ハワイ、インド洋,サンゴ礁、砂底,,2～60m
マルハテナガヒメガザミ,Portunus ermarginatus,奄美大島以南、東南アジア、オーストラリア、インド洋,サンゴ礁、砂底,,2～27m
サメハダヒメガザミ,Portunus granularis,相模湾以南、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁、岩礁、砂底、転石帯,,1～120m
イシガニ,,千葉県以南、韓国、中国、台湾,タイドプール、河口、岩礁、砂礫底、転石帯、砂底、砂泥底、泥底,,1～45m
シマイシガニ,Charybdis feriata,相模湾以南、南太平洋、オーストラリア、インド洋、アフリカ東岸,砂底、砂泥底,,10～70m
アカイシガニ,,東京湾～紀伊半島、香港,岩礁、礁原、礁斜面、転石帯,,3～20m
ベニイシガニ,Charybdis acuta,東京湾～九州、中国、オーストラリア、インド洋,砂底、砂泥底、イソギンチャク類,,20～100m
アカイシガニモドキ,Charybdis riversandersoni,相模湾～土佐湾、インド洋,岩礁、礁斜面、転石帯,,20～150m
ワタリイシガニ,Charybdis truncata,相模湾～紀伊半島、台湾、中国、東南アジア、オーストラリア、インド洋、紅海、アフリカ東岸,内湾、砂底、砂泥底、イソギンチャク類,,10～35m
ツブワタリイシガニ,Charybdis granulata,相模湾～紀伊半島沿岸,内湾、砂底、砂泥底、イソギンチャク類,甲幅7cm,10～35m
ヒロハイシガニ,Charybdis truncata,東京湾～九州、香港、東南アジア、オーストラリア、インド洋,砂底、砂泥底,甲幅4cm,10～50m
マダライシガニモドキ,Charybdis acutifrons,紀伊半島以南、紅海、インド洋西部,サンゴ礁、岩礁、礁原、礁池、岩盤,甲幅6cm,2～20m
フタホシイシガニ,Charybdis bimaculata,仙台湾～九州、東アジア、南太平洋、オーストラリア、インド洋、アフリカ東岸,内湾、砂底、砂泥底,甲幅3cm,2～430m
ヨツハイシガニ,Charybdis annulata,紀伊半島以南、インド洋、ペルシャ湾,サンゴ礁、礁原、礁斜面,甲幅5cm,2～20m
アマミベニツケガニ,Thalamita stimpsoni,種子島以南、東南アジア、南太平洋、オーストラリア、インド洋、紅海,サンゴ礁、礁原、礁池、タイドプール,,1～10m
ヒメベニツケガニ,Thalamita picta,房総半島以南、中国南部、東アジア、ハワイ、南太平洋、オーストラリア、インド洋、紅海,岩礁、礁原、礁斜面、転石帯、砂礫底、砂泥底,,15～35m
オオヒメベニツケガニ,Thalamita danae,相模湾～紀伊半島、オーストラリア,礁原、礁斜面、転石帯,,5～40m
ミナミベニツケモドキ,Thalamita danae,紀伊半島以南、香港、南太平洋、オーストラリア、インド洋、アフリカ東岸,サンゴ礁、礁原、礁池、タイドプール,,1～5m
