和名,学名,分布,生息場所,体長,深さ
ウスモモテンジクダイ,Zoramia viridiventer,琉球列島；中・西部太平洋の熱帯域,礁池内のサンゴ枝周辺,4cm,6m
イトヒキテンジクダイ,Zoramia leptacantha,琉球列島；インド・太平洋,礁池内のサンゴの枝周辺、ユビエダハマサンゴの周り,5cm,6m
カスリイシモチ,Pristiapogon kallopterus,八丈島、和歌山県以南～琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、岩穴やサンゴの陰,9cm,10m
ユカタイシモチ,Pristiapogon exostigma,琉球列島；インド・太平洋,岩礁域,7cm,10m
ヒトスジイシモチ,Pristiapogon fraenatus,八丈島、三宅島、和歌山県、琉球列島；インド・太平洋,岩礁域の岩穴やサンゴの陰,7cm,18m
ミスジアカヒレイシモチ,Pristicon trimaculatus,琉球列島；中・西部太平洋の熱帯域,岩礁域、サンゴの穴や岩の裂け目など暗い場所,8cm,10m
トマリヒイロテンジクダイ,Zapogon evermanni,八丈島、琉球列島；インド・太平洋、西部大西洋の熱帯域,サンゴ礁の岩穴,5cm,20m
ネオンテンジクダイ,Ostorhinchus parvulus,琉球列島；フィリピン、インドネシア、マレーシアのサバ州,内湾の岩礁域,3cm,10m
ネンブツダイ,Ostorhinchus semilineatus,南日本：東部インド洋～西部太平洋の温・熱帯域,岩礁域の水深3～100m,8cm,25m
カブラヤテンジクダイ,Ostorhinchus dispar,宮古島、慶良間諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁、30m以深のサンゴ礁、潮通しのよい所、ヤギ類の周り,5cm,25m
テッポウイシモチ,Ostorhinchus kiensis,相模湾以南～東シナ海；朝鮮半島、中国、台湾,内湾の砂泥底、物陰やハナギンチャク類の周囲,7cm,25m
ヒラテンジクダイ,Ostorhinchus compressus,琉球列島；西部太平洋の熱帯域,内湾のサンゴ礁のサンゴ枝間,8cm,7m
ナガレボシ,Ostorhinchus selas,奄美大島、西表島；西部太平洋の熱帯域,水深20mのサンゴ礁壁,3cm,28m
フタスジイシモチ,Ostorhinchus fukuii,南日本の太平洋岸、八丈島、沖縄島、小笠原諸島；チャゴス諸島、ツアモツ諸島,岩礁域の水深40～100mに生息、砂地のある所を好む,4cm,30m
タスジイシモチ,Ostorhinchus novemfasciatus,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域に生息、浅所の岩やサンゴの下でじっとしている,10cm,10m
ミナミフトスジイシモチ,Ostorhinchus nigrofasciatus,神奈川県以南～琉球列島；インド・太平洋,サンゴ礁域の浅所、サンゴの小さな隙間の奥や大きな塊の下など、比較的暗い所でじっとしている,6cm,15m
スジイシモチ,Ostorhinchus cookii,千葉県以南～琉球列島；インド・西太平洋,サンゴ礁域と岩礁域の浅所に生息、サンゴの下など暗い場所にいてあまり動かない,10cm,2m
ウスジマイシモチ,Ostorhinchus angustatus,八丈島、奄美大島、沖縄県瀬底島；インド・太平洋,サンゴ礁域の礁池,7cm,10m
オオスジイシモチ,Ostorhinchus doederleini,千葉県以南～琉球列島；朝鮮半島、中国,沿岸岩礁域,8cm,15m
コスジイシモチ,Ostorhinchus endekataenia,東京湾以南～慶良間諸島；朝鮮半島、中国,沿岸岩礁域、やや深所,8cm,10m
クロホシイシモチ,Ostorhinchus notatus,南日本、琉球列島；朝鮮半島,沿岸岩礁域,8cm,7m
スジオテンジクダイ,Ostorhinchus holotaenia,"南日本の太平洋岸,伊豆諸島,福岡県沖ノ島,長崎県香焼;インド・西太平洋",,6cm,7m
キンセンイシモチ,Ostorhinchus properuptus,"神奈川県以南〜琉球列島,小笠原諸島;インド・西太平洋","サンゴ礁域,岩礁域",5cm,13m
アカホシキンセンイシモチ,Ostrhinchus rubrimacula,"石垣島,西表島;西部太平洋の熱帯域",サンゴ礁域,5cm,10m
アオスジテンジクダイ,Ostorhinchus aureus,南日本の太平洋岸、八丈島、三宅島、琉球列島；インド・西太平洋沿岸,岩穴やテーブル状のサンゴの下,7cm,15m
セホシテンジクダイ,Ostorhinchus moluccensis,西表島、沖縄島；西部太平洋の熱帯域サンゴ礁域の浅所,サンゴ礁域の浅所,6cm,5m
アオハナテンジクダイ,Ostorhinchus apogonides,南日本の太平洋岸、八丈島、三宅島、琉球列島；インド・太平洋沿岸,岩穴やサンゴの下、棘皮動物の周辺など、少し暗い場所,8cm,15m
ミヤコイシモチ,Ostorhinchus shigakiensis,琉球列島；フィリピン,内湾の藻場,5cm,3m
クロイシモチ,Apogonichthyoides niger,神奈川県、長崎県以南～九州；朝鮮半島、中国、台湾,内湾の砂泥底域、物陰や海底にあるビンやカンの中,7cm,10m
ナミダテンジクダイ,Nectamia savayensis,琉球列島；インド・太平洋,サンゴ礁域の水深5～10m、内湾のユビエダハマサンゴの周り,8cm,5m
ホソスジナミダテンジクダイ,Nectamia fusca,琉球列島；インド・太平洋,サンゴ礁の礁池、潮だまり、水深1m程のごく浅い場所,6cm,1m
バンダイシモチ,Nectamia bandanensis,沖縄島、西表島；中・西部太平洋の熱帯域,サンゴ礁縁の水深30m付近,7cm,10m
サンギルイシモチ,Fibramia thermalis,琉球列島；インド・西太平洋,サンゴ礁域の内湾、泥底、枝状のサンゴやガンガゼの周り,6cm,6m
キツネアマダイ,Malacanthus latovittatus,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,サンゴ礁域のガレ場,30cm,13m
ヤセアマダイ,Malacanthus brevirostris,南日本の太平洋岸、八丈島、琉球列島；インド・汎太平洋,サンゴ礁域のガレ場,15cm,20m
タマムシサンゴアマダイ,Hoplolatilus chlupatyi,沖縄県伊江島；フィリピン,サンゴ礁域の水深47～70m、潮通しのよい所,7cm,50m
アカオビサンゴアマダイ,Hoplolatilus marcosi,沖縄県；西部太平洋の熱帯域,水深50～71m、潮通しのよい所,10cm,43m
オキナワサンゴアマダイ,Hoplolatilus cuniculus,沖縄県瀬底島；インド・太平洋,サンゴ礁域の水深30～55m,12cm,40m
ムツ,Scombrops boops,北海道以南～島根・東シナ海の大陸棚縁辺域、西部インド洋～大西洋南東部,沿岸から沖合いの岩礁域,13cm,10m
コバンザメ,Echeneis naucrates,全世界の温・熱帯域,沿岸浅所,40cm,15m
ツムブリ,Elagatis bipinnulata,南日本、琉球列島；全世界の温・熱帯域,沖合いから沿岸の表層,1m,15m
マアジ,Trachurus japonicus,日本全域；朝鮮半島、中国、台湾,陸棚域の表層から下層,20cm,15m
ブリモドキ,Naucrates ductor,南日本、琉球列島：全世界の温・熱帯域,沖合いから沿岸の表層,15cm,3m
ブリ,Seriola quinqueradiata,"琉球列島を除く日本全域;朝鮮半島, 中国, ハワイ諸島",沿岸浅所の中・下層域、沖の岩礁,40cm,15m
ヒラマサ,Seriola aureovittata,"北海道以南〜琉球列島, まれに日本海沿岸; 西部大西洋を除く全世界の温・熱帯域",沿岸浅所の中・下層域,80cm,20m
ヒレナガカンパチ,Seriola rivoliana,南日本の太平洋岸、琉球列島；全世界の温・熱帯域,沿岸浅所の中・下層域,70cm,20m
カンパチ,Seriola dumerili,南日本、琉球列島；東部太平洋を除く全世界の温・熱帯域,沿岸浅所の中・下層域,80cm,30m
コバンアジ,Trachinotus baillonii,新潟県、福岡県、南日本の太平洋岸；インド・太平洋,沿岸浅所の下層砂底、岩礁域の波あたりの激しい水面直下、内湾や砂浜海岸の浅所,20cm,水面下
マルコバン,Trachinotus blochii,南日本の太平洋岸；インド・太平洋,沿岸浅所の下層域,40cm,10m
メアジ,Selar crumenophthalmus,佐渡島、南日本の太平洋岸；全世界の温・熱帯域,沿岸の中・下層の170m以浅,20cm,12m
クサヤモロ,Decapterus macarellus,南日本の太平洋沿岸、琉球列島；全世界の温・熱帯域,沿岸浅所の中・下層、水深40～200m,25cm,10m
イケカツオ,Scomberoides lysan,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸の100m以浅、外洋に面した岩礁、サンゴ礁の表層、ドロップオフなどの沖側,40cm,7m
カスミアジ,Caranx melampygus,南日本の太平洋岸；インド・汎太平洋,内湾とサンゴ礁域、礁池の1m程の浅所,40cm,20m
カッポレ,Caranx lugubris,南日本の太平洋岸、琉球列島；全世界の温・熱帯域,島嶼のサンゴ礁域の水深25～65m、潮通しのよい斜面,40cm,10m
ギンガメアジ,Caranx sexfasciatus,南日本の太平洋岸、琉球列島：インド・汎太平洋,内湾とサンゴ礁域,40cm,10m
ロウニンアジ,Caranx ignobilis,南日本、琉球列島；インド・太平洋,内湾、サンゴ礁域、岩礁域,1m,20m
オニヒラアジ,Caranx papuensis,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,内湾、サンゴ礁域、岩礁域,50cm,10m
イトヒラアジ,Carangichthys dinema,南日本、琉球列島；インド・太平洋,内湾浅所、サンゴ礁域,40cm,23m
イトヒキアジ,Alectis ciliaris,北海道以南〜琉球列島；全世界の温・熱帯域,沿岸の100m以浅、幼魚は表層近く,40cm,7m
コガネシマアジ,Gnathanodon speciosus,南日本の太平洋岸、琉球列島；インド・汎太平洋,内湾の下層域、サンゴ礁域,60cm,23m
シマアジ,Pseudocaranx dentex,南日本の太平洋岸、琉球列島；東部太平洋を除く全世界の温・熱帯域,沿岸浅所の中・下層域の200m以浅,20cm,16m
カイワリ,Kaiwarinus equula,北海道以南〜琉球列島；インド・太平洋,沿岸浅所の下層域200m,10cm,10m
コガネアジ,Carangoides bajad,琉球列島；インド・西太平洋,サンゴ礁域の沿岸浅所,30cm,18m
インドカイワリ,Carangoides plagiotaenia,琉球列島；インド・太平洋,サンゴ礁外縁部,30cm,7m
クロヒラアジ,Carangoides ferdau,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸浅所のサンゴ礁域、岩礁域,25cm,20m
ナンヨウカイワリ,Carangoides orthogrammus,新潟県、南日本、琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域や沿岸岩礁域,30cm,30m
ホシカイワリ,Carangoides fulvoguttatus,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸浅所のサンゴ礁域、岩礁域,30cm,15m
マダラタルミ,Macolor niger,和歌山県、八丈島、小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、岩礁域,40cm,20m
ホホスジタルミ,Macolor macularis,和歌山県、高知県、八重山諸島；東インド・西太平洋,サンゴ礁域、岩礁域、潮通しのよい所,35cm,20m
キンセンフエダイ,Lutjanus lutjanus,高知県、琉球列島、インド・西太平洋サンゴ礁域,サンゴ礁域、主に内湾,20cm,20m
ロクセンフエダイ,Lutjanus quinquelineatus,南日本の太平洋岸、琉球列島、インド・西太平洋,サンゴ礁域、岩礁域,20cm,15m
ゴマフエダイ,Lutjanus argentimaculatus,南日本、インド・太平洋、地中海（導入）サンゴ礁域,サンゴ礁域、主に汽水域,40cm,5m
ヨスジフエダイ,Lutjanus kasmira,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、岩礁域,20cm,15m
ベンガルフエダイ,Lutjanus bengalensis,沖縄諸島、宮古諸島、八重山諸島；インド・西太平洋,サンゴ礁域,7cm,22m
キュウセンフエダイ,Lutjanus rufolineatus,高知県以南～琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,25m
ニセクロホシフエダイ,Lutjanus fulviflamma,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,30cm,9m
クロホシフエダイ,Lutjanus russellii,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域、岩礁の周りに砂地のある所,20cm,18m
イッテンフエダイ,Lutjanus monostigma,和歌山県、八丈島、小笠原諸島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,40cm,23m
アミメフエダイ,Lutjanus decussatus,沖縄列島、宮古諸島、八重山諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域,20cm,7m
ナミフエダイ,Lutjanus rivulatus,南日本の太平洋岸、琉球列島；朝鮮半島、インド・太平洋,岩礁域、サンゴ礁域、汽水域,50cm,15m
フエダイ,Lutjanus stellatus,南日本の太平洋岸、琉球列島；中国南部、台湾,岩礁域、サンゴ礁域,30cm,10m
センネンダイ,Lutjanus sebae,隠岐諸島、南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域,30cm,20m
バラフエダイ,Lutjanus bohar,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,40cm,13m
ヒメフエダイ,Lutjanus gibbus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,25cm,20m
オキフエダイ,Lutjanus fulvus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,10m
イレズミフエダイ,Symphorichthys spilurus,琉球列島；西部太平洋の熱帯域,サンゴ礁域,35cm,23m
アオチビキ,Aprion virescens,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、潮通しのよい場所,60cm,20m
イシフエダイ,Aphareus furca,南日本の太平洋岸、琉球列島；インド・汎太平洋,岩礁域、サンゴ礁域、沿岸の浅所,30cm,12m
ウメイロ,Paracaesio xanthura,南日本の太平洋岸、琉球列島、小笠原諸島；朝鮮半島、インド・太平洋,岩礁域、サンゴ礁域、潮通しのよい所,20cm,30m
ヨゴレアオダイ,Paracaesio sordida,八丈島、琉球列島、小笠原諸島；インド・太平洋,岩礁域、ドロップオフなどの沖側,25cm,30m
ウメイロモドキ,Caesio teres,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域、潮通しのよい礁斜面,20cm,20m
ユメウメイロ,Caesio cuning,山陰地方、琉球列島、小笠原諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、潮通しのよい場所,20cm,25m
ハナタカサゴ,Caesio lunaris,琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁域,20cm,15m
ササムロ,Caesio caerulaurea,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,10m
イッセンタカサゴ,Pterocaesio trilineata,琉球列島；インド・太平洋,サンゴ礁域,20cm,10m
タカサゴ,Pterocaesio digramma,隠岐諸島、南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,20cm,15m
クマササハナムロ,Pterocaesio tile,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,15m
ニセタカサゴ,Pterocaesio marri,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,23cm,15m
マツダイ,Lobotes surinamensis,南日本、琉球列島；全世界の温・熱帯域,海面の漂流物付近,7cm,
クロサギ,Gerres equulus,南日本；朝鮮半島南部,沿岸砂底域,20cm,10m
イサキ,Parapristipoma trilineatum,南日本；朝鮮半島、中国、台湾,浅海の岩礁域、海藻の多い海底,25cm,23m
コロダイ,Diagramma pictum,九州西岸、南日本の太平洋岸、琉球列島；オーストラリアとニューギニア南部を除く西部太平洋の熱帯域,岩礁域とサンゴ礁域の砂底,30cm,21m
チョウチョウコショウダイ,Plectorhinchus chaetodonoides,高知県、琉球列島、小笠原諸島；インド・西太平洋,浅海の岩礁域、サンゴ礁域,40cm,12m
オシャレコショウダイ,Plectorhinchus flavomaculatus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,浅海の岩礁域、サンゴ礁域,35cm,15m
アジアコショウダイ,Plectorhinchus picus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,浅海の岩礁域、サンゴ礁域,40cm,20m
ムスジコショウダイ,Plectorhinchus vittatus,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,浅海の岩礁域、サンゴ礁域,40cm,20m
ヒレグロコショウダイ,Plectorhinchus lessonii,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,浅海の岩礁域、サンゴ礁域,30cm,10m
アヤコショウダイ,Plectorhinchus lineatus,琉球列島、小笠原諸島；西部太平洋の熱帯域,浅海の岩礁域、サンゴ礁域,40cm,20m
キツネウオ,Pentapodus caninus,琉球列島；中・西部太平洋の熱帯域,サンゴ礁域、海底に近い中層,25cm,20m
ヤクシマキツネウオ,Pentapodus aureofasciatus,屋久島、琉球列島；中・西部太平洋の熱帯域,サンゴ礁外縁の中・下層,3cm,30m
イトタマガシラ,Pentapodus nagasakiensis,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の温・熱帯域,サンゴ礁外縁の中・下層,15cm,25m
フタスジタマガシラ,Scolopsis bilineata,南日本の太平洋岸、八丈島、琉球列島；インド・西太平洋,サンゴ礁砂底域の水深10～25m,3cm,3m
ヒトスジタマガシラ,Scolopsis monogramma,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁砂底域の水深20～50m、砂泥底,30cm,13m
ヨコシマタマガシラ,Scolopsis lineata,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁砂底域,15cm,3m
ヒメタマガシラ,Scolopsis affinis,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁砂泥底域,30cm,13m
シンジュタマガシラ,Scolopsis margalitifera,八重山諸島；西太平洋,サンゴ礁砂底域,20cm,8m
カメンタマガシラ,Scolopsis xenochrous,高知県柏島，琉球列島；インド・西太平洋,サンゴ礁外縁部の水深45～50m、砂泥底域,13cm,30m
ハクセンタマガシラ,Scolopsis ciliata,琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁砂泥底域、内湾の砂泥底域,18cm,2m
タマガシラ,Parascolopsis inermis,南日本，琉球列島；朝鮮半島南部，インド・西太平洋,岩礁域の水深120～130m,20cm,15m
アカタマガシラ,Parascolopsis eriomma,南日本の太平洋岸，琉球列島；インド・西太平洋,岩礁に隣接する水深50～100mの砂泥底,10cm,15m
マダイ,Pagrus major,北海道以南～東シナ海；朝鮮半島南部，中国，台湾,岩礁域や砂礫底,40cm,25m
クロダイ,Acanthopagrus schlegelii,北海道以南～九州；朝鮮半島南部，中国，台湾,内湾や河口、汽水域、砂礫底,30cm,12m
ノコギリダイ,Gnathodentex aureolineatus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,岩礁域とサンゴ礁域の浅所、サンゴ礁の上,20cm,15m
ヨコシマクロダイ,Monotaxis grandoculis,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域の浅所,25cm,20m
ヨコシマクロダイ近似種,Monotaxis heterodon,琉球列島；インド・太平洋,サンゴ礁域の浅所,,
シロダイ,Gymnocranius euanus,"鹿児島県, 琉球列島, 小笠原諸島; 西部太平洋の熱帯域","砂礫底域, 岩礁域, サンゴ礁や岩礁の周りの砂地",30cm,15m
メイチダイ,Gymnocranius griseus,"南日本の太平洋岸, 琉球列島; 東部インド洋～西部太平洋の熱帯域","砂礫底域, 岩礁域, 海底付近",12cm,10m
ナガメイチ,Gymnocranius microdon,"鹿児島県, 琉球列島; 東部インド洋～中・西部太平洋の熱帯域","砂礫底域, 岩礁域, 砂地",25cm,10m
ホオアカクチビ,Lethrinus rubrioperculatus,"和歌山県以南～琉球列島, 小笠原諸島; インド・太平洋",サンゴ礁域や岩礁に隣接する砂礫底,45cm,30m
マトフエフキ,Lethrinus harak,高知県以南〜琉球列島；インド・太平洋,サンゴ礁域の藻場や砂礫底,25cm,3m
イトフエフキ,Lethrinus genivittatus,南日本、琉球列島；東部インド洋〜中・西部太平洋の熱帯域,岩礁域やサンゴ礁域に隣接する砂底や砂礫底、藻場,25cm,7m
アマクチビ,Lethrinus erythracanthus,琉球列島；インド・太平洋,岩礁域や砂礫底域の100m以浅,30cm,20m
イソフエフキ,Lethrinus atkinsoni,和歌山県以南〜琉球列島；東部インド洋〜中・西部太平洋の熱帯域,岩礁域や砂礫底域の100m以浅,20cm,3m
ハマフエフキ,Lethrinus nebulosus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域やサンゴ礁域に隣接する砂礫底,70cm,7m
ハナフエフキ,Lethrinus ornatus,琉球列島；東部インド洋〜西部太平洋の熱帯域,サンゴ礁に隣接する砂礫底域,25cm,15m
タテシマフエフキ,Lethrinus obsoletus,琉球列島；インド・太平洋,サンゴ礁の砂礫底域、潮通しのよい所,30cm,20m
キツネフエフキ,Lethrinus olivaceus,鹿児島県、琉球列島；インド・太平洋,サンゴ礁の砂礫底域,50cm,25m
シモフリフエフキ,Lethrinus lentjan,琉球列島、小笠原諸島；インド・太平洋,砂礫底域の100m以浅,30cm,12m
ムネアカクチビ,Lethrinus xanthochilus,琉球列島；インド・太平洋,サンゴ礁の砂礫底,20cm,2m
シロギス,Sillago japonica,北海道以南～九州；朝鮮半島、中国、台湾,沿岸砂底域、浅い砂底,20cm,5m
ヨメヒメジ,Upeneus tragula,兵庫県香住、南日本の太平洋岸、琉球列島；インド・西太平洋,浅海の岩礁域に隣接する砂底,20cm,3m
ヒメジ,Upeneus japonicus,日本全国；朝鮮半島、香港、台湾沿岸の砂底や砂泥底,砂底や砂泥底,17cm,10m
アカヒメジ,Mulloidichthys vanicolensis,南日本、琉球列島；インド・太平洋,サンゴ礁域の113m以浅、サンゴ礁外縁部の中層、粗めの砂地,22cm,16m
モンツキアカヒメジ,Mulloidichthys flavolineatus flavolineatus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域の35m以浅,20cm,8m
マルクチヒメジ,Parupeneus cyclostomus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域の岩礁,20cm,15m
オジサン,Parupeneus multifasciatus,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の温・熱帯域,サンゴ礁域の浅瀬,20cm,8m
オオスジヒメジ,Parupeneus barberinus,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域の100m以浅、砂底や砂礫底、岩礁,20cm,14m
ウミヒゴイ,Parupeneus chrysopleuron,青森県下北半島、南日本の太平洋岸；台湾、オーストラリア西岸,岩礁域に隣接する砂底や砂泥底,30cm,12m
インドヒメジ,Parupeneus barberinoides,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の浅所、砂底や砂礫底,15cm,3m
フタスジヒメジ,Parupeneus crassilabris,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の浅所、主に岩礁,20cm,12m
リュウキュウヒメジ,Parupeneus pleurostigma,南日本の太平洋岸、琉球列島、小笠原諸島；朝鮮半島、インド・太平洋,サンゴ礁域の浅所、サンゴ礁外縁部など46m以浅の砂底や砂礫底,17cm,12m
コバンヒメジ,Parupeneus indicus,南日本の太平洋岸、琉球列島、朝鮮半島、インド・太平洋,サンゴ礁域や岩礁域の20m以浅、砂底や砂礫底,22cm,10m
タカサゴヒメジ,Parupeneus heptacanthus,南日本の太平洋岸、琉球列島；朝鮮半島、インド・太平洋,内湾の60m以浅の砂底や砂泥底域,15cm,10m
ホウライヒメジ,Parupeneus ciliatus,兵庫県浜坂、南日本の太平洋岸、琉球列島；朝鮮半島、インド・太平洋,岩礁域やサンゴ礁域の浅所、主に岩礁,22cm,18m
オキナヒメジ,Parupeneus spilurus,南日本の太平洋岸；朝鮮半島南部、東部インド洋～西部太平洋の温・熱帯域,岩礁域やサンゴ礁域の浅所,20cm,7m
ヒメツバメウオ,Monodactylus argenteus,宮古諸島以南；インド・太平洋,大河川の汽水域や内湾、港内、小河川の汽水域や淡水域,8cm,2m
キンメモドキ,Parapriacanthus ransonneti,"南日本の太平洋岸,琉球列島；朝鮮半島，インド・太平洋",浅海の岩礁域、サンゴ礁域,5cm,8m
ツマグロハタンポ,Pempheris japonica,南日本の太平洋岸、琉球列島、小笠原諸島；フィリピン,岩礁域の浅所、岩穴や崖の下,8cm,10m
リュウキュウハタンポ,Pempheris adusta,八丈島、琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁域、岩穴や崖の下,10cm,10m
ミナミハタンポ,Pempheris schwenkii,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,岩礁域、岩穴や崖の下、砂地にあるサンゴの根,8cm,4m
ムレハタタテダイ,Heniochus diphreutes,南日本の太平洋岸、琉球列島；朝鮮半島、インド洋、オーストラリア東岸、ケルマディック諸島、ハワイ諸島,岩礁域、サンゴ礁域,13cm,30m
ハタタテダイ,Heniochus acuminatus,下北半島、南日本、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,2.5cm,12m
オニハタタテダイ,Heniochus monoceros,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,20cm,23m
シマハタタテダイ,Heniochus singularius,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,25cm,20m
ミナミハタタテダイ,Heniochus chrysostomus,"南日本の太平洋岸,琉球列島,朝鮮半島,東部インド洋〜中・西部太平洋の熱帯域",岩礁域、サンゴ礁域,12cm,20m
ツノハタタテダイ,Heniochus varius,南日本の太平洋岸、琉球列島；東部インド洋〜中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,12cm,15m
フエヤッコダイ,Forcipiger flavissimus,南日本の太平洋岸、琉球列島；インド・汎太平洋岩礁域,サンゴ礁域,12cm,10m
オオフエヤッコダイ,Forcipiger longirostris,沖縄諸島、宮古諸島、八重山諸島、小笠原諸島；インド・太平洋,サンゴ礁域、サンゴ礁外縁,15cm,12m
ハシナガチョウチョウウオ,Chelmon rostratus,相模湾；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、内湾、砂泥底の岩礁付近や藻場,13cm,10m
カスミチョウチョウウオ,Hemitaurichthys polylepis,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域、サンゴ礁外縁の40m以浅の中層,12cm,15m
トンプソンチョウチョウウオ,Hemitaurichthys thompsoni,小笠原諸島、南鳥島、南大東島；中・西部太平洋の熱帯域,島嶼のサンゴ礁域,12cm,25m
キスジゲンロクダイ,Coradion chrysozonus,小笠原諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域,13cm,30m
タキゲンロクダイ,Coradion altivelis,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、岩礁域,13cm,30m
ゲンロクダイ,Roa modesta,下北半島以南～南日本；朝鮮半島、東部インド洋～西部太平洋の熱帯域,岩礁域、内湾,14cm,15m
ヤリカタギ,Chaetodon trifascialis,南日本太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,14cm,10m
テンツキチョウチョウウオ,Chaetodon oligacanthus,小笠原諸島；東部インド洋～西部太平洋の熱帯域,砂泥底、内湾性で砂泥底,10cm,18m
トゲチョウチョウウオ,Chaetodon auriga,山陰地方、南日本の太平洋岸、琉球列島、朝鮮半島、インド・太平洋岩礁域、サンゴ礁域,サンゴ礁域、岩礁域,13cm,10m
セグロチョウチョウウオ,Chaetodon ephippium,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、岩礁域、15m以浅の穏やかな所,15cm,15m
レモンチョウチョウウオ,Chaetodon semeion,和歌山県以南～琉球列島；インド・太平洋,岩礁域、サンゴ礁域,13cm,8m
スミツキトノサマダイ,Chaetodon plebeius,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,10cm,8m
ウミヅキチョウチョウウオ,Chaetodon bennetti,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,12cm,10m
トノサマダイ,Chaetodon speculum,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域、礁池内の穏やかな所,13cm,10m
