和名,学名,分布,生息場所,体長,深さ
ハスジマハゼ,Cryptocentrus insignitus,沖縄島、久米島、宮古島、石垣島、西表島、与那国島；中・西部太平洋,河川の河口付近の海岸から河口域、瓦礫や死サンゴ片混じりの砂泥底に穴を掘り単独で見られる。生息水深2m以浅,9cm,1m
マツゲハゼ,Oxyurichthys ophthalmonema,神奈川県、高知県、鹿児島県、奄美大島、徳之島、沖縄島、石垣島、西表島；インド・西太平洋,河川の河口域、泥底や軟泥底。生息水深2m以浅,15cm,2m
カマヒレマツゲハゼ,"Oxyurichthys cornutus McCulloch et Waite, 1918",静岡県、奄美大島、沖縄島、久米島、宮古島、石垣島、西表島；西部太平洋,マツゲハゼとほぼ同所的に見られる。生息水深は3m以浅。,15cm,2m
オニサルハゼ,"Oxyurichthys papuensis (Valenciennes, 1837)",和歌山県、高知県、沖縄島、西表島；インド・西太平洋,内湾の湾奥に生息する。波静かで濁りのあるところを好み、泥底や軟泥底に見られる。生息水深は2-20m。,20cm,8m
イレズミサルハゼ,Oxyurichthys sp. A,伊豆半島、和歌山県、西表島,オニサルハゼとほぼ同所的に見られるが、個体数ははるかに少ない。生息水深は30m以浅。,10cm,30m
ミナミサルハゼ,Oxyurichthys sayanus,小笠原諸島、琉球列島；西部太平洋,マツゲハゼとほぼ同所的に見られるが、やや上流の汽水域にも生息する。生息水深は2m以浅。,10cm,2m
シマサルハゼ,Oxyurichthys sp. B,西表島；インドネシア（アンボン島）,河川の河口域に生息する。泥底や軟泥底に見られる。生息水深は2m以浅。,9cm,2m
ナガセハゼ,Oxyurichthys japonicus,和歌山県、高知県、沖縄島、西表島；フィリピン,内湾の湾奥に生息する。波静かで濁りのあるところを好み、泥底や軟泥底に見られる。生息水深は2-36m。,10cm,2m
ヒメサルハゼ,Oxyurichthys sp. C,石垣島、西表島,内湾の湾奥、砂泥底、生息水深約6m,6cm,6m
トサカハゼ,"Cristatogobius lophius Herre, 1927",屋久島、奄美大島、加計呂麻島、宮古島、石垣島、西表島；西部太平洋,河川の河口域・内湾の湾奥、泥底や軟泥底に穴を掘り単独で生息、生息水深1-10m,5cm,8m
モヨウシノビハゼ,"Enigobius haataas Iwata, Hosoya et Niimura, 1998",奄美大島、沖縄諸島、宮古島、八重山諸島；インド・西太平洋,内湾の湾口から中程。砂底の穴に単独で生息。テッポウエビ類と共生しない。生息水深2-30m,8cm,5m
ユカタハゼ,"Hazeus otakii Jordan et Snyder, 1901",日本固有：千葉県、相模湾、静岡県、紀伊半島、高知県、鹿児島県、対馬、長崎県,内湾の軟泥底から砂泥底に単独で生息。生息水深15-25m,6.5cm,18m
ウスゲショウハゼ,"Oplopomops calinous (Bleeker, 1852)",沖縄島、西表島；インド・西太平洋,内湾の湾奥。砂泥底。底より数cm上を滑るように遊泳。生息水深2-6m,6.5cm,3m
ケショウハゼ,"Oplopomops oplopomops (Valenciennes, 1837)",奄美大島、沖縄諸島、石垣島、西表島；インド・太平洋,内湾の中程から湾奥。ウミヒルモなどが繁茂する泥底や砂泥底。巣穴を掘り、底より数cm上を滑るように遊泳。生息水深2-25m,9cm,6m
タネカワハゼ,Stenogobius sp.A,小笠原諸島、鹿児島県、種子島、屋久島、琉球列島、台湾,河川の感潮域最上流、中流域、渓流域下部、細流などの淡水域。淵などの流れが緩やかで砂や砂泥が堆積したところ,12cm,0.5m
クロミナミハゼ,"Amoya gracilis cephalus (Bleeker, 1849)",静岡県、鹿児島県、琉球列島、インド・太平洋,河川の中流域、渓流域下部、細流などの淡水域。淵などの流れが緩やかで砂や砂泥が堆積したところ,20cm,0.5m
ミナミハゼ,Glossogobius aureus,千葉県、神奈川県、屋久島、琉球列島；中・西部太平洋,河川の中流域、渓流域下部、細流などの淡水域。淵などの流れが緩やかで砂や砂泥が堆積したところ,20cm,15m
アゴハゼ,Chaenogobius annularis,北海道の太平洋・日本海側～屋久島、瀬戸内海、対馬；朝鮮半島,岩礁性海岸。波打ち際やタイドプール。生息水深0.3〜1m,8cm,0.3m
ドロメ,Chaenogobius gulosus,青森県太平洋側・北海道日本海側～九州、瀬戸内海、対馬、五島列島；朝鮮半島、渤海、黄海,岩礁性海岸。波打ち際やタイドプール。生息水深0.3〜1m,15cm,0.5m
スミウキゴリ,"Gymnogobius breunigii schuettei (Rendahl, 1924)",北海道日高地方、本州、四国、九州、屋久島、隠岐、壱岐、対馬；朝鮮半島,河川の汽水域から下流域。水草の間などの中層に浮遊する。,10cm,0.6m
ウキゴリ,"Gymnogobius urotaenia (Hilgendorf, 1879)",北海道、本州、九州、屋久島、隠岐；サハリン、択捉島、国後島、朝鮮半島,河川の汽水域から中流域。淵などの流れの緩やかなところの中層に浮遊する。水草の間にいることが多い。,13cm,0.3m
シマウキゴリ,"Gymnogobius opperiens Stevenson, 2002",北海道、茨城県・福井県以北の本州；朝鮮半島,河川の下流域から中・上流域。平瀬などの流れのあるところの石の間や下に潜む。,10cm,0.5m
クボハゼ,"Gymnogobius scrobiculatus (Takagi, 1957)",日本固有：和歌山県・福井県～宮崎県・鹿児島県、瀬戸内海、対馬、五島列島,河川の河口干潟。砂底や砂泥上、ニホンスナモグリやアナジャコが掘った穴に見られる。,5cm,0.4m
ビリンゴ,"Gymnogobius breunigii (Steindachner, 1880)",北海道の太平洋・日本海側～種子島、隠岐、壱岐、対馬、五島列島；サハリン、色丹島、沿海州、朝鮮半島、渤海、黄海,河川の汽水域や汽水湖；泥底や砂泥底の中層を群がりで浮遊,7cm,0.4m
チクゼンハゼ,"Gymnogobius scrobiculatus (Takagi, 1957)",日本固有：北海道・京都府～宮崎県・鹿児島県、瀬戸内海、五島列島,前浜干潟や河川の河口干潟；砂底上やニホンスナモグリ・アナジャコが掘った穴,5cm,0.4m
ニクハゼ,"Gymnogobius heptacanthus (Hilgendorf, 1879)",北海道の太平洋・日本海側～九州、瀬戸内海、対馬；沿海州、朝鮮半島、渤海、黄海,内湾から河川汽水域；泥底や砂泥底の中層を群がりで浮遊,7cm,1m
ウロハゼ,"Glossogobius olivaceus (Temminck et Schlegel, 1845)",茨城県・新潟県～九州、瀬戸内海、種子島、隠岐、壱岐、五島列島；東シナ海、台湾,河川の汽水域や汽水湖。砂泥底や泥底に単独で見られる,25cm,2m
スグレウロハゼ,"Glossogobius biocellatus (Macleay, 1883)",奄美大島、沖縄島、石垣島、西表島；西部太平洋,河川の河口域。マングローブ林内の泥底や砂泥底に単独で見られる,10cm,1m
イワハゼ,"Glossogobius celebius (Valenciennes, 1837)",琉球列島；中・西部太平洋,河川の感潮域最上流・中流域・渓流域下部などの淡水域。淵などの流れが緩やかなところの礫底に単独で見られる,15cm,0.5m
ヒトミハゼ,"Pseuaopsis biocellata (Valenciennes, 1837)",高知県、宮崎県、鹿児島県、種子島、琉球列島；インド・太平洋,河川の河口から感潮域下部にかけての汽水域、河口域やマングローブ林の泥底,8cm,0.3m
ヒゲモジャハゼ,Barbuligobius sp. A,沖縄島、西表島,内湾の砂底、生息水深5m以浅,2.5cm,4m
イトヒゲモジャハゼ,"Sagamia brevirostris Lachner et McKinney, 1974",八丈島、奄美大島、沖縄島；インド・西太平洋,サンゴ礁域の礁池や礁斜面。礁池では岩盤上にサンゴの細砂が溜まったタイドプール、礁斜面では水深6-7mの潮通しの良い転石のある砂礫底,25cm,10m
ツムギハゼ,"Yongeichthys criniger (Valenciennes, 1837)",紀伊半島、高知県、琉球列島；インド・太平洋,河川の河口域、内湾の湾奥。開けた水域の軟泥底から砂底。生息水深は30m以浅,15cm,30m
アカヒレハダカハゼ,"Knipowitschia punctatissima Jordan et Seale, 1906",八丈島、沖縄島、八重山諸島、中・西部太平洋,サンゴ礁域の波の荒い岩礁性海岸、潮間帯上部のタイドプールの穴,2.5cm,5cm
ニラミハゼ,"Redigobius bikolanus barbarus (Tomiyama, 1934)",日本固有：青森県～宮崎県、有明海、瀬戸内海,遠浅の砂泥海岸の沖、水深5-7mのかけあがり,5cm,7m
サビハゼ,"Sagamia geneionema (Hilgendorf, 1879)",青森県の太平洋・日本海側～九州、瀬戸内海、朝鮮半島南岸、済州島,内湾の砂底や砂泥底、生息水深3-10m,15cm,6m
コモチジャコ,"Amblyeleotris japonica (Jordan et Snyder, 1901)",北海道の太平洋・日本海側～九州、瀬戸内海、朝鮮半島,内湾の砂泥底や泥底の穴の入り口付近、テッポウエビ類との共生が示唆される,6.5cm,22m
マハゼ,"Acanthogobius flavimanus (Temminck et Schlegel, 1845)",北海道の太平洋・日本海側～種子島、瀬戸内海、隠岐、対馬、五島列島、沿海州、朝鮮半島、渤海、黄海,内湾から河川の河口にかけて、泥底に生息。生息水深5m以浅,25cm,1m
アシシロハゼ,"Acanthogobius lactipes (Hilgendorf, 1879)",北海道南部、本州、四国、九州、隠岐、壱岐、対馬、五島列島、オホーツク海、サハリン、沿海州、朝鮮半島、渤海、黄海,内湾から河川汽水域・淡水域にかけて、砂底や砂礫底に単独で生息,10cm,3m
ミナミアシシロハゼ,"Acanthogobius lactipes Shibukawa et Taki, 1996",奄美大島、沖縄島,河川の河口周辺から感潮域最上流にかけて生息。泥底や砂底に単独で見られる。,8cm,0~3m
キヌバリ,"Pterogobius elapoides (Günther, 1872)",北海道の太平洋・日本海側～紀伊半島（福島・茨城県を除く）・九州、瀬戸内海；朝鮮半島南岸,内湾の岩礁性海岸。ガラモ場内やその周囲の中層を主に群がりで浮遊。生息水深15m以浅。,14cm,8m
ニシキハゼ,"Pterogobius virgo (Temminck et Schlegel, 1845)",千葉県・新潟県～九州；朝鮮半島南西岸,内湾の岩場と砂底の境や岩場の砂が溜まったところ。幼魚は中層に群がり、成魚は底近くに単独かペアで見られる。生息水深は普通15m以深。,23cm,31m
チャガラ,"Pterogobius zacalles Jordan et Snyder, 1901",青森県の太平洋・日本海側～高知県（福島・茨城県を除く）・鹿児島県、瀬戸内海；朝鮮半島中・南岸,内湾の岩礁性海岸、やや波あたりの強い藻場の中層、生息水深15m以浅,10cm,5m
リュウグウハゼ,"Pterogobius zonoleucus Jordan et Snyder, 1901",青森県太平洋側・北海道日本海側～紀伊半島・九州北部、瀬戸内海；済州島、黄海,岩礁域の砂底、中層を群がりで浮遊、生息水深30m以浅,14cm,15m
マサゴハゼ,"Pseudogobius masago (Tomiyama, 1936)",宮城県～九州、瀬戸内海、壱岐、対馬、種子島、奄美大島、沖縄島；朝鮮半島、台湾,河川の河口域、泥底の干潟、単独で見られる,2cm,0.1m
スナゴハゼ,"Pseudogobius javanicus (Bleeker, 1856)",種子島、琉球列島；インド・西太平洋,河川の河口付近の海岸から感潮域最上流、河口域やマングローブ林、主に砂泥底に単独で見られる,5cm,0.2m
シマエソハゼ,"Schismatogobius roxasi Herre, 1936",種子島、屋久島、石垣島、西表島；台湾,河川の中流域や渓流域下部、平瀬や淵頭の泥をかぶっていないこぶし大以下の礫間,17cm,0.3m
エソハゼ,"Schismatogobius roxasi Herre, 1936",奄美大島、石垣島、西表島；台湾、フィリピン,河川の中流域や渓流域下部、平瀬や淵頭の泥をかぶっていないこぶし大以下の礫間,4cm,0.3m
インコハゼ,"Exyrias puntang (Bleeker, 1851)",琉球列島；インド・西太平洋,河川の河口から感潮域最上流、マングローブ林のヒルギの根元の泥底や軟泥底,15cm,1m
オバケインコハゼ,Exyrias bellissimus,沖縄諸島、八重山諸島；インド・太平洋,内湾の湾奥、サンゴの根の周辺、泥底や砂泥底、生息水深3-10m,17cm,6m
マグラハゼ,Maculogobius dilepis,奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖、砂泥底や砂底、生息水深1-15m,6.5cm,5m
カタボシオオモンハゼ,"Gnatholepis cauerensis cauerensis (Bleeker, 1853)",小笠原諸島、伊豆諸島、千葉県～高知県、琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面・ドロップオフ下の砂底、死サンゴ片や砂泥底、ガレ場。生息水深1〜35m,6.5cm,6m
アデオオモンハゼ,"Gnatholepis anjerensis Scale, 1909",鹿児島県、八重山諸島；西部太平洋,サンゴ礁域の礁池、岸寄りの死サンゴ片や死サンゴ塊混じりの砂底。生息水深2m以浅,6.5cm,0.5m
オオモンハゼ,"Gnatholepis anjerensis (Bleeker, 1851)",八丈島、屋久島、琉球列島；インド・太平洋,河川河口周辺、サンゴ礁域の礁池、タイドプールや岸寄りの死サンゴ片混じりの砂底・砂泥底。生息水深2m以浅,6.5cm,5m
オオモンハゼ,,西表島,,4.5cm,1m
ホシノハゼ,"Istigobius hoshinonis (Tanaka, 1917)",伊豆諸島、千葉県・富山県～九州、瀬戸内海、沖縄島、朝鮮半島南岸、済州島,内湾の砂泥底や砂底、単独で見られる、生息水深3-25m,12cm,6m
オキカザリハゼ,"Ctenogobiops crocineus (Günther, 1873)",西表島；インド・太平洋,内湾の中程から湾奥、死サンゴ片や死サンゴ塊混じりの砂泥底や砂底、生息水深1-6m,5cm,3m
ヒメカザリハゼ,"Amblyeleotris diagonalis (Bleeker, 1852)",伊豆半島、沖縄諸島～西表島；インド・太平洋,河川の河口、死サンゴ片混じりの砂底、生息水深2m以浅,5cm,1m
クツワハゼ,"Bathygobius fuscus (Jordan et Snyder, 1901)",小笠原諸島、伊豆諸島、千葉県・富山県～西表島；朝鮮半島南岸、済州島、東・南シナ海、台湾,内湾、河川河口、砂泥底から礫混じりの砂底、生息水深1-30m,10cm,6m
マグラカザリハゼ,"Istigobius rigilius (Herre, 1953)",八丈島、奄美大島～西表島；中・西部太平洋,内湾の湾口から湾奥、サンゴ礁域の礁湖。死サンゴ片や死サンゴ塊混じりの砂泥底や砂底に単独で生息。水深2-10m。,9cm,6m
ホシカザリハゼ,"Istigobius decoratus (Herre, 1927)",伊豆諸島、伊豆半島、紀伊半島、愛媛県、高知県柏島、屋久島、奄美大島、沖縄諸島～西表島；インド・太平洋,内湾、サンゴ礁域のドロップオフ下。崖下の砂底、死サンゴ片や死サンゴ塊混じりの砂泥底や砂底に単独で生息。水深10-15m。,10cm,8m
カザリハゼ,"Istigobius ornatus (Rüppell, 1830)",小笠原諸島、男女群島、種子島、琉球列島；インド・太平洋,内湾の湾奥、サンゴ礁域の岩礁性海岸。死サンゴ片や死サンゴ塊混じりの砂底に単独で生息。水深2m以浅。,9cm,1m
ヒトミシリハゼ,"Bryaninops natans Larson, 1987",八重山諸島；インド・西太平洋,内湾の中程から湾奥、サンゴ礁域の礁池や礁湖。ミドリイシ科の枝状サンゴ周囲でホバリング。生息水深2-15m,2.5cm,14m
ガラスハゼ,"Bryaninops yongei (Davis et Cohen, 1969)",小笠原諸島、伊豆諸島、相模湾、伊豆半島、紀伊半島、高知県～琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁斜面やドロップオフ。ムチカラマツ類にペアで着生。生息水深5-35m,3.5cm,8m
アカメハゼ,"Bryaninops natans Larson, 1985",琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。ミドリイシ科の枝状やテーブル状サンゴ周囲でホバリング。生息水深1-20m,2cm,6m
イロワケガラスハゼ,"Bryaninops natans (Seale, 1906)",奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。枝状のハマサンゴ類やアナサンゴモドキ類に単独で着生。生息水深2-15m,2.2cm,4m
ホソガラスハゼ,"Bryaninops loki Larson, 1985",愛媛県宇和海、高知県柏島、沖縄諸島、八重山諸島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。ウミスゲ類やヒラヤギ類に数個体で着生。生息水深20-30m,2.5cm,30m
スジグロガラスハゼ,"Bryaninops tigris Larson, 1985",高知県柏島、西表島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面ドロップオフ。ウミカラマツ類に数個体で着生。生息水深15-40m,2.5cm,17m
オオガラスハゼ,Bryaninops alpha,小笠原諸島、千葉県、相模湾、伊豆半島、和歌山県、高知県柏島、慶良間諸島、八重山諸島；インド・太平洋,内湾、サンゴ礁域の礁斜面。ウミスゲ類に単独かペアで着生。生息水深10-35m,5cm,16m
タレクチウミタケハゼ,Pleurosicya boldinghi,紀伊半島、高知県柏島、西表島；西部太平洋,内湾の中程から湾奥、サンゴ礁域の礁斜面。ツボ状カイメン類に着生。生息水深20-35m,2.5cm,20m
ウミショウブハゼ,Pleurosicya bilobata,沖縄島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁原。ウミショウブやリュウキュウスガモなどの海草に着生。生息水深1-3m,2.5cm,2.5m
スケロクウミタケハゼ,Pleurosicya elongata,伊豆諸島、相模湾、伊豆半島、紀伊半島、愛媛県宇和海、高知県柏島、奄美大島、沖縄島、西表島；インド・太平洋,内湾、サンゴ礁域の礁斜面。トゲトサカ類に単独かペアで着生。生息水深20-40m,3.5cm,30m
ハシブトウミタケハゼ,"Pleurosicya prognatha Larson, 1990",紀伊半島、奄美大島、慶良間諸島、石垣島、西表島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖。ミドリイシ属のサンゴに単独かペアで着生。生息水深2-15m,2cm,2-15m
ウミタケハゼ,"Pleurosicya muscarum (Jordan et Scale, 1906)",琉球列島；インド・太平洋,サンゴ礁域の礁外縁。オオウミキノコに単独で着生。生息水深約10m,3cm,約10m
セボシウミタケハゼ,"Pleurosicya mossambica Smith, 1959",伊豆諸島、相模湾、伊豆半島、愛媛県宇和海、高知県、奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁原外縁・礁斜面。ウミトサカ類・カイメン類・スリバチサンゴ類に着生。生息水深2-20m,3cm,2-20m
ヒラウミタケハゼ,"Pleurosicya laticeps Larson, 1990",沖縄諸島、石垣島、西表島;インド・太平洋,サンゴ礁域の礁外縁、波当たりがやや強く潮通しの良い礁縁部のアオサンゴに単独で着生。生息水深4-8m,2cm,5m
アカスジウミタケハゼ,Pleurosicya micheli,伊豆諸島、相模湾、伊豆半島、紀伊半島、愛媛県宇和海、高知県柏島、奄美大島、沖縄諸島、八重山諸島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。ダイオウサンゴなどの塊状や葉状のイシサンゴ類に着生。水深10-35m,3cm,25m
ヨリメハゼ,"Cabillus caudimacula (Fowler, 1927)",伊豆半島、紀伊半島、琉球列島；インド・太平洋,内湾、サンゴ礁域の礁斜面や礁湖、礁池、礁原。砂底の死サンゴ片や死サンゴ塊の下に単独で見られる。生息水深3m以浅。,4cm,0.5m
ミカゲハゼ,"Cabillus microps Smith, 1959",慶良間諸島、西表島；インド・西太平洋,内湾、サンゴ礁域の礁斜面や礁湖、礁池、礁原。砂底の死サンゴ片や死サンゴ塊の下に単独から数匹で見られる。生息水深1〜10m。,4cm,6m
ヤハズハゼ,"Bathygobius cyclopterus (Valenciennes, 1837)",伊豆諸島、伊豆半島、高知県、宮崎県、屋久島、種子島、琉球列島；インド・太平洋,岩礁性海岸のタイドプールや波打ち際の転石下・転石間に単独で生息。生息水深1m以浅,6.5cm,0.1m
クモハゼ,"Bathygobius fuscus (Rüppell, 1830)",小笠原諸島、八丈島、千葉県・若狭湾～与那国島；インド・太平洋,河川河口周辺、岩礁性海岸、サンゴ礁域礁原内縁の死サンゴ片混じり砂泥底やタイドプールに単独で生息。生息水深2m以浅,10cm,0.5m
クロクモハゼ,"Bathygobius niger (Smith, 1960)",八丈島、日之永良部島、沖縄島；インド洋,サンゴ礁域の岩礁性海岸、石灰岩海蝕崖下のタイドプール転石下に生息。幼魚は水深2mのクロウエの棘間でも確認,5cm,1m
カワクモハゼ,Bathygobius sp. A,西表島、バリ島,河川の河口域。岩の隙間やカキ殻の間に単独で見られる,4.5cm,1m
スジクモハゼ,"Bathygobius cocosensis (Bleeker, 1854)",小笠原諸島、八丈島、千葉県～与那国島、インド・太平洋,河川の河口周辺、岩礁性海岸、サンゴ礁域の礁原内縁。死サンゴ片や砂泥底、タイドプールに単独で見られる。生息水深は2m以浅,6cm,0.5m
クロヤハズハゼ,"Bathygobius padangensis (Bleeker, 1851)",小笠原諸島、伊豆諸島、千葉県、相模湾、伊豆半島、三重県、高知県、鹿児島県、屋久島、種子島、琉球列島、インド・西太平洋,河川の河口周辺、岩礁性海岸、サンゴ礁域の礁原内縁。死サンゴ片や砂泥底、タイドプールに単独で見られる。生息水深は2m以浅,10cm,0.5m
クロホシヤリヽズハゼ,Bathygobius cotticeps,相模湾、静岡県、淡路島、高知県、宮崎県、鹿児島県、種子島、屋久島、奄美大島、沖縄島；西部太平洋,内湾の砂泥底や砂底にある岩の周辺や窪み、生息水深4-6m,6cm,6m
ホタテツブハゼ,Flabelligobius sp. A,伊豆大島、和歌山県、高知県、奄美大島、沖縄諸島；西部太平洋,内湾の湾口・サンゴ礁域の礁斜面、礫混じりの砂底、コトブキテッポウエビと共生、生息水深30-40m,4cm,38m
ヒメオニハゼ,"Tomiyamichthys latruncularius Iwata, Ohnishi et Hirata, 2000",伊豆半島、高知県柏島、奄美大島、沖縄諸島、西表島；インドネシア,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと単独かペアで共生。生息水深20-35m,5cm,30m
オニハゼ,Tomiyamichthys oni,日本固有: 小笠原諸島、伊豆大島、千葉県～鹿児島県、奄美大島、沖縄諸島、久米島、西表島,内湾の湾口から中程、サンゴ礁域の礁斜面、礫混じりの砂底や砂泥底、テッポウエビ類と共生,11cm,10-35m
オドリハゼ,"Lotilia graciliosa Klausewitz, 1960",紀伊半島、奄美大島、沖縄諸島、石垣島、西表島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面、ドロップオフ下の砂底・砂泥底。ダンスゴビーシュリンプと共生。生息水深1-50m。,4cm,15m
ネジリンボウ,"Stonogobiops xanthorhinica Hoese et Randall, 1982",,,6.5cm,9m
ヒレナガネジリンボウ,"Stonogobiops nematodes Hoese et Randall, 1982",伊豆諸島、相模湾、伊豆半島、和歌山県田辺湾、愛媛県宇和海、高知県柏島、奄美大島、沖縄諸島、八重山諸島；インド・西太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと共生。生息水深30-55m,5cm,32m
キツネメネジリンボウ,"Stonogobiops sp. punctulatus Iwata et Hirata, 1994",日本固有：伊豆半島大瀬崎、高知県柏島,内湾から外洋に面した開けた細かいきれいな砂底。コトブキテッポウエビと共生。生息水深20-50m,4cm,28m
ヤシャハゼ,"Stonogobiops yasha Yoshino et Shimada, 2001",小笠原諸島、伊豆諸島、伊豆半島、紀伊半島、高知県柏島、奄美大島、沖縄諸島、八重山諸島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと単独かペアで共生。巣穴の上でホバリング。生息水深15-55m,6cm,26m
ホシゾラハゼ,Cryptocentrus sp. A,奄美大島、西表島；西部太平洋,内湾の湾奥。軟泥底から砂泥底でテッポウエビ類と単独かペアで共生。生息水深2-15m,6.5cm,6m
タカノハハゼ,Cryptocentrus insignitus,広島県、種子島、琉球列島; インド・西太平洋,河川の河口周辺やマングローブ林、内湾の湾奥。礫混じりの砂泥底でテッポウエビ類と単独で共生。生息水深3m以浅,6cm,15m
イトヒキハゼ,Cryptocentrus filifer,千葉県、新潟県～鹿児島県、瀬戸内海; インド・西太平洋,内湾の軟泥底から砂泥底でニセオニテッポウエビなどと単独で共生。生息水深6-25m,13cm,7m
ヒノマルハゼ,Cryptocentrus strigilliceps,奄美大島、沖縄諸島、西表島; インド・太平洋,内湾の中程から湾奥。礫混じりの砂泥底でテッポウエビ類と単独で共生。生息水深2-15m,6cm,3m
クロホシハゼ,Cryptocentrus sp.,和歌山県、高知県柏島、屋久島、琉球列島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁原・礁斜面。ドロップオフの亀裂下の砂溜まり、礫や死サンゴ片混じりの砂底でクマドリテッポウエビと共生,10cm,6-20m
シロオビハゼ,Cryptocentrus albidorsus,八丈島、和歌山県、宮崎県、種子島、琉球列島；台湾,内湾、サンゴ礁域の礁原。砂底、礫や死サンゴ片混じりの砂底、タイドプールでテッポウエビ属の1種と共生,10cm,10m以浅（とくに2m以浅）
オイランハゼ,Cryptocentrus singapurensis,,,12cm,15m
ブチハゼ,Cryptocentrus inexplicatus,石垣島、西表島;西部太平洋,内湾の湾奥。砂泥底や礫混じりの砂泥底で、テッポウエビ類と単独で共生。生息水深3m以浅,6.5cm,3m
ギンガハゼ,Cryptocentrus cinctus,奄美大島、八重山諸島;インド・太平洋,内湾の中程から湾奥。礫混じりの砂底や砂泥底で、テッポウエビ類と単独かペアで共生。生息水深1-6m,6.5cm,3m
フタホシタカノハハゼ,Cryptocentrus sp. B,奄美大島、沖縄諸島、西表島；インド・西太平洋,内湾の中程から湾奥、礫混じりの砂泥底、テッポウエビ類と単独で共生、水深10-50m,8cm,20m
シリゼ,"Cryptocentrus shigei Kuroda, 1956",日本固有：千葉県、相模湾、伊豆半島、静岡県、紀伊半島、高知県,内湾の湾口から中程、砂泥底でテッポウエビ類と共生、水深15-40m,12cm,16m
ヤマブキハゼ,"Amblyeleotris steinitzi (Fowler, 1938)",紀伊半島、高知県柏島、琉球列島；インド・太平洋,内湾の湾口から中程、サンゴ礁域のドロップオフ下。砂底、礫や死サンゴ片混じり砂底でテッポウエビ類と単独で共生する。生息水深10-30m。,10cm,16m
ニチリンダテハゼ,"Amblyeleotris randalli Hoese et Steene, 1978",奄美大島、沖縄諸島伊江島、石垣島、西表島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面やドロップオフ下。礁斜面の根の下や崖下の礫混じりの砂溜まりでテッポウエビ類と共生。生息水深15-50m,6.5cm,18m
マスイダテハゼ,"Amblyeleotris masui Aonuma et Yoshino, 1996",奄美大島、沖縄島、西表島；インドネシア,内湾の湾口から中程、サンゴ礁域の礁斜面。砂泥底や礫混じりの砂泥底でテッポウエビ類と共生。生息水深35-55m,10cm,50m
ダングラダテハゼ,"Amblyeleotris periophthalma (Bleeker, 1853)",小笠原諸島、伊豆諸島伊豆大島、和歌山県田辺湾、高知県、奄美大島、沖縄諸島、西表島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でテッポウエビ類と共生。生息水深3-35m,11cm,32m
ヤノダテハゼ,"Amblyeleotris yanoi Aonuma et Yoshino, 1996",伊豆諸島、和歌山県田辺湾、高知県柏島、沖縄諸島、西表島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。礫混じりの砂底でコトブキテッポウエビと単独で共生。生息水深25-35m,10cm,25-35m
ズグロダテハゼ,"Amblyeleotris melanocephala Aonuma, Iwata et Yoshino, 2000",高知県、沖縄諸島；フィリピン、インドネシア,内湾の湾口、サンゴ礁域の礁斜面。砂泥底・崖下に続く砂底の緩斜面でテッポウエビ類と共生。生息水深25-45m,12cm,25-45m
クビアカハゼ,"Amblyeleotris fasciata (Polunin et Lubbock, 1979)",小笠原諸島、伊豆諸島、相模湾、紀伊半島、高知県、屋久島、琉球列島；インド・太平洋,内湾の湾口、サンゴ礁域の礁斜面やドロップオフ下。礫や死サンゴ片混じりの砂底でテッポウエビ類と単独かペアで共生。生息水深3-30m,6.5cm,3-30m
ハチマキダテハゼ,"Amblyeleotris periophthalma Polunin et Lubbock, 1979",相模湾、伊豆半島、静岡県、紀伊半島、高知県、琉球列島；インド・西太平洋,内湾、サンゴ礁域の礁斜面。砂泥底、礫混じりの砂底や砂泥底でテッポウエビ類と単独で共生。生息水深10-35m,8cm,30m
