和名,学名,分布,生息場所,深さ,体長,短い説明,長い説明,生息場所,短い説明,長い説明
ピコチシオウミウシ,Aldisa pikokai,西太平洋、中部太平洋,サンゴ礁域、岩礁の岩穴,8~20mm,,赤やピンクの鮮やかな体色に黒い斑点が特徴で、岩陰に隠れるように生息している。小さく目立たないが、色合いが美しい。,ピコチシオウミウシは赤やピンクの鮮やかな体色に黒い斑点が散りばめられた美しいウミウシです。体長は小さく、8~20mm程度と非常にコンパクトで、岩礁の岩穴やサンゴ礁の隙間にひっそりと生息しています。水中で見つけるには、岩肌やサンゴの陰を注意深く観察する必要があります。色が鮮やかなため、見つけた時の喜びは大きいです。撮影の際は、マクロレンズを使用し、ゆっくりと近づいて撮影すると良いでしょう。このウミウシは西太平洋から中部太平洋にかけて分布しており、比較的暖かい海域で見られることが多いです。,サンゴ礁域、岩礁の岩穴,赤やピンクの鮮やかな体色に黒い斑点が特徴で、岩陰に隠れるように生息している。小さく目立たないが、色合いが美しい。,ピコチシオウミウシは赤やピンクの鮮やかな体色に黒い斑点が散りばめられた美しいウミウシです。体長は小さく、8~20mm程度と非常にコンパクトで、岩礁の岩穴やサンゴ礁の隙間にひっそりと生息しています。水中で見つけるには、岩肌やサンゴの陰を注意深く観察する必要があります。色が鮮やかなため、見つけた時の喜びは大きいです。撮影の際は、マクロレンズを使用し、ゆっくりと近づいて撮影すると良いでしょう。このウミウシは西太平洋から中部太平洋にかけて分布しており、比較的暖かい海域で見られることが多いです。
ヒボタンウミウシ,Aldisa zavorensis,西太平洋,サンゴ礁域、岩礁の岩穴,8~15mm,,鮮やかな赤色の体に黒い斑点があり、岩陰に張り付いていることが多い。小さく目立つ色彩が特徴で、注意深く探すと発見できる。,ヒボタンウミウシは鮮やかな赤色の体に不規則な黒い斑点が散らばり、その名の通り「火焔（ひぼたん）」のような印象を与えます。体長は小さく、8~15mm程度で、岩礁の岩穴やサンゴ礁の隙間に張り付いていることが多いです。観察する際は、岩の影やゴツゴツした地形を注意深く探すと見つけやすく、鮮やかな色彩が目印になります。撮影の際は、マクロレンズを使用し、背景を暗くすることでより美しく写せます。面白いことに、このウミウシは海綿を餌としており、同じ環境で海綿が見られる場所を探すと発見の確率が上がります。,サンゴ礁域、岩礁の岩穴,鮮やかな赤色の体に黒い斑点があり、岩陰に張り付いていることが多い。小さく目立つ色彩が特徴で、注意深く探すと発見できる。,ヒボタンウミウシは鮮やかな赤色の体に不規則な黒い斑点が散らばり、その名の通り「火焔（ひぼたん）」のような印象を与えます。体長は小さく、8~15mm程度で、岩礁の岩穴やサンゴ礁の隙間に張り付いていることが多いです。観察する際は、岩の影やゴツゴツした地形を注意深く探すと見つけやすく、鮮やかな色彩が目印になります。撮影の際は、マクロレンズを使用し、背景を暗くすることでより美しく写せます。面白いことに、このウミウシは海綿を餌としており、同じ環境で海綿が見られる場所を探すと発見の確率が上がります。
シモフリカメサンウミウシ,Aldisa albatrossae,西太平洋,岩礁の岩穴、転石帯,25~30mm,,赤褐色の体に白色の細かい斑点が特徴で、岩場でじっとしていることが多い。触角は黒く、目立つ。,赤褐色の体に白色の細かい斑点が散らばり、岩場に溶け込むようにじっとしていることが多いウミウシです。体長は25~30mm程度で、触角が黒く目立つため、岩の隙間や転石帯を注意深く観察すると発見できます。日中はあまり動かず、夜間に活動するとされています。撮影の際は、岩の陰や穴の中をチェックし、ゆっくりと近づくことで逃げられるのを防げます。面白いことに、このウミウシは海綿を食べる習性があり、近くに海綿が生息している場所を探すと見つけやすいです。,岩礁の岩穴、転石帯,赤褐色の体に白色の細かい斑点が特徴で、岩場でじっとしていることが多い。触角は黒く、目立つ。,赤褐色の体に白色の細かい斑点が散らばり、岩場に溶け込むようにじっとしていることが多いウミウシです。体長は25~30mm程度で、触角が黒く目立つため、岩の隙間や転石帯を注意深く観察すると発見できます。日中はあまり動かず、夜間に活動するとされています。撮影の際は、岩の陰や穴の中をチェックし、ゆっくりと近づくことで逃げられるのを防げます。面白いことに、このウミウシは海綿を食べる習性があり、近くに海綿が生息している場所を探すと見つけやすいです。
モンツキヒボタンウミウシ,Aldisa sp.1,西太平洋、中部太平洋,岩礁域、転石帯,20~25mm,,赤みがかった体色に黒い斑点が特徴で、岩陰や転石下に隠れるように生息。20mm程度の小型種で見つけにくいが、鮮やかな色彩が目印。,赤みを帯びた体色に不規則な黒い斑点が散らばり、20mm前後の小型ながら色彩が鮮やかなウミウシです。岩礁や転石地帯の岩陰や隙間に隠れるように生息しており、注意深く探さないと見逃してしまいます。撮影時は岩を優しくめくるか、横からライトを当てると発見しやすいでしょう。体表には小さな突起があり、近づくとゆっくり移動する様子が観察できます。同属のヒボタンウミウシに比べて斑点が大きく、モンシロチョウのような模様が特徴的です。西太平洋では比較的珍しい種で、出会えたらラッキーなレア種です。,岩礁域、転石帯,赤みがかった体色に黒い斑点が特徴で、岩陰や転石下に隠れるように生息。20mm程度の小型種で見つけにくいが、鮮やかな色彩が目印。,赤みを帯びた体色に不規則な黒い斑点が散らばり、20mm前後の小型ながら色彩が鮮やかなウミウシです。岩礁や転石地帯の岩陰や隙間に隠れるように生息しており、注意深く探さないと見逃してしまいます。撮影時は岩を優しくめくるか、横からライトを当てると発見しやすいでしょう。体表には小さな突起があり、近づくとゆっくり移動する様子が観察できます。同属のヒボタンウミウシに比べて斑点が大きく、モンシロチョウのような模様が特徴的です。西太平洋では比較的珍しい種で、出会えたらラッキーなレア種です。
オセロウミウシ,Aldisa sp.2,日本,岩礁の岩穴、転石帯,20~10mm,,赤やピンクの体色に黒い斑点が特徴的なウミウシ。岩の陰に隠れていることが多く、小さな体でじっとしている。,オセロウミウシは赤やピンクの鮮やかな体色に、黒い斑点が散らばる個性的な見た目が特徴です。体長は10〜20mmと小型で、岩礁域の岩穴や転石の下など、少し暗い場所に潜んでいることが多いです。水中で見つける際は、小さな岩の隙間や海藻の根元を注意深く探すと良いでしょう。動きはゆっくりで、あまり移動せずにじっとしていることが多いため、撮影もしやすい種類です。面白い特徴として、黒い斑点がオセロゲームの石のように見えることからこの和名がつけられました。警戒心が強くないため、ゆっくり近づけば観察を楽しめます。,岩礁の岩穴、転石帯,赤やピンクの体色に黒い斑点が特徴的なウミウシ。岩の陰に隠れていることが多く、小さな体でじっとしている。,オセロウミウシは赤やピンクの鮮やかな体色に、黒い斑点が散らばる個性的な見た目が特徴です。体長は10〜20mmと小型で、岩礁域の岩穴や転石の下など、少し暗い場所に潜んでいることが多いです。水中で見つける際は、小さな岩の隙間や海藻の根元を注意深く探すと良いでしょう。動きはゆっくりで、あまり移動せずにじっとしていることが多いため、撮影もしやすい種類です。面白い特徴として、黒い斑点がオセロゲームの石のように見えることからこの和名がつけられました。警戒心が強くないため、ゆっくり近づけば観察を楽しめます。
ツヅレウミウシ,Discodoris lilacina,沖縄諸島,サンゴ礁域、岩礁の岩穴,40~60mm,,淡い紫色の体に黒い斑点が特徴的なウミウシ。岩の上をゆっくり這う姿が観察でき、ダイバーに人気があります。,淡い紫色の体に不規則な黒い斑点が散りばめられた美しいウミウシで、主に岩礁やサンゴ礁の岩穴に生息しています。体長は約40〜60mmで、岩の表面をゆっくりと這う姿が観察できます。日中でも活動的で、比較的見つけやすい種類です。撮影の際は、その独特な色合いを引き出すため、ストロボの角度を調整するのがおすすめです。面白いことに、危険を感じると体を丸める習性があり、その姿も愛らしいと評判です。沖縄諸島のダイビングでは人気の被写体で、岩陰を注意深く探すと出会えるチャンスが増えます。,サンゴ礁域、岩礁の岩穴,淡い紫色の体に黒い斑点が特徴的なウミウシ。岩の上をゆっくり這う姿が観察でき、ダイバーに人気があります。,淡い紫色の体に不規則な黒い斑点が散りばめられた美しいウミウシで、主に岩礁やサンゴ礁の岩穴に生息しています。体長は約40〜60mmで、岩の表面をゆっくりと這う姿が観察できます。日中でも活動的で、比較的見つけやすい種類です。撮影の際は、その独特な色合いを引き出すため、ストロボの角度を調整するのがおすすめです。面白いことに、危険を感じると体を丸める習性があり、その姿も愛らしいと評判です。沖縄諸島のダイビングでは人気の被写体で、岩陰を注意深く探すと出会えるチャンスが増えます。
ヒラツヅレウミウシ,Discodoris boholiensis,インド-西太平洋,サンゴ礁域、岩礁の岩穴、転石帯,23~70mm,,白〜淡黄色の地に黒い斑点が特徴で、岩の上をゆっくり這う姿が観察できる。背面は凹凸があり、ウミウシらしいフォルムが魅力。,白〜淡黄色の地色に不規則な黒い斑点が散らばる美しいウミウシで、体長2〜3cm程度と小型。岩礁やサンゴ礁の岩の上をゆっくり這う姿が観察でき、背面には特徴的な凹凸がある。見つけるには、日陰の岩壁や転石の下面を注意深く探すと良い。撮影時は自然な動きを捉えるため、刺激を与えすぎないように注意。面白い生態として、刺激を受けると体を丸める防御行動をとることがある。餌は海綿類で、同所的に生息する特定の海綿を探すと遭遇率が上がる。,サンゴ礁域、岩礁の岩穴、転石帯,白〜淡黄色の地に黒い斑点が特徴で、岩の上をゆっくり這う姿が観察できる。背面は凹凸があり、ウミウシらしいフォルムが魅力。,白〜淡黄色の地色に不規則な黒い斑点が散らばる美しいウミウシで、体長2〜3cm程度と小型。岩礁やサンゴ礁の岩の上をゆっくり這う姿が観察でき、背面には特徴的な凹凸がある。見つけるには、日陰の岩壁や転石の下面を注意深く探すと良い。撮影時は自然な動きを捉えるため、刺激を与えすぎないように注意。面白い生態として、刺激を受けると体を丸める防御行動をとることがある。餌は海綿類で、同所的に生息する特定の海綿を探すと遭遇率が上がる。
ワギリウミウシ,Discodoris coerulescens,インド-西太平洋,岩礁の岩穴、転石帯,40~30mm,,青みがかった灰色の体に黒い斑点が散りばめられたウミウシ。岩陰に隠れることが多く、動きはゆっくり。,ワギリウミウシは青灰色の地色に不規則な黒い斑点が特徴で、体長は約40mmと小型。岩礁地帯の岩陰や転石の下などに生息し、ゆっくりと這うように移動します。体表はざらついた質感で、刺激を与えると体を丸める習性があります。観察の際は、潮通しの良い岩場を重点的に探し、小さな岩を優しくひっくり返すと見つけやすいでしょう。撮影時はマクロレンズが必須で、横からアングルを取ると斑点模様が美しく写ります。面白い生態として、外敵から身を守るために体から苦味物質を分泌することが知られています。,岩礁の岩穴、転石帯,青みがかった灰色の体に黒い斑点が散りばめられたウミウシ。岩陰に隠れることが多く、動きはゆっくり。,ワギリウミウシは青灰色の地色に不規則な黒い斑点が特徴で、体長は約40mmと小型。岩礁地帯の岩陰や転石の下などに生息し、ゆっくりと這うように移動します。体表はざらついた質感で、刺激を与えると体を丸める習性があります。観察の際は、潮通しの良い岩場を重点的に探し、小さな岩を優しくひっくり返すと見つけやすいでしょう。撮影時はマクロレンズが必須で、横からアングルを取ると斑点模様が美しく写ります。面白い生態として、外敵から身を守るために体から苦味物質を分泌することが知られています。
ムラクモウミウシ,Discodoris cebuensis,インド-西太平洋,サンゴ礁域、岩礁の岩穴,15~40mm,,黒褐色の地に不規則な黄色い斑点が散らばり、岩陰に潜むことが多い。体は柔らかく、ゆっくり這う姿が特徴的。,ムラクモウミウシは黒褐色の地色に鮮やかな黄色の不規則な斑点が特徴で、岩礁の陰やサンゴの隙間にひっそりと潜んでいます。体長は15~40mmと小型で、体は柔らかく、ゆっくりと這うように移動します。ダイビング中は岩の裏側や隙間を重点的に探すと見つけやすく、刺激を与えなければ比較的近づいて観察や撮影が可能です。体色が周囲の環境に溶け込むため、注意深く探す必要があります。面白いことに、このウミウシは海綿類を餌とするため、海綿が生息する場所でよく見かけられます。,サンゴ礁域、岩礁の岩穴,黒褐色の地に不規則な黄色い斑点が散らばり、岩陰に潜むことが多い。体は柔らかく、ゆっくり這う姿が特徴的。,ムラクモウミウシは黒褐色の地色に鮮やかな黄色の不規則な斑点が特徴で、岩礁の陰やサンゴの隙間にひっそりと潜んでいます。体長は15~40mmと小型で、体は柔らかく、ゆっくりと這うように移動します。ダイビング中は岩の裏側や隙間を重点的に探すと見つけやすく、刺激を与えなければ比較的近づいて観察や撮影が可能です。体色が周囲の環境に溶け込むため、注意深く探す必要があります。面白いことに、このウミウシは海綿類を餌とするため、海綿が生息する場所でよく見かけられます。
キイロハケジタウミウシ,Geitodoris lutea,本州,岩礁の岩穴、転石帯,30~100mm,,鮮やかな黄色い体色が目を引くウミウシ。岩陰や転石の下に潜んでいることが多く、ゆっくりと移動する。,鮮やかな黄色い体色が特徴で、水中では非常に目立ちます。体長は3cm程度と小さめですが、その色から比較的見つけやすいウミウシです。岩礁地帯の岩穴や転石の下に潜んでいることが多く、ゆっくりと這うように移動します。夜行性の傾向があるため、日中はあまり活発に動きません。撮影の際は、その鮮やかな黄色を引き立たせるために、ストロボの角度を調整するのがおすすめです。面白いことに、このウミウシは刺激を受けると防御物質を分泌することがあり、水中で独特の臭いを放つことがあります。,岩礁の岩穴、転石帯,鮮やかな黄色い体色が目を引くウミウシ。岩陰や転石の下に潜んでいることが多く、ゆっくりと移動する。,鮮やかな黄色い体色が特徴で、水中では非常に目立ちます。体長は3cm程度と小さめですが、その色から比較的見つけやすいウミウシです。岩礁地帯の岩穴や転石の下に潜んでいることが多く、ゆっくりと這うように移動します。夜行性の傾向があるため、日中はあまり活発に動きません。撮影の際は、その鮮やかな黄色を引き立たせるために、ストロボの角度を調整するのがおすすめです。面白いことに、このウミウシは刺激を受けると防御物質を分泌することがあり、水中で独特の臭いを放つことがあります。
オオツヅレウミウシ,Sebadoris fragilis,インド-西太平洋,サンゴ礁域、岩礁の岩穴,60~120mm,,白い体に赤やオレンジの細かい斑点が散りばめられ、岩の上をゆっくり這う。触角は鮮やかな色で目立つ。,オオツヅレウミウシは、白い体地色に赤やオレンジの細かい斑点が美しく散りばめられた、華やかなウミウシです。体長は60~120mm程度で、岩の上をゆっくりと這う姿が観察できます。触角は鮮やかな色で、特に目を引きます。ダイビング中には、岩陰やサンゴの隙間を注意深く探すと見つけやすく、動きが遅いため撮影にも適しています。面白いことに、このウミウシは毒を持つ可能性があるため、触らないように注意が必要です。インド-西太平洋に分布し、ダイバーにとっては色彩の美しさから人気の高い種です。,サンゴ礁域、岩礁の岩穴,白い体に赤やオレンジの細かい斑点が散りばめられ、岩の上をゆっくり這う。触角は鮮やかな色で目立つ。,オオツヅレウミウシは、白い体地色に赤やオレンジの細かい斑点が美しく散りばめられた、華やかなウミウシです。体長は60~120mm程度で、岩の上をゆっくりと這う姿が観察できます。触角は鮮やかな色で、特に目を引きます。ダイビング中には、岩陰やサンゴの隙間を注意深く探すと見つけやすく、動きが遅いため撮影にも適しています。面白いことに、このウミウシは毒を持つ可能性があるため、触らないように注意が必要です。インド-西太平洋に分布し、ダイバーにとっては色彩の美しさから人気の高い種です。
ツルガウミウシ,Paradoris tsurugensis,本州、南西諸島,岩礁の岩穴、転石帯,45~50mm,,乳白色の体に茶褐色の小さな突起が密生し、ふんわりとした印象。岩陰でじっとしていることが多く、動きはゆっくり。,乳白色の体全体に茶褐色の小さな突起が密生し、触るとふんわりとした感触が特徴のウミウシです。体長は45~50mm程度で、岩礁の岩穴や転石帯に生息しています。動きは非常にゆっくりで、岩陰でじっとしていることが多いため、注意深く探す必要があります。観察の際は、岩の隙間や転石の下を丁寧にチェックしましょう。撮影時は、体色が白っぽいため露出補正を+1程度に調整すると、特徴的な突起が綺麗に写ります。面白いことに、このウミウシは刺激を受けると体を丸める習性があり、その姿がまるで小さな綿ボールのようで可愛らしいです。,岩礁の岩穴、転石帯,乳白色の体に茶褐色の小さな突起が密生し、ふんわりとした印象。岩陰でじっとしていることが多く、動きはゆっくり。,乳白色の体全体に茶褐色の小さな突起が密生し、触るとふんわりとした感触が特徴のウミウシです。体長は45~50mm程度で、岩礁の岩穴や転石帯に生息しています。動きは非常にゆっくりで、岩陰でじっとしていることが多いため、注意深く探す必要があります。観察の際は、岩の隙間や転石の下を丁寧にチェックしましょう。撮影時は、体色が白っぽいため露出補正を+1程度に調整すると、特徴的な突起が綺麗に写ります。面白いことに、このウミウシは刺激を受けると体を丸める習性があり、その姿がまるで小さな綿ボールのようで可愛らしいです。
マイチョコウミウシ,Paradoris sp.1,西太平洋,岩礁の岩穴、転石帯,6~20mm,,茶褐色の丸みを帯びた体に不規則な白斑があり、岩の上をゆっくり這う。触角が目立ち、カラフルな印象を受ける。,茶褐色の体に大小不規則な白斑が散らばり、丸みを帯びたフォルムが特徴的なウミウシです。体長は個体差がありますが、岩の上をゆっくりと這う姿がよく観察されます。触角が大きく目立ち、水中ではカラフルな印象を与えます。見つけるコツは、転石帯や岩礁の裏側を注意深く観察すること。比較的明るい場所を好む傾向があり、撮影時は自然光を活かすと美しく写ります。面白いことに、このウミウシは餌となる海綿類の近くでよく見つかります。ダイバーに人気の被写体で、動きがゆっくりなため初心者でも撮影しやすい種類です。,岩礁の岩穴、転石帯,茶褐色の丸みを帯びた体に不規則な白斑があり、岩の上をゆっくり這う。触角が目立ち、カラフルな印象を受ける。,茶褐色の体に大小不規則な白斑が散らばり、丸みを帯びたフォルムが特徴的なウミウシです。体長は個体差がありますが、岩の上をゆっくりと這う姿がよく観察されます。触角が大きく目立ち、水中ではカラフルな印象を与えます。見つけるコツは、転石帯や岩礁の裏側を注意深く観察すること。比較的明るい場所を好む傾向があり、撮影時は自然光を活かすと美しく写ります。面白いことに、このウミウシは餌となる海綿類の近くでよく見つかります。ダイバーに人気の被写体で、動きがゆっくりなため初心者でも撮影しやすい種類です。
ツギアテウミウシ,Paradoris sp.2,西太平洋,岩礁の岩穴、転石帯,5~20mm,,白色～淡褐色の体に黒い斑点があり、岩陰にじっとしていることが多い。特徴的な突起が体表全体を覆い、ウミウシらしいフォルムが印象的。,白色から淡褐色の地色に不規則な黒い斑点が散在し、体表全体が小さな突起で覆われているのが特徴的なウミウシです。体長は約20mmと小型で、岩礁地帯の岩陰や転石の下などにひっそりと生息しています。ダイビング中に見つけるには、岩の隙間や転石を慎重にひっくり返すと良いでしょう。動きは緩慢で、刺激を与えなければ比較的近づいて観察や撮影が可能です。体色のバリエーションが多く、地域によって異なる色彩を示すことが知られています。撮影時はマクロレンズを使い、特徴的な突起の質感を捉えると良い作品が撮れます。,岩礁の岩穴、転石帯,白色～淡褐色の体に黒い斑点があり、岩陰にじっとしていることが多い。特徴的な突起が体表全体を覆い、ウミウシらしいフォルムが印象的。,白色から淡褐色の地色に不規則な黒い斑点が散在し、体表全体が小さな突起で覆われているのが特徴的なウミウシです。体長は約20mmと小型で、岩礁地帯の岩陰や転石の下などにひっそりと生息しています。ダイビング中に見つけるには、岩の隙間や転石を慎重にひっくり返すと良いでしょう。動きは緩慢で、刺激を与えなければ比較的近づいて観察や撮影が可能です。体色のバリエーションが多く、地域によって異なる色彩を示すことが知られています。撮影時はマクロレンズを使い、特徴的な突起の質感を捉えると良い作品が撮れます。
カンゼミズウミウシ,Paradoris sp.3,西太平洋,岩礁の岩穴、転石帯,12~20mm,,白～淡黄色の体に黒い斑点があり、小さなウミウシ。岩陰に隠れていることが多く、じっくり探す価値あり。,白～淡黄色の体に不規則な黒い斑点が散りばめられた小型のウミウシで、体長は12～20mm程度。岩礁の転石帯や岩穴などに生息し、岩の裏側や隙間に隠れていることが多いため、丁寧に石をひっくり返すと発見できる。動きはゆっくりで、華奢な外見とは裏腹に意外と力強い這い方をする。撮影時はマクロレンズが必須で、岩の質感とコントラストを活かした構図がおすすめ。近縁種との識別が難しいが、黒斑のパターンが特徴的。,岩礁の岩穴、転石帯,白～淡黄色の体に黒い斑点があり、小さなウミウシ。岩陰に隠れていることが多く、じっくり探す価値あり。,白～淡黄色の体に不規則な黒い斑点が散りばめられた小型のウミウシで、体長は12～20mm程度。岩礁の転石帯や岩穴などに生息し、岩の裏側や隙間に隠れていることが多いため、丁寧に石をひっくり返すと発見できる。動きはゆっくりで、華奢な外見とは裏腹に意外と力強い這い方をする。撮影時はマクロレンズが必須で、岩の質感とコントラストを活かした構図がおすすめ。近縁種との識別が難しいが、黒斑のパターンが特徴的。
タリンガ・ハルゲルダ,Taringa halgerda,西太平洋,サンゴ礁域、岩礁の岩穴,5~50mm,,白い地色に黒い輪紋が特徴のウミウシ。体表は柔らかく、岩の上をゆっくり這う姿が観察できる。,タリンガ・ハルゲルダは、白い体地色に黒い輪紋が不規則に配置された美しいウミウシです。体長は2cm程度と小型で、体表は柔らかく、岩の上をゆっくり這う姿が観察できます。西太平洋のサンゴ礁域や岩礁の岩穴で見られ、日中でも活動しています。見つけるコツは、岩の隙間や陰を丁寧に探すことです。撮影の際は、白と黒のコントラストを活かすため、ストロボの角度を調整すると良いでしょう。このウミウシは後鰓類に分類され、捕食対象である海綿などを食べることで毒を蓄積する興味深い生態を持っています。,サンゴ礁域、岩礁の岩穴,白い地色に黒い輪紋が特徴のウミウシ。体表は柔らかく、岩の上をゆっくり這う姿が観察できる。,タリンガ・ハルゲルダは、白い体地色に黒い輪紋が不規則に配置された美しいウミウシです。体長は2cm程度と小型で、体表は柔らかく、岩の上をゆっくり這う姿が観察できます。西太平洋のサンゴ礁域や岩礁の岩穴で見られ、日中でも活動しています。見つけるコツは、岩の隙間や陰を丁寧に探すことです。撮影の際は、白と黒のコントラストを活かすため、ストロボの角度を調整すると良いでしょう。このウミウシは後鰓類に分類され、捕食対象である海綿などを食べることで毒を蓄積する興味深い生態を持っています。
マンリョウウミウシ,Carminodoris armata,本州から九州,岩礁の岩穴、転石帯,100~150mm,,赤やピンクの鮮やかな体色に黒い斑点があり、岩礁域でじっとしていることが多い。触角と鰓が目立つ愛らしいウミウシ。,マンリョウウミウシは赤やピンクを基調とした鮮やかな体色に黒い斑点が特徴で、ダイバーの目を引く美しいウミウシです。体長は約100~150mm程度で、岩礁域の岩陰や転石帯に生息しています。触角と鰓が大きく目立ち、愛らしい印象を与えます。観察時は岩の隙間やくぼみを注意深く探すと発見しやすく、比較的動きが遅いため撮影にも適しています。面白いことに、刺激を受けると体をくねらせるように動かすことがあり、そのユニークな動きも観察のポイントです。鮮やかな体色は岩場の暗い背景でよく映え、写真撮影ではストロボの反射を活かすとより美しく写ります。,岩礁の岩穴、転石帯,赤やピンクの鮮やかな体色に黒い斑点があり、岩礁域でじっとしていることが多い。触角と鰓が目立つ愛らしいウミウシ。,マンリョウウミウシは赤やピンクを基調とした鮮やかな体色に黒い斑点が特徴で、ダイバーの目を引く美しいウミウシです。体長は約100~150mm程度で、岩礁域の岩陰や転石帯に生息しています。触角と鰓が大きく目立ち、愛らしい印象を与えます。観察時は岩の隙間やくぼみを注意深く探すと発見しやすく、比較的動きが遅いため撮影にも適しています。面白いことに、刺激を受けると体をくねらせるように動かすことがあり、そのユニークな動きも観察のポイントです。鮮やかな体色は岩場の暗い背景でよく映え、写真撮影ではストロボの反射を活かすとより美しく写ります。
センリョウウミウシ,Carminodoris bifurcata,西太平洋、中部太平洋,岩礁の岩穴、転石帯,40~60mm,,赤みがかった紫色の体に白い斑点があり、岩陰でじっとしていることが多い。触角と鰓が目立つ愛嬌のあるウミウシ。,センリョウウミウシは赤みがかった紫色の体に不規則な白い斑点が散在し、背中には小さな突起が多数あります。体長40~60mm程度で、触角と鰓が鮮やかな色をしており、岩陰や転石の隙間で静止していることが多いです。ダイビングでは、岩場を丁寧に観察すると見つけやすく、動きが遅いため撮影もしやすいです。面白い特徴として、刺激を受けると体を丸めることがあり、その愛嬌ある姿がダイバーに人気です。鰓の周辺が鮮やかな色をしているため、マクロレンズで撮影すると美しい写真が撮れます。,岩礁の岩穴、転石帯,赤みがかった紫色の体に白い斑点があり、岩陰でじっとしていることが多い。触角と鰓が目立つ愛嬌のあるウミウシ。,センリョウウミウシは赤みがかった紫色の体に不規則な白い斑点が散在し、背中には小さな突起が多数あります。体長40~60mm程度で、触角と鰓が鮮やかな色をしており、岩陰や転石の隙間で静止していることが多いです。ダイビングでは、岩場を丁寧に観察すると見つけやすく、動きが遅いため撮影もしやすいです。面白い特徴として、刺激を受けると体を丸めることがあり、その愛嬌ある姿がダイバーに人気です。鰓の周辺が鮮やかな色をしているため、マクロレンズで撮影すると美しい写真が撮れます。
ニヨリセンリョウウミウシ,Carminodoris flammea,西太平洋,岩礁の岩穴、転石帯,80~30mm,,鮮やかな赤色に白色の細い線が入る美しいウミウシ。岩の上をゆっくり這う姿が観察できる。,ニヨリセンリョウウミウシは、鮮やかな赤色の体に白色の細い線が放射状に入る美しいウミウシです。体長は約80mmで、岩礁の岩穴や転石帯で見られます。岩の上をゆっくり這う姿が特徴的で、動きが遅いため観察や撮影がしやすいです。背面には小さな突起が多数あり、触覚のような二次鰓が目立ちます。撮影時は赤色の発色を引き出すためにストロボを使うと良いでしょう。面白いことに、刺激を受けると体を縮めることがあり、その際に白色の線模様がより強調されます。,岩礁の岩穴、転石帯,鮮やかな赤色に白色の細い線が入る美しいウミウシ。岩の上をゆっくり這う姿が観察できる。,ニヨリセンリョウウミウシは、鮮やかな赤色の体に白色の細い線が放射状に入る美しいウミウシです。体長は約80mmで、岩礁の岩穴や転石帯で見られます。岩の上をゆっくり這う姿が特徴的で、動きが遅いため観察や撮影がしやすいです。背面には小さな突起が多数あり、触覚のような二次鰓が目立ちます。撮影時は赤色の発色を引き出すためにストロボを使うと良いでしょう。面白いことに、刺激を受けると体を縮めることがあり、その際に白色の線模様がより強調されます。
ツブツブウミウシ,Carminodoris grandiflora,インド-太平洋,サンゴ礁域、転石帯,50~50mm,,赤褐色の体に無数の白い粒状突起があり、岩の上をゆっくり這う。その名の通りツブツブした質感が特徴的。,赤褐色の体全体に無数の白い粒状突起が密生し、まさに『ツブツブ』という名にふさわしい見た目が特徴的なウミウシです。体長は2〜3cm程で、岩やサンゴの上をゆっくり這う姿が観察できます。インド-太平洋の暖かい海に分布し、日本では沖縄などで見られます。ダイビング中は転石帯やサンゴ礁の岩陰を注意深く探すと発見できるでしょう。動きが遅いため撮影しやすく、マクロレンズで粒状突起の質感を捉えると面白い写真が撮れます。学名の『grandiflora』は『大きな花』を意味し、その美しい外見に由来しています。,サンゴ礁域、転石帯,赤褐色の体に無数の白い粒状突起があり、岩の上をゆっくり這う。その名の通りツブツブした質感が特徴的。,赤褐色の体全体に無数の白い粒状突起が密生し、まさに『ツブツブ』という名にふさわしい見た目が特徴的なウミウシです。体長は2〜3cm程で、岩やサンゴの上をゆっくり這う姿が観察できます。インド-太平洋の暖かい海に分布し、日本では沖縄などで見られます。ダイビング中は転石帯やサンゴ礁の岩陰を注意深く探すと発見できるでしょう。動きが遅いため撮影しやすく、マクロレンズで粒状突起の質感を捉えると面白い写真が撮れます。学名の『grandiflora』は『大きな花』を意味し、その美しい外見に由来しています。
メダマヤキウミウシ,Carminodoris estrelyado,インド-太平洋,サンゴ礁域、岩礁の岩穴,15~40mm,,鮮やかな赤色の体に白色の細い線が入り、岩の上をゆっくり這う姿が印象的。縁取られた外套膜が特徴的で、日中でも活動的。,メダマヤキウミウシは鮮やかな赤色の体に白色の細い線が放射状に入り、外套膜の縁が波打つように広がる美しいウミウシです。体長は約15~40mmで、岩の上をゆっくり這う姿が観察できます。日中でも活動的で、岩の陰やサンゴの根元を探すと見つけやすいです。撮影の際は、鮮やかな体色を引き出すためにストロボを使うと良いでしょう。このウミウシの学名「Carminodoris estrelyado」は、スペイン語で『星々』を意味し、体の模様が星空のように見えることに由来しています。,サンゴ礁域、岩礁の岩穴,鮮やかな赤色の体に白色の細い線が入り、岩の上をゆっくり這う姿が印象的。縁取られた外套膜が特徴的で、日中でも活動的。,メダマヤキウミウシは鮮やかな赤色の体に白色の細い線が放射状に入り、外套膜の縁が波打つように広がる美しいウミウシです。体長は約15~40mmで、岩の上をゆっくり這う姿が観察できます。日中でも活動的で、岩の陰やサンゴの根元を探すと見つけやすいです。撮影の際は、鮮やかな体色を引き出すためにストロボを使うと良いでしょう。このウミウシの学名「Carminodoris estrelyado」は、スペイン語で『星々』を意味し、体の模様が星空のように見えることに由来しています。
