和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
アオイソハゼ,"Eviota prasites Jordan et Seale, 1906",小笠原諸島、紀伊半島、徳島県、愛媛県宇和海、高知県柏島、琉球列島、中・西部太平洋,内湾の湾口から湾奥、サンゴ礁域の礁斜面、サンゴの根周辺やガレ場。生息水深5-20m,3cm,8m,青みがかった透明な体が美しい。礁斜面やガレ場で単独で見られ、素早く動く。,アオイソハゼは青みがかった透明な体が美しく、光に当たると輝いて見えます。礁斜面やガレ場で単独で見られ、素早く動くため、追いかけるとすぐに隠れてしまいます。観察のコツは、ゆっくりと近づき、その動きを予測することです。マクロ撮影では、背景にサンゴやガレ場を取り入れると、その透明感が引き立ちます。
スミツキイソハゼ,"Eviota infraspinata (Smith, 1957)",沖縄諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。死んで苔などがついたサンゴの上やガレ場に単独で生息。水深3-15m,2.5cm,6m,体にスミのような模様があり、苔の生えたサンゴの上で静止している。単独で見られる。,スミツキイソハゼは体にスミのような模様があり、苔の生えたサンゴの上で静止していることが多いです。単独で見られるため、注意深く探す必要があります。観察のコツは、死サンゴや苔の生えた部分を重点的にチェックすることです。マクロ撮影では、そのユニークな模様を引き出すために、斜めからの光が効果的です。
オビイソハゼ,"Eviota latifasciata Jewett et Lachner, 1983",小笠原諸島、八丈島、伊豆半島、沖縄諸島、久米島、西表島；インド・太平洋,内湾の湾口、サンゴ礁域の礁外縁・礁斜面。波当たりや潮通しの良いところに単独で生息。水深3-10m,2cm,5m,体に横縞模様があり、波当たりの良い場所で見られる。小さくて素早い。,オビイソハゼは体に横縞模様があり、波当たりや潮通しの良い場所で単独で見られます。小さくて素早いため、観察には忍耐が必要です。礁外縁や礁斜面をゆっくりと泳ぎながら探すと良いでしょう。マクロ撮影では、その縞模様を強調するために、背景をぼかすと効果的です。
キンホシイソハゼ,"Eviota storthynx (Rosen, 1959)",小笠原諸島、徳島県、愛媛県宇和海、高知県柏島、鹿児島県、琉球列島；インド・太平洋,内湾の湾奥。岩礁・転石上・サンゴの根上・死サンゴ塊混じりのガレ場に単独で生息。水深3-20m,3cm,20m,金色の斑点が特徴的で、岩礁やサンゴの根上で見られる。深い場所にも生息。,キンホシイソハゼは金色の斑点が特徴的で、岩礁やサンゴの根上で単独で見られます。深い場所にも生息しており、20m以深で観察されることもあります。観察のコツは、岩の隙間やサンゴの根元を重点的にチェックすることです。マクロ撮影では、金色の斑点が光に反射するため、ストロボの角度を調整すると良いでしょう。
シロオビイソハゼ,Eviota pellucida,屋久島、久米島、西表島；中・西部太平洋,内湾のサンゴの根の窪み。単独で見られ、底生だがホバリングもする。生息水深6-30m,2.5cm,30m,透明な体に白い帯が目立つ。サンゴの根の窪みでホバリングする姿が見られる。,シロオビイソハゼは透明な体に白い帯が目立ち、サンゴの根の窪みでホバリングする姿が見られます。単独で見られ、底生ですが、時々ホバリングするため、その動きが観察のポイントです。30m以深で見られることもあり、深度に注意しながら探す必要があります。マクロ撮影では、その透明感を活かして、背景を暗くすると効果的です。
オヨギイソハゼ,Eviota kasora,奄美大島、慶良間諸島、宮古島、八重山諸島；インド・西太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。ガレ場や枝状・テーブル状サンゴ周囲に群れで遊泳。生息水深3-30m,3cm,8m,群れで遊泳し、枝状サンゴの周囲でよく見られる。活発で観察しやすい。,オヨギイソハゼは群れで遊泳し、枝状サンゴの周囲でよく見られます。活発で観察しやすく、ダイバーにも人気があります。ガレ場やテーブル状サンゴの周りを重点的に探すと良いでしょう。マクロ撮影では、群れの動きを捉えるために、連写モードがおすすめです。
ソメワケイソハゼ,Eviota nigriventris,琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。ガレ場や枝状・テーブル状サンゴ周囲に小群れまたは単独で遊泳。生息水深3-30m,2.5cm,10m,体にソメワケのような模様があり、小群れで見られる。サンゴ礁域で観察可能。,ソメワケイソハゼは体にソメワケのような模様があり、小群れまたは単独で見られます。サンゴ礁域の礁池や礁湖で観察可能で、ガレ場や枝状サンゴの周りを重点的に探すと良いでしょう。マクロ撮影では、そのユニークな模様を引き出すために、ストロボの光を拡散させると効果的です。
フタボシイソハゼ,"Eviota lachdeberei Giltay, 1933",奄美大島、慶良間諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、密集した枝状サンゴの中や周囲、生息水深3-20m,2.5cm,6m,密集した枝状サンゴの中に隠れていることが多い。小さくて見つけにくい。,フタボシイソハゼは密集した枝状サンゴの中に隠れていることが多く、小さくて見つけにくいです。内湾の中程から湾奥で観察され、枝状サンゴの隙間を注意深くチェックする必要があります。マクロ撮影では、サンゴの枝間から顔を出した瞬間を捉えるのがポイントです。
アカネグルマハゼ,"Paragobiodon lacunicolus (Bleeker, 1852)",琉球列島;インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。トゲサンゴ属の枝間にペアまたは数尾で見られる。生息水深3-20m,2.5cm,4-8m,赤みがかった体色で、トゲサンゴの枝間にペアで見られる。観察しやすい。,アカネグルマハゼは赤みがかった体色で、トゲサンゴの枝間にペアで見られます。観察しやすく、ダイバーにも人気があります。トゲサンゴの周りを重点的に探すと良いでしょう。マクロ撮影では、ペアのインタラクションを捉えるために、少し離れて観察するのがコツです。
クログルマハゼ,"Paragobiodon melanosoma (Bleeker, 1852)",琉球列島;インド・太平洋,サンゴ礁域の礁池・礁湖・礁斜面。トゲサンゴ属の枝間に単独かペアで見られる。生息水深15-30m,2.5cm,14m,黒い体色が特徴で、トゲサンゴの枝間に単独かペアで見られる。深い場所に生息。,クログルマハゼは黒い体色が特徴で、トゲサンゴの枝間に単独かペアで見られます。15-30mの深い場所に生息しており、深度に注意しながら探す必要があります。トゲサンゴの枝間を注意深くチェックすると良いでしょう。マクロ撮影では、黒い体色を引き立てるために、背景を明るくするのがポイントです。
パンダダルマハゼ,"Paragobiodon lacunicolus (Kendall et Goldsborough, 1911)",小笠原諸島、紀伊半島、高知県、琉球列島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ハナヤサイサンゴ属の枝間にペアで見られる。生息水深1-10m,2.5cm,4m,パンダのような模様が可愛らしい。ハナヤサイサンゴの枝間にペアで見られる。,パンダダルマハゼはパンダのような模様が可愛らしく、ハナヤサイサンゴの枝間にペアで見られます。内湾の湾口から中程で観察され、サンゴの枝間を重点的に探すと良いでしょう。マクロ撮影では、そのユニークな模様を引き出すために、正面からのショットがおすすめです。
カサイダルマハゼ,Paragobiodon sp.,沖縄諸島、宮古島、八重山諸島,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ハナヤサイサンゴ属の枝間にペアで見られる。生息水深2-15m,2.5cm,6m,赤みがかった体色で、ハナヤサイサンゴの枝間にペアで見られる。観察しやすい。,カサイダルマハゼは赤みがかった体色で、ハナヤサイサンゴの枝間にペアで見られます。観察しやすく、ダイバーにも人気があります。ハナヤサイサンゴの周りを重点的に探すと良いでしょう。マクロ撮影では、ペアのインタラクションを捉えるために、少し離れて観察するのがコツです。
ダルマハゼ,"Paragobiodon echinocephalus (Rüppell, 1830)",紀伊半島、高知県、琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面、ショウガサンゴの枝間に単独かペアで見られる。生息水深3-30m,2.5cm,12m,ショウガサンゴの枝間に単独かペアで見られる。体色は茶褐色。,ダルマハゼはショウガサンゴの枝間に単独かペアで見られ、体色は茶褐色です。内湾の湾口から湾奥で観察され、ショウガサンゴの枝間を注意深くチェックすると良いでしょう。マクロ撮影では、その茶褐色の体色を引き立てるために、背景を暗くするのがポイントです。
ヨゴレグルマハゼ,Paragobiodon sp.,小笠原諸島、高知県、琉球列島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ハナヤサイサンゴ属の枝間、生息水深2-15m,2.5cm,8m,ヨゴレのような模様が特徴的。ハナヤサイサンゴの枝間で見られる。,ヨゴレグルマハゼはヨゴレのような模様が特徴的で、ハナヤサイサンゴの枝間で見られます。内湾の湾口から中程で観察され、サンゴの枝間を重点的に探すと良いでしょう。マクロ撮影では、そのユニークな模様を引き出すために、ストロボの光を拡散させると効果的です。
ミジンベニハゼ,"Eviota sigillata Tanaka, 1915",千葉県館山湾～駿河湾、紀伊半島串本、高知県柏島、鹿児島県、大阪湾、愛媛県、兵庫県日本海側、壱岐水道～天草灘,内湾の砂泥底、フジツボ類の空殻・空き瓶・空き缶・二枚貝の殻の内、生息水深約12-25m,3cm,20m,非常に小さく、フジツボの空殻や空き瓶の中に隠れている。見つけにくい。,ミジンベニハゼは非常に小さく、フジツボの空殻や空き瓶の中に隠れているため、見つけにくいです。内湾の砂泥底で観察され、空き瓶や空き缶を注意深くチェックする必要があります。マクロ撮影では、その小ささを強調するために、接写レンズがおすすめです。
ナカモトイロワケハゼ,"Lubricogobius exiguus Randall & Senou, 2001",沖縄島、石垣島；パプアニューギニア,サンゴ礁域のドロップオフ下、砂底の空貝・小石・空ビンの中、生息水深35m以深,2.5cm,51m,非常に小さく、砂底の空貝や小石の中に隠れている。深い場所に生息。,ナカモトイロワケハゼは非常に小さく、砂底の空貝や小石の中に隠れています。35m以深の深い場所に生息しており、深度に注意しながら探す必要があります。ドロップオフ下の砂底を重点的にチェックすると良いでしょう。マクロ撮影では、その小ささを強調するために、接写レンズがおすすめです。
イレズミミジンベニハゼ,"Lubricogobius ornatus Fourmanoir, 1966",和歌山県、奄美大島、沖縄諸島；インド・西太平洋,内湾の砂底の空き瓶・空き缶の内、生息水深約20m,3.5cm,21m,体にイレズミのような模様があり、空き瓶や空き缶の中に隠れている。,イレズミミジンベニハゼは体にイレズミのような模様があり、空き瓶や空き缶の中に隠れています。内湾の砂底で観察され、空き瓶や空き缶を注意深くチェックする必要があります。マクロ撮影では、そのユニークな模様を引き出すために、ストロボの光を拡散させると効果的です。
コバンハゼ,Gobiodon sp. A,小笠原諸島、和歌山県、高知県、琉球列島、台湾,内湾の湾口から中程、サンゴ礁域の礁原、ミドリイシ属の枝状サンゴの枝間や枝先,5cm,3-6m,体が平たく、ミドリイシ属のサンゴの枝間に見られる。観察しやすい。,コバンハゼは体が平たく、ミドリイシ属のサンゴの枝間に見られます。観察しやすく、ダイバーにも人気があります。ミドリイシ属のサンゴの周りを重点的に探すと良いでしょう。マクロ撮影では、サンゴの枝間から顔を出した瞬間を捉えるのがポイントです。
イチモンジコバンハゼ,"Gobiodon albofasciatus Sawada et Arai, 1972",奄美大島、慶良間諸島、宮古島、八重山諸島、インド・西太平洋,内湾の湾奥、ミドリイシ属のテーブル状または枝状サンゴやユビエダハマサンゴの枝間,3.5cm,2-6m,体に白い帯模様があり、ミドリイシ属のサンゴの枝間で見られる。,イチモンジコバンハゼは体に白い帯模様があり、ミドリイシ属のサンゴの枝間で見られます。内湾の湾奥で観察され、テーブル状または枝状サンゴの周りを重点的に探すと良いでしょう。マクロ撮影では、その帯模様を強調するために、背景をぼかすと効果的です。
キイロサンゴハゼ,"Gobiodon okinawae Sawada, Arai et Abe, 1972",和歌山県、高知県、琉球列島、インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖・礁斜面、ミドリイシ属のテーブル状または枝状サンゴの枝間や枝先,3.5cm,2-15m,鮮やかな黄色い体色が特徴で、ミドリイシ属サンゴの枝間に隠れるように生息する。小さくて可愛らしい姿が印象的。,キイロサンゴハゼは鮮やかな黄色い体色が目を引く小さなハゼで、ミドリイシ属のテーブル状や枝状サンゴの枝間に隠れるように生息しています。水中で出会うと、サンゴの枝の間からちらりと見えるその姿が可愛らしく、マクロ撮影の被写体として人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。鮮やかな体色はサンゴの色とコントラストをなすため、写真映えすること間違いなしです。
ムジコバンハゼ,"Gobiodon citrinus (Castelnau, 1873)",紀伊半島、琉球列島；インド・西太平洋,サンゴ礁域の礁外縁や礁斜面、テーブル状サンゴの枝間,3.5cm,6m,体全体が薄い黄色で、サンゴの枝間にひっそりと潜む。観察には注意深い目が必要。,ムジコバンハゼは体全体が薄い黄色で、サンゴの枝間にひっそりと潜むように生息しています。その控えめな体色から、水中で見つけるには注意深い観察が必要です。テーブル状サンゴの枝間をゆっくりと探すと、複数個体がいることがあります。マクロレンズで撮影すると、その繊細な体色と表情がよくわかります。サンゴの色と同化しやすいため、逆光を避けて撮影すると良いでしょう。
セアカコバンハゼ,"Gobiodon erythrospilus Garman, 1903",小笠原諸島、紀伊半島、高知県柏島、屋久島、慶良間諸島、西表島；中・西部太平洋,サンゴ礁域の礁外縁、波当たりの強いところのミドリイシ属テーブル状サンゴの枝間,3.5cm,3m,背中が赤く、体側に青い斑点が散らばる美しいハゼ。波当たりの強い場所で観察できる。,セアカコバンハゼは背中が赤く、体側に青い斑点が散らばる非常に美しいハゼです。波当たりの強いサンゴ礁外縁のミドリイシ属テーブル状サンゴの枝間に生息しています。その鮮やかな体色は水中でよく目立ち、マクロ撮影の被写体としても人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。波の影響を受けやすい場所に生息するため、観察時は流されないように注意が必要です。
アイコバンハゼ,"Gobiodon rivulatus (Günther, 1861)",紀伊半島、高知県柏島、種子島、琉球列島；インド・西太平洋,サンゴ礁域の礁外縁、波当たりの強いところのミドリイシ属テーブル状サンゴの枝間,3.5cm,3m,体全体が青みがかった色で、サンゴの枝間に隠れるように生息。小さな群れで見られることも。,アイコバンハゼは体全体が青みがかった色で、サンゴの枝間に隠れるように生息しています。波当たりの強いサンゴ礁外縁のミドリイシ属テーブル状サンゴの枝間で観察でき、小さな群れで見られることもあります。その繊細な体色は水中でとても美しく、マクロ撮影に最適です。サンゴの枝間をゆっくりと探すと、複数個体がいることがわかります。鮮やかな青い体色はサンゴの色とコントラストをなすため、写真映えすること間違いなしです。
アカテンコバンハゼ,Gobiodon sp. B,高知県、屋久島、奄美諸島、沖縄諸島、八重山諸島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ミドリイシ属テーブル状サンゴの枝間,4cm,5m,体に赤い斑点が特徴的で、サンゴの枝間で観察できる。鮮やかな色合いが目を引く。,アカテンコバンハゼは体に赤い斑点が特徴的な美しいハゼで、サンゴの枝間で観察できます。内湾の湾口から中程やサンゴ礁域の礁外縁・礁斜面のミドリイシ属テーブル状サンゴの枝間に生息しています。その鮮やかな色合いは水中でよく目立ち、マクロ撮影の被写体としても人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。赤い斑点が特徴的で、個体によって模様が異なるのも面白いポイントです。
タスジコバンハゼ,Gobiodon sp. C,小笠原諸島、紀伊半島、奄美大島、沖縄諸島、西表島、西部太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ミドリイシ属テーブル状サンゴの枝間,3cm,6m,体に縦縞模様があり、サンゴの枝間で観察できる。小さくて可愛らしい姿が印象的。,タスジコバンハゼは体に縦縞模様がある小さなハゼで、サンゴの枝間で観察できます。内湾の湾口から中程やサンゴ礁域の礁外縁・礁斜面のミドリイシ属テーブル状サンゴの枝間に生息しています。その縞模様は水中でよく目立ち、マクロ撮影の被写体としても人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。小さくて可愛らしい姿は、ダイバーにとって見つけた時の喜びが大きい種類です。
フタイロサンゴハゼ,"Gobiodon quinquestrigatus (Valenciennes, 1837)",小笠原諸島、八丈島、和歌山県、高知県柏島、屋久島、種子島、琉球列島、インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁外縁・礁斜面、ミドリイシ属テーブル状サンゴの枝間,3.5cm,14m,体に5本の黒い縦帯があり、サンゴの枝間で観察できる。鮮やかな色合いが目を引く。,フタイロサンゴハゼは体に5本の黒い縦帯がある美しいハゼで、サンゴの枝間で観察できます。内湾の湾口から湾奥やサンゴ礁域の礁池・礁湖・礁外縁・礁斜面のミドリイシ属テーブル状サンゴの枝間に生息しています。その鮮やかな色合いは水中でよく目立ち、マクロ撮影の被写体としても人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。5本の黒い縦帯が特徴的で、個体によって模様が異なるのも面白いポイントです。
ヒトスジコバンハゼ,Gobiodon sp. D,紀伊半島、高知県、沖縄島、八重山諸島,サンゴ礁域の礁外縁、潮通しの良い場所、ミドリイシ科テーブル状サンゴの枝間,3cm,8m,体に1本の黒い縦帯があり、サンゴの枝間で観察できる。潮通しの良い場所を好む。,ヒトスジコバンハゼは体に1本の黒い縦帯がある小さなハゼで、サンゴの枝間で観察できます。サンゴ礁域の礁外縁や潮通しの良い場所のミドリイシ科テーブル状サンゴの枝間に生息しています。その縦帯は水中でよく目立ち、マクロ撮影の被写体としても人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。潮通しの良い場所を好むため、観察時は流されないように注意が必要です。
イレズミコバンハゼ,Gobiodon sp. E,紀伊半島、奄美大島、沖縄諸島、西表島,内湾の湾口から中程、サンゴ礁域の礁外縁、礁斜面、テーブル状サンゴの枝間,2.5cm,8m,体に複雑な模様があり、サンゴの枝間で観察できる。小さくて可愛らしい姿が印象的。,イレズミコバンハゼは体に複雑な模様がある小さなハゼで、サンゴの枝間で観察できます。内湾の湾口から中程やサンゴ礁域の礁外縁・礁斜面のテーブル状サンゴの枝間に生息しています。その複雑な模様は水中でよく目立ち、マクロ撮影の被写体としても人気です。サンゴの枝間をゆっくり観察すると、複数個体がいることもあります。小さくて可愛らしい姿は、ダイバーにとって見つけた時の喜びが大きい種類です。
ハスジマハゼ,Cryptocentrus insignitus,沖縄島、久米島、宮古島、石垣島、西表島、与那国島；中・西部太平洋,河川の河口付近の海岸から河口域、瓦礫や死サンゴ片混じりの砂泥底に穴を掘り単独で見られる。生息水深2m以浅,9cm,1m,河口付近の砂泥底に穴を掘って生息。単独で見られ、危険を察知すると素早く穴に潜る。,ハスジマハゼは河口付近の砂泥底に穴を掘って単独で生息しています。瓦礫や死サンゴ片混じりの砂泥底で観察でき、危険を察知すると素早く穴に潜るため、ゆっくり近づくのがコツです。水中で出会うと、穴の前でホバリングする姿が観察できます。マクロレンズで撮影すると、その繊細な体色と表情がよくわかります。砂地を這うように進むと逃げにくく、マクロ撮影に最適です。
マツゲハゼ,Oxyurichthys ophthalmonema,神奈川県、高知県、鹿児島県、奄美大島、徳之島、沖縄島、石垣島、西表島；インド・西太平洋,河川の河口域、泥底や軟泥底。生息水深2m以浅,15cm,2m,河川の河口域の泥底に生息。体が大きく、目立つため観察しやすい。,マツゲハゼは河川の河口域の泥底に生息する比較的大きなハゼです。その大きさと目立つ体色から、水中で観察しやすい種類です。泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な体色と表情がよくわかります。河口域に生息するため、潮の流れに注意しながら観察するのがポイントです。
カマヒレマツゲハゼ,"Oxyurichthys cornutus McCulloch et Waite, 1918",静岡県、奄美大島、沖縄島、久米島、宮古島、石垣島、西表島；西部太平洋,マツゲハゼとほぼ同所的に見られる。生息水深は3m以浅。,15cm,2m,マツゲハゼと同所的に見られ、体に角のような突起がある。観察には注意深い目が必要。,カマヒレマツゲハゼはマツゲハゼとほぼ同所的に見られるハゼで、体に角のような突起があるのが特徴です。その控えめな体色から、水中で見つけるには注意深い観察が必要です。河口域の泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な突起と表情がよくわかります。同所的に生息するマツゲハゼとの違いを観察するのも面白いポイントです。
オニサルハゼ,"Oxyurichthys papuensis (Valenciennes, 1837)",和歌山県、高知県、沖縄島、西表島；インド・西太平洋,内湾の湾奥に生息する。波静かで濁りのあるところを好み、泥底や軟泥底に見られる。生息水深は2-20m。,20cm,8m,内湾の湾奥の泥底に生息。体が大きく、目立つため観察しやすい。,オニサルハゼは内湾の湾奥の泥底に生息する比較的大きなハゼです。波静かで濁りのあるところを好み、その大きさと目立つ体色から、水中で観察しやすい種類です。泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な体色と表情がよくわかります。湾奥に生息するため、濁りに注意しながら観察するのがポイントです。
イレズミサルハゼ,Oxyurichthys sp. A,伊豆半島、和歌山県、西表島,オニサルハゼとほぼ同所的に見られるが、個体数ははるかに少ない。生息水深は30m以浅。,10cm,30m,オニサルハゼと同所的に見られるが、個体数は少ない。観察には注意深い目が必要。,イレズミサルハゼはオニサルハゼとほぼ同所的に見られるハゼですが、個体数ははるかに少ないため、水中で見つけるには注意深い観察が必要です。内湾の湾奥の泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な体色と表情がよくわかります。オニサルハゼとの違いを観察するのも面白いポイントです。
ミナミサルハゼ,Oxyurichthys sayanus,小笠原諸島、琉球列島；西部太平洋,マツゲハゼとほぼ同所的に見られるが、やや上流の汽水域にも生息する。生息水深は2m以浅。,10cm,2m,マツゲハゼと同所的に見られ、汽水域にも生息。体が小さく、観察には注意深い目が必要。,ミナミサルハゼはマツゲハゼとほぼ同所的に見られるハゼですが、やや上流の汽水域にも生息します。その小さな体と控えめな体色から、水中で見つけるには注意深い観察が必要です。河口域の泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な体色と表情がよくわかります。汽水域に生息するため、潮の流れに注意しながら観察するのがポイントです。
シマサルハゼ,Oxyurichthys sp. B,西表島；インドネシア（アンボン島）,河川の河口域に生息する。泥底や軟泥底に見られる。生息水深は2m以浅。,9cm,2m,河川の河口域の泥底に生息。体に縞模様があり、観察しやすい。,シマサルハゼは河川の河口域の泥底に生息するハゼで、体に縞模様があるのが特徴です。その縞模様は水中でよく目立ち、観察しやすい種類です。泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な縞模様と表情がよくわかります。河口域に生息するため、潮の流れに注意しながら観察するのがポイントです。
ナガセハゼ,Oxyurichthys japonicus,和歌山県、高知県、沖縄島、西表島；フィリピン,内湾の湾奥に生息する。波静かで濁りのあるところを好み、泥底や軟泥底に見られる。生息水深は2-36m。,10cm,2m,内湾の湾奥の泥底に生息。体が細長く、観察には注意深い目が必要。,ナガセハゼは内湾の湾奥の泥底に生息する細長いハゼです。波静かで濁りのあるところを好み、その細長い体と控えめな体色から、水中で見つけるには注意深い観察が必要です。泥底や軟泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な体形と表情がよくわかります。湾奥に生息するため、濁りに注意しながら観察するのがポイントです。
ヒメサルハゼ,Oxyurichthys sp. C,石垣島、西表島,内湾の湾奥、砂泥底、生息水深約6m,6cm,6m,内湾の湾奥の砂泥底に生息。体が小さく、観察には注意深い目が必要。,ヒメサルハゼは内湾の湾奥の砂泥底に生息する小さなハゼです。その小さな体と控えめな体色から、水中で見つけるには注意深い観察が必要です。砂泥底で観察でき、ゆっくり近づくと逃げずに観察できることもあります。マクロレンズで撮影すると、その特徴的な体色と表情がよくわかります。湾奥に生息するため、濁りに注意しながら観察するのがポイントです。
トサカハゼ,"Cristatogobius lophius Herre, 1927",屋久島、奄美大島、加計呂麻島、宮古島、石垣島、西表島；西部太平洋,河川の河口域・内湾の湾奥、泥底や軟泥底に穴を掘り単独で生息、生息水深1-10m,5cm,8m,河口域の泥底に穴を掘って生息。単独で見られ、危険を察知すると素早く穴に潜る。,トサカハゼは河口域の泥底に穴を掘って単独で生息しています。泥底や軟泥底で観察でき、危険を察知すると素早く穴に潜るため、ゆっくり近づくのがコツです。水中で出会うと、穴の前でホバリングする姿が観察できます。マクロレンズで撮影すると、その特徴的な体色と表情がよくわかります。泥地を這うように進むと逃げにくく、マクロ撮影に最適です。
モヨウシノビハゼ,"Enigobius haataas Iwata, Hosoya et Niimura, 1998",奄美大島、沖縄諸島、宮古島、八重山諸島；インド・西太平洋,内湾の湾口から中程。砂底の穴に単独で生息。テッポウエビ類と共生しない。生息水深2-30m,8cm,5m,内湾の砂底の穴に単独で生息。テッポウエビと共生しない珍しい種類。,モヨウシノビハゼは内湾の砂底の穴に単独で生息するハゼで、テッポウエビと共生しない珍しい種類です。その特徴的な体色と模様は水中でよく目立ち、マクロ撮影の被写体としても人気です。砂底の穴をゆっくり観察すると、穴の前でホバリングする姿が見られます。テッポウエビと共生しないため、他の共生ハゼとは異なる行動を観察できるのも面白いポイントです。
ユカタハゼ,"Hazeus otakii Jordan et Snyder, 1901",日本固有：千葉県、相模湾、静岡県、紀伊半島、高知県、鹿児島県、対馬、長崎県,内湾の軟泥底から砂泥底に単独で生息。生息水深15-25m,6.5cm,18m,茶褐色の体に細かい斑点が特徴。砂泥底で単独で生息し、じっとしていることが多い。,茶褐色の体に細かい斑点が散りばめられたユカタハゼは、内湾の砂泥底で静かに生息しています。単独行動が多く、じっとしていることが多いため、ゆっくりと近づけば観察しやすいです。水深15-25mの軟泥底から砂泥底に生息しており、体長は6.5cmと小型。マクロレンズでの撮影がおすすめで、背景の砂泥とのコントラストを活かすと美しい写真が撮れます。
ウスゲショウハゼ,"Oplopomops calinous (Bleeker, 1852)",沖縄島、西表島；インド・西太平洋,内湾の湾奥。砂泥底。底より数cm上を滑るように遊泳。生息水深2-6m,6.5cm,3m,透明感のある体に淡い模様が特徴。砂泥底の上を滑るように遊泳する姿が可愛らしい。,透明感のある体に淡い模様を持つウスゲショウハゼは、内湾の湾奥の砂泥底で見られます。底から数cm上を滑るように遊泳する姿が特徴的で、その動きは非常に優雅です。水深2-6mの浅い場所に生息しており、体長は6.5cm。観察する際は、砂泥底をゆっくりと探すと見つけやすいです。マクロレンズでその透明感を捉えると、幻想的な写真が撮れます。
ケショウハゼ,"Oplopomops oplopomops (Valenciennes, 1837)",奄美大島、沖縄諸島、石垣島、西表島；インド・太平洋,内湾の中程から湾奥。ウミヒルモなどが繁茂する泥底や砂泥底。巣穴を掘り、底より数cm上を滑るように遊泳。生息水深2-25m,9cm,6m,黄色と茶色のまだら模様が目立つ。巣穴を掘り、その周辺をテリトリーとして行動する。,黄色と茶色のまだら模様が特徴的なケショウハゼは、内湾の泥底や砂泥底に巣穴を掘って生息しています。巣穴の周辺をテリトリーとしており、底から数cm上を滑るように遊泳する姿が観察できます。水深2-25mの範囲に生息し、体長は9cm。ウミヒルモなどの海草が繁茂する場所を好むため、そういった環境を探すと見つけやすいです。巣穴の前でホバリングする姿を撮影するのがおすすめです。
タネカワハゼ,Stenogobius sp.A,小笠原諸島、鹿児島県、種子島、屋久島、琉球列島、台湾,河川の感潮域最上流、中流域、渓流域下部、細流などの淡水域。淵などの流れが緩やかで砂や砂泥が堆積したところ,12cm,0.5m,灰色の体に黒い縦縞が特徴。河川の淡水域で淵などの流れが緩やかな場所に生息。,灰色の体に黒い縦縞が入ったタネカワハゼは、河川の淡水域で見られます。淵などの流れが緩やかで砂や砂泥が堆積した場所を好み、体長は12cm。淡水ダイビングで観察できる貴重なハゼで、ゆっくりと近づけばその姿をしっかりと観察できます。撮影の際は、流れの緩やかな場所を選び、背景に水の動きを入れるとダイナミックな写真が撮れます。
