和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
スカシモエビ,Lysmatella prima,駿河湾以南、東南アジア、インド洋,岩礁の岩穴、サンゴ礁域,2cm,15m以深,透明な体に赤や茶色の斑点があり、岩陰に隠れることが多い。,体長2cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
トガリモエビ,Tozeuma armatum,相模湾以南、ニューカレドニア、インド洋,砂泥底、岩礁の岩穴,2cm,20～100m,細長い体で、砂地や岩陰に隠れることが多い。,体長2cmほどのエビで、細長い体が特徴です。砂地や岩陰に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、砂地や岩礁域を注意深く観察すると見つけることができます。撮影の際は、砂地をゆっくりと探すと良いでしょう。
ロウソクエビ,Hayahidona japonica,房総半島以南、東南アジア、インド洋、アフリカ東南部,岩礁の岩穴、サンゴ礁域,3cm,3～150m,透明な体に赤や茶色の斑点があり、岩陰に隠れることが多い。,体長3cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
チビツノロウソクエビ,Nikoides lissus,琉球列島以南、東南アジア、ハワイ,サンゴ礁域、岩礁の岩穴,3cm,5m以深,小さなエビで、透明な体に赤や茶色の斑点が特徴。,体長3cmほどの小さなエビで、透明な体に赤や茶色の斑点が特徴です。サンゴや岩の隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、サンゴ礁域や岩礁域を注意深く観察すると見つけることができます。撮影の際は、マクロレンズがおすすめです。
ミナミロウソクエビ,Nikoides sibogae,伊豆半島以南、東南アジア、インド洋,岩礁の岩穴、サンゴ礁域,2cm,10～100m,透明な体に赤や茶色の斑点があり、岩陰に隠れることが多い。,体長2cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
ホッカイエビ,Pandalus latirostris,日本海沿岸、岩手県～北海道沿岸、オホーツク海、サハリン、韓国,藻場域、岩礁の岩穴,13cm,1～6m,赤や茶色の体色で、藻や岩の間に隠れることが多い。,体長13cmほどのエビで、赤や茶色の体色が特徴です。藻や岩の間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、藻場や岩礁域を注意深く観察すると見つけることができます。撮影の際は、藻場をゆっくりと探すと良いでしょう。
ベニスジエビ,Pandalus goniurus,北海道沿岸、ベーリング海、アメリカ合衆国北東部,藻場域、岩礁の岩穴,3cm,2～450m,赤と白の縞模様が特徴で、岩陰に隠れることが多い。,体長3cmほどのエビで、赤と白の縞模様が特徴です。岩陰や藻の間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域や藻場を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
スナエビ,Pandalus prensor,北海道東部、サハリン、シベリア,砂泥底、岩礁の岩穴,4.5cm,3～250m,赤や茶色の体色で、砂地や岩陰に隠れることが多い。,体長4.5cmほどのエビで、赤や茶色の体色が特徴です。砂地や岩陰に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、砂地や岩礁域を注意深く観察すると見つけることができます。撮影の際は、砂地をゆっくりと探すと良いでしょう。
モロトゲアカエビ,Pandalopsis japonica,福井県～北海道、韓国東岸、シベリア,岩礁の岩穴、サンゴ礁域,7cm,25～530m,赤や茶色の体色で、岩陰に隠れることが多い。,体長7cmほどのエビで、赤や茶色の体色が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
イズミエビ,Plesionikaizumiae,日本海沿岸、東京湾～九州西岸、東シナ海,砂泥底、岩礁の岩穴,3cm,50～100m,透明な体に赤や茶色の斑点があり、砂地や岩陰に隠れることが多い。,体長3cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。砂地や岩陰に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、砂地や岩礁域を注意深く観察すると見つけることができます。撮影の際は、砂地をゆっくりと探すと良いでしょう。
ハクセンエビ,Plesionikaintermedius,伊豆半島以南、インドネシア、フィリピン,岩礁の岩穴、サンゴ礁域,4cm,20～100m,透明な体に赤や茶色の斑点があり、岩陰に隠れることが多い。,体長4cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
エリマキエビ,Plesionikaermanni,伊豆半島～鹿児島、東南アジア,岩礁の岩穴、サンゴ礁域,5cm,20～100m,透明な体に赤や茶色の斑点があり、岩陰に隠れることが多い。,体長5cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、岩陰をゆっくりと探すと良いでしょう。
オキノスジエビ,Plesionika edwardsii,相模湾以南、東南アジア、フランス領ポリネシア、インド洋、地中海、大西洋,砂泥底、岩礁の岩穴,7cm,40～400m,透明な体に赤や茶色の斑点があり、砂地や岩陰に隠れることが多い。,体長7cmほどのエビで、透明な体に赤や茶色の斑点が特徴です。砂地や岩陰に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、砂地や岩礁域を注意深く観察すると見つけることができます。撮影の際は、砂地をゆっくりと探すと良いでしょう。
ウミカラマツエビ,Atachloro curtis commensalis,三浦半島～紀伊半島,岩礁の岩穴、サンゴ礁域,1cm,15m以深,小さなエビで、透明な体に赤や茶色の斑点が特徴。,体長1cmほどの小さなエビで、透明な体に赤や茶色の斑点が特徴です。岩陰やサンゴの隙間に隠れていることが多く、動きは比較的ゆっくりです。ダイビングでは、岩礁域やサンゴ礁を注意深く観察すると見つけることができます。撮影の際は、マクロレンズがおすすめです。
ビシャモンエビ,Miropandulus hardingei,伊豆半島以南、マーシャル諸島,岩礁の岩穴,1cm,18～58m,鮮やかな赤色の小さなエビで、岩陰に隠れていることが多い。動きが素早く、観察には注意が必要。,鮮やかな赤色の体が特徴的な小さなエビで、体長はわずか1cmほどです。伊豆半島以南の岩礁域の岩穴や隙間に生息しており、動きが非常に素早いため、じっくり観察するのが難しい種類です。ダイビング中に見つけるには、岩陰を注意深く探す必要があります。撮影の際は、ゆっくりと近づき、フラッシュを使わないようにすると良いでしょう。このエビはマーシャル諸島にも分布しており、稀少な種類として知られています。
トゲエビジャコ,Metacrangon atagotica,北海道～九州,砂泥底,1.5cm,3m以深,茶褐色の体にトゲがあり、砂地に潜んでいることが多い。小さなエビで見つけにくい。,茶褐色の体に小さなトゲが多数生えており、体長は約1.5cmの小型エビです。北海道から九州までの広い範囲の砂泥底に生息しており、砂に潜っていることが多いため、見つけるのが難しい種類です。ダイビング中には、砂地を注意深く観察し、小さな動きを見逃さないようにしましょう。撮影時は、マクロレンズを使用し、砂をかき分けないように静かに近づくことがポイントです。このエビは水深3m以深で見られるため、浅瀬ではあまり観察できません。
カジワラエビ,Paracrangon echinata,福井県～北海道の日本海、相模湾、韓国東岸、オホーツク海、北東大平洋,砂泥底、転石帯,3cm,"10～1,380m",灰褐色の体に小さなイボがあり、砂地や石の下に隠れている。体長3cmの小型エビ。,"灰褐色の体に小さなイボ状の突起が多数あり、体長は約3cmの小型エビです。福井県から北海道の日本海側や相模湾など、広範囲の砂泥底や転石帯に生息しています。砂地に潜ったり、石の下に隠れていることが多いため、見つけるには根気が必要です。撮影の際は、マクロレンズを使い、ゆっくりと近づいて驚かさないようにしましょう。このエビは水深10～1,380mと広い範囲に生息しており、深海でも見られる珍しい種類です。"
オトヒメエビ,Stenopus hispidus,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、大西洋,サンゴ礁域、岩礁の岩穴,6cm,5～40m,白と赤の縞模様が美しいエビで、岩陰やサンゴの隙間に生息。クリーニング行動が有名。,白と赤の鮮やかな縞模様が特徴的なエビで、体長は約6cmになります。房総半島以南のサンゴ礁域や岩礁の岩穴に生息しており、クリーニング行動で知られています。他の魚の体表やエラの寄生虫を食べる習性があり、ダイビング中にも観察できることがあります。撮影のポイントは、クリーニング行動をしている瞬間を狙うことです。このエビは東南アジアやハワイなど広く分布しており、ダイバーに人気の種類です。
バイオレットボクサーシュリンプ,Stenopus tenuirostris,琉球列島以南、インドネシア、インド洋,サンゴ礁域,3cm,5～30m,紫色の体が美しい小型エビで、サンゴの枝間をすばやく移動する。体長3cmほど。,紫色の体が非常に美しい小型エビで、体長は約3cmです。琉球列島以南のサンゴ礁域に生息しており、サンゴの枝間を素早く移動する姿が観察できます。ダイビング中に見つけるには、サンゴの隙間を注意深く観察することが重要です。撮影の際は、マクロレンズを使用し、動きが速いので連写モードを活用すると良いでしょう。このエビはインド洋にも分布しており、その美しい体色から水中写真家に人気があります。
イセエビ,Panulirus japonicus,茨城県以南、韓国、中国、台湾,岩礁域、転石帯,40cm,0～40m,大型のイセエビで、赤褐色の体が特徴。岩陰や洞穴に潜んでいることが多い。,大型のイセエビで、体長は最大40cmにもなります。赤褐色の体が特徴で、茨城県以南の岩礁域や転石帯の岩陰や洞穴に生息しています。ダイビング中には、大きな岩の隙間や洞穴を注意深く探すと見つけることができます。撮影の際は、驚かせないようにゆっくり近づき、横から光を当てると美しい赤色が引き立ちます。このイセエビは韓国や中国にも分布しており、重要な水産資源としても知られています。
カノコイセエビ（アカエビ型）,Panulirus longipes femoristriga,小笠原諸島,サンゴ礁域,40cm,10～40m,赤と白のまだら模様が特徴のイセエビ。小笠原諸島のサンゴ礁で見られる。,赤と白のまだら模様が特徴的なイセエビで、体長は約40cmになります。小笠原諸島のサンゴ礁域に生息しており、水深10～40mの範囲で観察できます。ダイビング中に見つけるには、サンゴの隙間や岩陰を探すと良いでしょう。撮影のポイントは、その美しい模様を引き出すため、横からの光を利用することです。このイセエビはアカエビ型と呼ばれ、他の地域では見られない小笠原固有の特徴を持っています。
カノコイセエビ（シラヒゲエビ型）,Panulirus longipes longipes,房総半島以南、東南アジア、ニューカレドニア、フランス領ポリネシア,サンゴ礁域、岩礁域,30cm,5～30m,白い斑点が特徴のイセエビで、房総半島以南に分布。サンゴの隙間によく潜む。,白い斑点が特徴的なイセエビで、体長は約30cmです。房総半島以南のサンゴ礁域や岩礁域に生息しており、サンゴの隙間や岩陰に潜んでいることが多いです。ダイビング中には、サンゴの枝間を注意深く観察すると見つけることができます。撮影の際は、その斑点模様を引き出すため、フラッシュを直接当てずに横から光を当てると良いでしょう。このイセエビは東南アジアからフランス領ポリネシアまで広く分布しており、シラヒゲエビ型と呼ばれています。
シマイセエビ,Panulirus penicillatus,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海、アメリカ西海岸,サンゴ礁域、潮間帯,40cm,0～10m,青と黄色の縞模様が美しい大型エビ。浅瀬のサンゴ礁でよく見られる。,青と黄色の鮮やかな縞模様が特徴的な大型エビで、体長は約40cmになります。房総半島以南の浅いサンゴ礁域や潮間帯に生息しており、水深0～10mの範囲で観察できます。ダイビング中には、サンゴの上をゆっくり移動する姿が見られることがあります。撮影のポイントは、その美しい縞模様を引き出すため、自然光を活用することです。このエビはハワイやインド洋など広く分布しており、その色彩からダイバーに人気があります。
ニシキエビ,Panulirus ornatus,相模湾以南、東南アジア、オーストラリア北部、ニューカレドニア、インド洋、紅海,サンゴ礁域,60cm,3～15m,カラフルな模様が特徴の大型エビ。相模湾以南のサンゴ礁で観察できる。,非常にカラフルな模様が特徴的な大型エビで、体長は最大60cmにもなります。相模湾以南のサンゴ礁域に生息しており、水深3～15mの範囲で観察できます。ダイビング中には、サンゴの間をゆっくり移動する姿が見られることがあります。撮影の際は、その鮮やかな色彩を引き出すため、自然光やストロボをうまく活用しましょう。このエビはオーストラリア北部やインド洋にも分布しており、その美しさから水中写真の被写体として人気です。
ゴシキエビ,Panulirus versicolor,相模湾以南、東南アジア、オーストラリア北部、フランス領ポリネシア、インド洋,サンゴ礁域,55cm,3～20m,青と赤の鮮やかな色彩が目立つ大型エビ。サンゴ礁をゆっくり移動する。,青と赤の鮮やかな色彩が特徴的な大型エビで、体長は約55cmになります。相模湾以南のサンゴ礁域に生息しており、水深3～20mの範囲で観察できます。ダイビング中には、サンゴの間をゆっくりと移動する姿が見られ、その美しい色彩が目を引きます。撮影のポイントは、色彩をより鮮明に写すため、ストロボを斜めから当てることです。このエビは東南アジアやインド洋にも広く分布しており、その美しさからダイバーに高い人気があります。
カギテリョウマエビ,Justitia longimanus,紀伊半島以南、ハワイ、フランス領ポリネシア、西部インド洋、西部大西洋,岩礁の深場,30cm,30m以深,長いはさみ脚が特徴のエビで、深場の岩陰に生息。体長30cmの大型種。,非常に長いはさみ脚が特徴的なエビで、体長は約30cmになります。紀伊半島以南の深場の岩礁域に生息しており、水深30m以深で観察できます。ダイビング中に見つけるには、深場の岩陰を注意深く探す必要があります。撮影の際は、その特徴的なはさみ脚を強調するため、横からのアングルで撮ると良いでしょう。このエビはハワイやインド洋など広く分布しており、そのユニークな形態から珍重されています。
セミエビ,Scyllarides squamosus,房総半島以南、台湾、オーストラリア、ニューカレドニア、ハワイ、インド洋西部,岩礁域、砂底,30cm,2～30m,平たい体が特徴の大型エビ。砂地や岩の上をゆっくり這う。体長30cm。,平たい体が特徴的な大型エビで、体長は約30cmになります。房総半島以南の岩礁域や砂底に生息しており、砂地や岩の上をゆっくり這う姿が観察できます。ダイビング中に見つけるには、砂地と岩場の境目を探すと良いでしょう。撮影のポイントは、そのユニークな体型を活かし、上からのアングルで撮ることです。このエビはオーストラリアやハワイにも分布しており、その姿から「海中のセミ」とも呼ばれています。
コブセミエビ,Scyllarides haani,相模湾以南、台湾、インドネシア、オーストラリア、ハワイ、モーリシャス、紅海,岩礁域,25cm,10～30m,セミエビに似た小型種。相模湾以南の岩礁で見られる。,セミエビに似た小型のエビで、相模湾以南の岩礁域に生息しています。体長の記録はありませんが、他のセミエビ類と同様、平たい体が特徴です。水深10～30mの範囲で観察でき、岩の隙間や下に潜んでいることが多いです。ダイビング中に見つけるには、岩の隙間を注意深く探す必要があります。撮影の際は、マクロレンズを使用し、その細かい模様を写し取ると良いでしょう。このエビはインドネシアや紅海にも分布しており、稀少な種類として知られています。
ヒメセミエビ,Scyllarus japonicus,房総半島以南、台湾、フィリピン、インドネシア,岩礁域、転石帯,6cm,5～30m,小型のセミエビで、房総半島以南に分布。岩の下に潜むことが多い。,小型のセミエビで、体長は約6cmです。房総半島以南の岩礁域や転石帯に生息しており、岩の下に潜んでいることが多いです。水深5～30mの範囲で観察でき、ダイビング中に見つけるには、小さな岩を慎重にひっくり返す必要があります。撮影のポイントは、マクロレンズを使い、岩を動かした直後の動きを捉えることです。このエビは台湾やフィリピンにも分布しており、その小ささから見つけるのが難しい種類です。
キタンヒメセミエビ,Scyllarus obtusus,伊豆半島以南、韓国、台湾,岩礁域,5cm,5～30m,茶褐色の小型セミエビで、伊豆半島以南に分布。体長5cmほど。,茶褐色の体が特徴的な小型のセミエビで、体長は約5cmです。伊豆半島以南の岩礁域に生息しており、水深5～30mの範囲で観察できます。ダイビング中には、岩の隙間や下に潜んでいることが多く、見つけるのが難しい種類です。撮影の際は、マクロレンズを使用し、岩を動かさずに自然な状態を写し取ると良いでしょう。このエビは韓国や台湾にも分布しており、その小ささと地味な色彩から目立ちませんが、よく観察すると面白い生態が見られます。
ウチワエビ,Ibacus ciliatus,房総半島以南、韓国、東南アジア、オーストラリア北部,砂泥底,17cm,15～250m,ウチワのような平たい体が特徴。房総半島以南の砂泥底に生息。,ウチワのように平たい体が特徴的なエビで、体長は約17cmになります。房総半島以南の砂泥底に生息しており、水深15～250mの広い範囲で観察できます。ダイビング中に見つけるには、砂地を注意深く探す必要があります。撮影のポイントは、そのユニークな体型を活かし、上からのアングルで撮ることです。このエビは東南アジアやオーストラリア北部にも分布しており、その形状から「海中のウチワ」とも呼ばれています。
オオバウチワエビ,Ibacus novemdentatus,相模湾以南、インド洋西部,砂泥底,15cm,15～250m,ウチワエビに似た種類で、相模湾以南に分布。体長15cmほど。,ウチワエビに似た種類で、体長は約15cmです。相模湾以南の砂泥底に生息しており、水深15～250mの範囲で観察できます。ダイビング中に見つけるには、砂地を注意深く探し、少し盛り上がった部分をチェックすると良いでしょう。撮影のポイントは、その平たい体を強調するため、横からの光を当てることです。このエビはインド洋西部にも分布しており、ウチワエビよりもやや小型で、色彩も異なります。
ゾウリエビ,Parribacus japonicus,房総半島以南、台湾,岩礁域,15cm,5～30m,平たい体が特徴のエビで、房総半島以南の岩礁に生息。体長15cm。,平たい体が特徴的なエビで、体長は約15cmです。房総半島以南の岩礁域に生息しており、水深5～30mの範囲で観察できます。ダイビング中には、岩の隙間や下に潜んでいることが多く、見つけるのが難しい種類です。撮影のポイントは、そのユニークな体型を活かし、斜めからのアングルで撮ることです。このエビは台湾にも分布しており、その形状から「ゾウリ」の名が付けられています。
ミナミゾウリエビ,Parribacus antarcticus,琉球列島以南、東南アジア、オーストラリア北部、ハワイ、フランス領ポリネシア、インド洋、西部大西洋,サンゴ礁域,15cm,2～30m,ゾウリエビの南方種で、琉球列島以南のサンゴ礁で見られる。,ゾウリエビの南方種で、体長は約15cmです。琉球列島以南のサンゴ礁域に生息しており、水深2～30mの範囲で観察できます。ダイビング中には、サンゴの隙間や下に潜んでいることが多く、その平たい体が特徴的です。撮影のポイントは、サンゴとのコントラストを活かし、自然光を活用することです。このエビはハワイやインド洋など広く分布しており、そのユニークな形状からダイバーに人気があります。
ホンドオニヤドカリ,Aniculus miyahei,房総半島～九州（太平洋側）、新潟～鳥取（日本海側）、台湾,岩礁の岩穴、転石帯,甲長4cm,5～90m,甲羅が赤褐色で大きなハサミを持つ。岩陰に隠れることが多く、夜間に活発に活動する。,ホンドオニヤドカリは赤褐色の甲羅と大きなハサミが特徴で、岩礁地帯の岩穴や転石の下に生息しています。夜行性のため、日中は岩陰に隠れていることが多く、夜間に餌を探して活発に動き回ります。ダイビング中に見つけるには、岩の隙間や転石の下を注意深く探すと良いでしょう。撮影時はゆっくり近づき、ストロボの光を直接当てないようにすると自然な姿を捉えられます。
コガネオニヤドカリ,Aniculus maximus,紀伊半島以南、ハワイ、フランス領ポリネシア、セイシェル諸島,サンゴ礁域、岩礁の岩穴,甲長20cm,10m以深,金色に輝く大型のヤドカリで、サンゴ礁の深場に生息。威嚇するようにハサミを振るう。,コガネオニヤドカリはその名の通り金色に輝く甲羅が美しい大型のヤドカリで、サンゴ礁域の深場に生息しています。体長は甲長20cmにも達し、威嚇するように大きなハサミを振るう姿が印象的です。観察時は深場の岩穴やサンゴの隙間を探すと見つけやすく、接近すると素早く隠れてしまうため、ゆっくりとアプローチするのがポイントです。ダイバーに人気の撮影対象ですが、ストレスを与えないよう注意が必要です。
オキナワオニヤドカリ,Aniculus atoui,伊豆諸島以南、ミクロネシア、インド洋,サンゴ礁域、岩礁の岩穴,10cm,3m以深,赤褐色の体に白い斑点があり、サンゴ礁の浅場から深場まで広く分布。,オキナワオニヤドカリは赤褐色の体に白い斑点が散りばめられた美しいヤドカリで、サンゴ礁域の浅場から深場まで広く分布しています。岩穴やサンゴの隙間に隠れていることが多く、夜間に活動的になります。観察のコツは、日中でも岩陰を注意深く探すことです。撮影時は自然な色合いを再現するため、ストロボの光を拡散させると良いでしょう。ミクロネシアやインド洋にも分布する広域種です。
クロシマオニヤドカリ,Aniculus retipes,琉球列島以南、東南アジア,サンゴ礁域、転石帯,甲長5cm,1m以深,黒い体に赤い斑点が特徴で、琉球列島以南のサンゴ礁でよく見られる。,クロシマオニヤドカリは黒い体に赤い斑点がアクセントになった美しいヤドカリで、琉球列島以南のサンゴ礁域でよく観察されます。転石帯やサンゴの隙間を好み、甲長5cm程度の中型種です。観察時は転石を優しくひっくり返すと見つけやすく、素早く動くため撮影は難しいですが、忍耐強く待つと良いショットが撮れます。東南アジアにも分布し、現地でも人気の観察対象です。
アミメオニヤドカリ,Aniculus retipes,八丈島以南、東南アジア、インド洋、紅海,サンゴ礁域、岩礁の岩穴,甲長3.5cm,3m以深,網目模様が特徴的な小型ヤドカリで、八丈島以南のサンゴ礁に生息。,アミメオニヤドカリはその名の通り網目状の模様が特徴的な小型のヤドカリで、甲長3.5cm程度です。八丈島以南のサンゴ礁域や岩礁の岩穴に生息しており、赤海やインド洋にも分布します。観察のコツは、小さな岩穴やサンゴの隙間を丹念に探すことです。体が小さいため見逃しやすいですが、模様が美しいので見つけた時の喜びは大きいです。ストロボを使う時は光量を控えめにすると自然な色合いが再現できます。
イソヨコバサミ,Clibanarius virescens,房総半島以南、インドネシア、オーストラリア北部、フィジー、インド洋,潮間帯、岩礁の割れ目,甲長1cm,2～15m,緑がかった小さなヤドカリで、潮だまりや岩の割れ目によく見られる。,イソヨコバサミは緑がかった体色の小さなヤドカリで、甲長1cm程度と非常に小さいです。潮間帯の潮だまりや岩の割れ目によく生息しており、房総半島以南の海岸で観察できます。観察時は潮が引いた後の潮だまりを注意深く見回すと見つけやすく、動きが素早いのでゆっくりとアプローチするのがポイントです。インドネシアやオーストラリア北部にも分布しており、熱帯地域ではより鮮やかな体色の個体も見られます。
ケブカヒメヨコバサミ,Paguristes ortudnili,北海道～九州、韓国、黄海,砂泥底、藻場域,甲長2.5cm,1～210m,毛深いハサミが特徴で、北海道から九州の砂泥底に生息。,ケブカヒメヨコバサミは毛深いハサミが特徴的なヤドカリで、北海道から九州までの広い範囲の砂泥底や藻場域に生息しています。甲長2.5cm程度で、水深1～210mと生息範囲が広いのが特徴です。観察時は砂地をゆっくりと移動しながら、小さな動きに注目すると見つけやすくなります。韓国や黄海にも分布しており、寒冷な海域にも適応した珍しい種類です。撮影時は砂を巻き上げないよう注意しましょう。
ヒノマルヒメヨコバサミ,Paguristes baknophilus,相模湾～九州西岸、アンダマン海,深場の砂泥底,3cm,20～50m,赤い斑点が特徴で、相模湾～九州西岸の深場に生息。,ヒノマルヒメヨコバサミは赤い斑点が特徴的なヤドカリで、相模湾から九州西岸の深場（20～50m）の砂泥底に生息しています。深場に生息するため、ダイビングでの観察は中級者向けです。テクニカルダイビングやドロップオフの壁際などで見つけることができ、貴重な観察対象として人気があります。アンダマン海にも分布しており、国際的にも珍しい種類とされています。撮影時は深度に注意し、安全を最優先にしましょう。
ベニワモンヤドカリ,Ciliopagurus strigatus,房総半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁域、岩礁の岩穴,甲長1.5cm,3～30m,赤と白の縞模様が美しい小型ヤドカリで、サンゴ礁の浅場に生息。,ベニワモンヤドカリは赤と白の縞模様が非常に美しい小型のヤドカリで、甲長1.5cm程度です。房総半島以南のサンゴ礁域の浅場（3～30m）に生息しており、岩穴やサンゴの隙間を好みます。観察のコツは、小さな隙間を丹念に探すことで、鮮やかな体色はすぐに目立ちます。東南アジアやハワイ、インド洋にも分布する広域種で、海外のダイビングサイトでも人気の被写体です。ストロボ撮影では色再現に注意しましょう。
ユビナガワモンヤドカリ,Ciliopagurus brevipes,房総半島以南、マレーシア、フランス領ポリネシア、インド洋,深場の砂泥底,甲長1cm,20～100m,細長いハサミが特徴で、房総半島以南の深場（20～100m）に生息。,ユビナガワモンヤドカリは細長いハサミが特徴的な小型のヤドカリで、甲長1cm程度です。房総半島以南の深場（20～100m）の砂泥底に生息しており、テクニカルダイビングや深場ダイビングで観察できます。マレーシアやフランス領ポリネシア、インド洋にも分布しており、国際的にも珍しい種類とされています。観察時は砂地をゆっくりと移動しながら、小さな動きに注目すると見つけやすくなります。深場での撮影は計画的な準備が必要です。
トゲトゲツノヤドカリ,Diogenes spinifrons,茨城県～九州（太平洋側）、山形県～九州（日本海側）、東シナ海,砂泥底、藻場域,甲長1cm,5～30m,トゲ状の突起が特徴で、茨城県～九州の砂泥底に生息。,トゲトゲツノヤドカリはトゲ状の突起が特徴的な小型のヤドカリで、甲長1cm程度です。茨城県から九州までの太平洋側と日本海側の砂泥底や藻場域に生息しています（水深5～30m）。観察時は砂地をゆっくりと移動しながら、小さな動きに注目すると見つけやすくなります。東シナ海にも分布しており、特徴的な外見からダイバーに人気があります。撮影時は砂を巻き上げないよう注意し、横から撮るとトゲの特徴がよくわかります。
トゲツノヤドカリ,Diogenes japonicus,茨城県～九州（太平洋側）、新潟県～九州（日本海側）、東シナ海、香港,砂泥底、岩礁域,甲長1cm,10～95m,ツノ状の突起があり、茨城県～九州のやや深場（10～95m）に生息。,トゲツノヤドカリはツノ状の突起が特徴的な小型のヤドカリで、甲長1cm程度です。茨城県から九州までの太平洋側と日本海側のやや深場（10～95m）に生息しており、砂泥底や岩礁域で見られます。観察には中級以上のダイビングスキルが必要で、テクニカルダイビングでより深い場所でも見つかります。香港や東シナ海にも分布しており、特徴的な外見からマクロ撮影の被写体として人気があります。深場撮影は計画的な準備が必要です。
ユビワサンゴヤドカリ,Calcinus elegans,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋,サンゴ礁域,2cm,3～15m,青とオレンジの鮮やかな体色で、サンゴの上を活発に移動する。,ユビワサンゴヤドカリは青とオレンジの鮮やかな体色が特徴的なヤドカリで、房総半島以南のサンゴ礁域（水深3～15m）に生息しています。サンゴの上を活発に移動する様子が観察でき、ダイバーにとって非常に目立つ存在です。東南アジアやハワイ、インド洋にも分布する広域種で、水中写真の被写体として非常に人気があります。観察時はサンゴの枝間を注意深く見回すと見つけやすく、動きが速いので慎重にアプローチしましょう。ストロボ撮影では色再現に注意が必要です。
ツマジロサンゴヤドカリ,Calcinus minutus,房総半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁域、潮間帯,1.5cm,1～15m,爪先が白く、房総半島以南のサンゴ礁の浅場（1～15m）に生息。,ツマジロサンゴヤドカリはその名の通り爪先が白くなっているのが特徴的なヤドカリで、房総半島以南のサンゴ礁域の浅場（1～15m）に生息しています。潮間帯でも観察できることがあり、東南アジアやオーストラリア、ハワイ、インド洋、紅海など非常に広い範囲に分布しています。観察時はサンゴの小さな隙間や潮だまりを注意深く探すと見つけやすく、日中でも活発に活動しています。体が小さいのでマクロレンズでの撮影がおすすめです。
スベスベサンゴヤドカリ,Calcinus laevimanus,房総半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋,サンゴ礁域の浅場,甲長1cm,1～3m,滑らかな体が特徴で、房総半島以南のごく浅いサンゴ礁（1～3m）に生息。,スベスベサンゴヤドカリはその名の通り滑らかな体表面が特徴的なヤドカリで、房総半島以南のごく浅いサンゴ礁域（水深1～3m）に生息しています。浅い場所に生息するため、シュノーケリングでも観察可能です。東南アジアやオーストラリア、ハワイ、インド洋にも分布しており、鮮やかな体色の個体も見られます。観察時は潮の動きに注意し、サンゴの小さな隙間を丹念に探すと見つけやすくなります。浅場での撮影は自然光も活用しましょう。
